Code,Name,Class ,id
722215,Crestview Bob Sikes AP,  Class II,CEW
722056,Daytona Beach Intl AP,  Class I,DAB
722039,Fort Lauderdale,  Class II,FXE
722025,Fort Lauderdale Hollywood Int,  Class II,FLL
722106,Fort Myers Page Field,  Class I,FMY
722146,Gainesville Regional AP,  Class I,GNV
722026,Homestead AFB,  Class II,HST
722060,Jacksonville Intl Arpt,  Class I,CRG
722065,Jacksonville NAS,  Class II,NIP
722068,Jacksonville_Craig,  Class II,CRG
722010,Key West Intl Arpt,  Class I,EYW
722015,Key West NAS,  Class II,NQX
722119,Lakeland Linder Rgn,  Class II,LAL
747880,MacDill AFB,  Class II,MCF
722016,Marathon Airport,  Class II,MTH
722066,Mayport Ns,  Class II,NRB
722040,Melbourne Regional AP,  Class II,MLB
722020,Miami Intl AP,  Class I,MIA
722029,Miami_Kendall-Tamia,  Class II,TMB
722024,Miami_Opa Locka,  Class II,OPF
722038,Naples Municipal,  Class III,APF
747946,NASA Shuttle Fclty,  Class III,TTS
722055,Ocala Muni (AWOS),  Class II,OCF
722053,Orlando Executive AP,  Class II,ORL
722050,Orlando Intl Arpt,  Class I,MCO
722057,Orlando Sanford Airport,  Class II,OMN
722245,Panama City Bay Co,  Class II,PFN
722225,Pensacola Forest Sherman NAS,  Class II,NPA
722223,Pensacola Regional AP,  Class I,PNS
722115,Sarasota Bradenton,  Class II,SRQ
722108,Southwest Florida I,  Class II,RSW
722103,St Lucie Co Intl,  Class II,FPR
722104,St Petersburg Albert Whitted,  Class II,SPG
722116,St Petersburg Clear,  Class II,PIE
722140,Tallahassee Regional AP [ISIS],  Class I,TLH
722110,Tampa International AP,  Class I,TPA
747750,Tyndall AFB,  Class II,PAM
722210,Valparaiso Elgin AFB,  Class II,VPS
747770,Valparaiso Hurlburt,  Class II,HRT
722045,Vero Beach Municipal Arpt,  Class I,VRB
722030,West Palm Beach Intl Arpt,  Class II,PBI
722226,Whiting Field NAAS,  Class II,NSE
