Code,Name,Class,id,StationName
726810,Boise Air Terminal [UO],  Class I,BOI,Boise Air Terminal [UO]
725867,Burley Municipal Arpt,  Class II,BYI,Burley Municipal Arpt
726813,Caldwell (AWOS),  Class III,EUL,Caldwell (AWOS)
727834,Coeur D`Alene (AWOS),  Class II,COE,Coeur D`Alene (AWOS)
725865,Hailey_Friedman Mem,  Class II,SUN,Hailey_Friedman Mem
725785,Idaho Falls Fanning Field,  Class II,IDA,Idaho Falls Fanning Field
725866,Joslin Fld Magic Va [Twin Falls - UO],  Class II,TWF,Joslin Fld Magic Va [Twin Falls - UO]
727830,Lewiston Nez Perce Cnty AP,  Class I,LWS,Lewiston Nez Perce Cnty AP
725786,Malad City,  Class II,MLD,Malad City
726815,Mountain Home AFB,  Class II,MUO,Mountain Home AFB
725780,Pocatello Regional AP,  Class I,PIH,Pocatello Regional AP
726865,Salmon_Lemhi (AWOS),  Class III,SMN,Salmon_Lemhi (AWOS)
725868,Soda Springs_Tigert,  Class II,U78,Soda Springs_Tigert
