Code,Name,Class,id
725958,Alturas,  Class II,AAT
725945,Arcata Airport,  Class I,ACV
723840,Bakersfield Meadows Field,  Class I,BFL
724837,Beale AFB,  Class II,BAB
724800,Bishop Airport,  Class II,BIH
725845,Blue Canyon AP,  Class II,BLU
747188,Blythe Riverside Co Arpt,  Class II,BLH
722880,Burbank-Glendale-Passadena AP,  Class II,BUR
723926,Camarillo (AWOS),  Class III,CMA
722926,Camp Pendleton MCAS,  Class II,NFG
722927,Carlsbad_Palomar,  Class II,CRQ
746120,China Lake Naf,  Class II,NID
722899,Chino Airport,  Class III,CNO
722904,Chula Vista Brown Field NAAS,  Class II,SDM
724936,Concord Concord-Buchanan Fiel,  Class II,CCR
725946,Crescent City Faa Ai,  Class II,CEC
723815,Daggett Barstow-Daggett AP,  Class I,DAG
723810,Edwards AFB,  Class II,EDW
723890,Fresno Yosemite Intl AP,  Class I,FAT
722976,Fullerton Municipal,  Class II,FUL
724935,Hayward Air Term,  Class II,HWD
747185,Imperial,  Class II,IPL
722956,Jack Northrop Fld H,  Class II,HHR
723816,Lancaster Gen Wm Fox Field,  Class II,WJF
747020,Lemoore Reeves NAS,  Class II,NLC
724927,Livermore Municipal,  Class II,LVK
722895,Lompoc (AWOS),  Class III,LPC
722970,Long Beach Daugherty Fld,  Class I,LGB
722950,Los Angeles Intl Arpt,  Class I,LAX
722860,March AFB,  Class II,RIV
724815,Merced_Macready Fld,  Class II,MER
724926,Modesto City-County AP,  Class II,MOD
725955,Montague Siskiyou County AP,  Class II,SIY
724915,Monterey Naf,  Class II,MRY
745090,Mountain View Moffett Fld NAS,  Class III,NUQ
724955,Napa Co. Airport,  Class II,APC
723805,Needles Airport,  Class II,EED
724930,Oakland Metropolitan Arpt,  Class II,OAK
723927,Oxnard Airport,  Class II,OXR
722868,Palm Springs Intl,  Class II,PSP
747187,Palm Springs Thermal AP,  Class II,TRM
723820,Palmdale Airport,  Class II,GXA
723965,Paso Robles Municipal Arpt,  Class II,PRB
723910,Point Mugu Nf,  Class II,NTD
723895,Porterville (AWOS),  Class III,PTV
725910,Red Bluff Municipal Arpt,  Class II,RBL
725920,Redding Municipal Arpt,  Class I,RDD
722869,Riverside Muni,  Class II,RAL
724830,Sacramento Executive Arpt,  Class I,SAC
724839,Sacramento Metropolitan AP,  Class II,SMF
724917,Salinas Municipal AP,  Class II,SNS
722900,San Diego Lindbergh Field,  Class I,SAN
722930,San Diego Miramar NAS,  Class II,NKX
722906,San Diego North Island NAS,  Class II,NZY
722903,San Diego_Montgomer,  Class II,MYF
724940,San Francisco Intl AP,  Class I,SFO
724945,San Jose Intl AP,  Class II,SJC
722897,San Luis Co Rgnl,  Class II,SBP
723830,Sandberg,  Class III,SDB
722977,Santa Ana John Wayne AP,  Class II,SNA
723925,Santa Barbara Municipal AP,  Class I,SBA
723940,Santa Maria Public Arpt,  Class I,SMX
722885,Santa Monica Muni,  Class II,SMO
724957,Santa Rosa (AWOS),  Class II,STS
725847,South Lake Tahoe,  Class II,TVL
724920,Stockton Metropolitan Arpt,  Class II,SCK
745160,Travis Field AFB,  Class II,SUU
725846,Truckee-Tahoe,  Class II,TRK
690150,Twentynine Palms,  Class II,NXP
725905,Ukiah Municipal AP,  Class II,UKI
722886,Van Nuys Airport,  Class II,VNY
723896,Visalia Muni (AWOS),  Class II,VIS
724838,Yuba Co,  Class II,MYV
