Code,Name,Class ,id
744655,Aurora Municipal,  Class II,ARR
724338,Belleville Scott AFB,  Class II,BLV
725314,Cahokia_St. Louis,  Class II,CPS
724397,Central Illinois Rg,  Class II,BMI
725340,Chicago Midway AP,  Class II,MDW
725300,Chicago Ohare Intl AP,  Class I,ORD
725347,Chicago_Waukegan,  Class II,UGN
725316,Decatur,  Class II,DEC
724339,Marion Regional,  Class II,MWA
725440,Moline Quad City Intl AP,  Class I,MLI
724335,Mount Vernon (AWOS),  Class II,MVN
725320,Peoria Greater Peoria AP,  Class I,PIA
724396,Quincy Muni Baldwin Fld,  Class II,UIN
725430,Rockford Greater Rockford AP,  Class I,RFD
724336,Southern Illinois,  Class II,MDH
724390,Springfield Capital AP,  Class I,SPI
725326,Sterling Rockfalls,  Class II,SQI
725315,Univ Of Illinois Wi [Bondville - Surfrad],  Class II,CMI
725305,W Chicago_Du Page,  Class II,DPA
