station,valid,tmpf,dwpf,relh,skyc1,state
9L2,2018-01-01T00:43:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T00:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T01:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T02:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T03:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T04:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T05:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T06:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T07:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T08:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T09:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T10:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T11:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T12:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T13:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T14:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T15:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T16:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T17:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T18:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T19:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T20:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T21:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T22:13:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T22:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-01T23:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T00:13:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T00:58:00Z,NA,NA,NA,FEW,California
9L2,2018-01-02T01:58:00Z,NA,NA,NA,FEW,California
9L2,2018-01-02T02:58:00Z,NA,NA,NA,FEW,California
9L2,2018-01-02T03:58:00Z,NA,NA,NA,FEW,California
9L2,2018-01-02T04:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T05:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T06:58:00Z,NA,NA,NA,BKN,California
9L2,2018-01-02T07:58:00Z,NA,NA,NA,FEW,California
9L2,2018-01-02T08:13:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T08:43:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T08:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T09:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T10:13:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T10:28:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T10:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T11:13:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T11:28:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T11:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T12:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T13:13:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T13:28:00Z,NA,NA,NA,SCT,California
9L2,2018-01-02T13:43:00Z,NA,NA,NA,BKN,California
9L2,2018-01-02T13:58:00Z,NA,NA,NA,OVC,California
9L2,2018-01-02T14:13:00Z,NA,NA,NA,SCT,California
9L2,2018-01-02T14:28:00Z,NA,NA,NA,BKN,California
9L2,2018-01-02T14:43:00Z,NA,NA,NA,OVC,California
9L2,2018-01-02T14:58:00Z,NA,NA,NA,SCT,California
9L2,2018-01-02T15:13:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T15:28:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T15:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T16:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T17:13:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T17:43:00Z,NA,NA,NA,FEW,California
9L2,2018-01-02T17:58:00Z,NA,NA,NA,FEW,California
9L2,2018-01-02T18:13:00Z,NA,NA,NA,FEW,California
9L2,2018-01-02T18:28:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T18:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T19:43:00Z,NA,NA,NA,FEW,California
9L2,2018-01-02T19:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T20:13:00Z,NA,NA,NA,FEW,California
9L2,2018-01-02T20:43:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T20:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T21:13:00Z,NA,NA,NA,FEW,California
9L2,2018-01-02T21:28:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T21:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T22:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T23:43:00Z,NA,NA,NA,CLR,California
9L2,2018-01-02T23:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T00:13:00Z,NA,NA,NA,SCT,California
9L2,2018-01-03T00:28:00Z,NA,NA,NA,BKN,California
9L2,2018-01-03T00:43:00Z,NA,NA,NA,SCT,California
9L2,2018-01-03T00:58:00Z,NA,NA,NA,FEW,California
9L2,2018-01-03T01:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T02:28:00Z,NA,NA,NA,BKN,California
9L2,2018-01-03T02:58:00Z,NA,NA,NA,BKN,California
9L2,2018-01-03T03:13:00Z,NA,NA,NA,FEW,California
9L2,2018-01-03T03:58:00Z,NA,NA,NA,FEW,California
9L2,2018-01-03T04:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T05:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T06:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T07:43:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T07:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T08:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T09:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T10:28:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T10:43:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T10:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T11:13:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T11:28:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T11:43:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T11:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T12:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T13:13:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T13:28:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T13:43:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T13:58:00Z,NA,NA,NA,SCT,California
9L2,2018-01-03T14:28:00Z,NA,NA,NA,BKN,California
9L2,2018-01-03T14:43:00Z,NA,NA,NA,SCT,California
9L2,2018-01-03T14:58:00Z,NA,NA,NA,FEW,California
9L2,2018-01-03T15:58:00Z,NA,NA,NA,FEW,California
9L2,2018-01-03T16:13:00Z,NA,NA,NA,SCT,California
9L2,2018-01-03T16:28:00Z,NA,NA,NA,SCT,California
9L2,2018-01-03T16:43:00Z,NA,NA,NA,BKN,California
9L2,2018-01-03T16:58:00Z,NA,NA,NA,BKN,California
9L2,2018-01-03T17:13:00Z,NA,NA,NA,SCT,California
9L2,2018-01-03T17:58:00Z,NA,NA,NA,BKN,California
9L2,2018-01-03T18:13:00Z,NA,NA,NA,SCT,California
9L2,2018-01-03T18:43:00Z,NA,NA,NA,SCT,California
9L2,2018-01-03T18:58:00Z,NA,NA,NA,BKN,California
9L2,2018-01-03T19:58:00Z,NA,NA,NA,SCT,California
9L2,2018-01-03T20:58:00Z,NA,NA,NA,SCT,California
9L2,2018-01-03T21:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-03T22:58:00Z,NA,NA,NA,FEW,California
9L2,2018-01-03T23:13:00Z,NA,NA,NA,BKN,California
9L2,2018-01-03T23:58:00Z,NA,NA,NA,BKN,California
9L2,2018-01-04T00:13:00Z,NA,NA,NA,SCT,California
9L2,2018-01-04T00:28:00Z,NA,NA,NA,BKN,California
9L2,2018-01-04T00:58:00Z,NA,NA,NA,BKN,California
9L2,2018-01-04T01:13:00Z,NA,NA,NA,FEW,California
9L2,2018-01-04T01:28:00Z,NA,NA,NA,SCT,California
9L2,2018-01-04T01:58:00Z,NA,NA,NA,SCT,California
9L2,2018-01-04T02:58:00Z,NA,NA,NA,SCT,California
9L2,2018-01-04T03:13:00Z,NA,NA,NA,BKN,California
9L2,2018-01-04T03:28:00Z,NA,NA,NA,SCT,California
9L2,2018-01-04T03:58:00Z,NA,NA,NA,FEW,California
9L2,2018-01-04T04:58:00Z,NA,NA,NA,OVC,California
9L2,2018-01-04T05:58:00Z,NA,NA,NA,BKN,California
9L2,2018-01-04T06:28:00Z,NA,NA,NA,FEW,California
9L2,2018-01-04T06:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T07:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T08:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T09:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T10:58:00Z,NA,NA,NA,FEW,California
9L2,2018-01-04T11:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T12:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T13:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T14:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T15:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T16:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T17:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T18:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T19:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T20:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T21:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T22:43:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T22:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-04T23:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-05T00:43:00Z,NA,NA,NA,CLR,California
9L2,2018-01-05T00:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-05T01:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-05T02:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-05T03:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-05T04:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-05T05:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-05T06:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-05T07:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-05T08:58:00Z,NA,NA,NA,CLR,California
9L2,2018-01-05T09:58:00Z,NA,NA,NA,CLR,California
