station,valid,tmpf,dwpf,relh,skyc1,state
BAN,2018-01-22T15:52:00Z,30.9,21.9,68.91,OVC,California
BAN,2018-01-22T16:52:00Z,33.1,24.1,69.17,OVC,California
BAN,2018-01-22T17:52:00Z,36,26.1,66.97,OVC,California
BAN,2018-01-22T18:52:00Z,39,25,56.86,BKN,California
BAN,2018-01-22T19:52:00Z,43,19,37.81,CLR,California
BAN,2018-01-22T20:52:00Z,43,17.1,34.84,CLR,California
BAN,2018-01-22T21:52:00Z,43,18,36.22,FEW,California
BAN,2018-01-22T22:52:00Z,43,23,44.8,CLR,California
BAN,2018-01-22T23:52:00Z,39.9,23,50.5,CLR,California
BAN,2018-01-23T00:52:00Z,37,23,56.57,CLR,California
BAN,2018-01-23T01:52:00Z,32,21.9,65.92,CLR,California
BAN,2018-01-23T02:52:00Z,30,19.9,65.66,CLR,California
BAN,2018-01-23T03:52:00Z,28,19,68.57,CLR,California
BAN,2018-01-23T04:52:00Z,25,18,74.36,CLR,California
BAN,2018-01-23T05:52:00Z,24.1,17.1,74.27,CLR,California
BAN,2018-01-23T06:52:00Z,21.9,15.1,74.69,CLR,California
BAN,2018-01-23T07:52:00Z,19.9,14,77.48,CLR,California
BAN,2018-01-23T08:52:00Z,19,12,73.73,CLR,California
BAN,2018-01-23T10:52:00Z,16,10,76.77,CLR,California
BAN,2018-01-23T11:52:00Z,39,34,82.08,CLR,California
BAN,2018-01-23T12:52:00Z,14,8.1,76.92,CLR,California
BAN,2018-01-23T14:52:00Z,12.9,7,76.82,CLR,California
BAN,2018-01-23T15:52:00Z,16,10.9,79.92,CLR,California
BAN,2018-01-23T16:52:00Z,21,14,73.94,CLR,California
BAN,2018-01-23T18:52:00Z,37,12.9,36.63,CLR,California
BAN,2018-01-23T19:52:00Z,46,12.9,25.87,CLR,California
BAN,2018-01-23T20:52:00Z,51.1,3.9,14.25,CLR,California
BAN,2018-01-23T21:52:00Z,51.1,5,14.99,CLR,California
BAN,2018-01-23T22:52:00Z,51.1,5,14.99,CLR,California
BAN,2018-01-23T23:52:00Z,48.9,3,14.84,CLR,California
BAN,2018-01-24T00:52:00Z,44.1,3.9,18.54,CLR,California
BAN,2018-01-24T01:52:00Z,42.1,0,16.7,CLR,California
BAN,2018-01-24T02:52:00Z,41,1.9,19.04,CLR,California
BAN,2018-01-24T03:52:00Z,37,3,23.43,CLR,California
BAN,2018-01-24T04:52:00Z,30.9,8.1,37.73,CLR,California
BAN,2018-01-24T05:52:00Z,33.1,6.1,31.54,CLR,California
BAN,2018-01-24T06:52:00Z,26.1,10,50.02,CLR,California
BAN,2018-01-24T07:52:00Z,24.1,10.9,56.59,CLR,California
BAN,2018-01-24T08:52:00Z,27,9,46.08,CLR,California
BAN,2018-01-24T09:52:00Z,30,7,37.24,CLR,California
BAN,2018-01-24T10:52:00Z,34,1.9,25.08,CLR,California
BAN,2018-01-24T11:52:00Z,33.1,1.9,26,CLR,California
BAN,2018-01-24T12:52:00Z,34,-0.9,22,CLR,California
BAN,2018-01-24T13:52:00Z,36,-0.9,20.32,CLR,California
BAN,2018-01-24T14:52:00Z,41,-4,14.42,CLR,California
BAN,2018-01-24T15:52:00Z,43,-4,13.35,CLR,California
BAN,2018-01-24T16:52:00Z,45,-2.9,13.03,CLR,California
