station,valid,tmpf,dwpf,relh,skyc1,state
BYS,2018-01-01T00:55:00Z,58.5,7.7,12.94,BKN,California
BYS,2018-01-01T01:55:00Z,51.4,4.6,14.55,SCT,California
BYS,2018-01-01T02:55:00Z,51.1,6.3,15.91,FEW,California
BYS,2018-01-01T03:55:00Z,46.6,5.9,18.48,CLR,California
BYS,2018-01-01T04:55:00Z,45.1,4.5,18.35,CLR,California
BYS,2018-01-01T05:55:00Z,39.6,3.6,21.75,CLR,California
BYS,2018-01-01T06:55:00Z,40.3,5.2,22.78,CLR,California
BYS,2018-01-01T07:55:00Z,36.3,3,24.08,CLR,California
BYS,2018-01-01T08:55:00Z,40.3,6.1,23.74,CLR,California
BYS,2018-01-01T09:55:00Z,37.2,2.7,22.92,CLR,California
BYS,2018-01-01T10:55:00Z,39.4,4.3,22.64,CLR,California
BYS,2018-01-01T11:55:00Z,39.7,4.8,22.9,CLR,California
BYS,2018-01-01T12:55:00Z,34.9,4.3,27.03,CLR,California
BYS,2018-01-01T13:55:00Z,32.9,2.1,26.45,CLR,California
BYS,2018-01-01T14:55:00Z,33.4,4.1,28.44,CLR,California
BYS,2018-01-01T15:55:00Z,40.1,5.9,23.71,CLR,California
BYS,2018-01-01T16:55:00Z,48.2,6.3,17.72,CLR,California
BYS,2018-01-01T17:55:00Z,55.9,8.1,14.47,CLR,California
BYS,2018-01-01T18:55:00Z,59.5,8.4,12.89,CLR,California
BYS,2018-01-01T19:55:00Z,62.2,9,12.03,CLR,California
BYS,2018-01-01T20:55:00Z,63.5,9,11.49,CLR,California
BYS,2018-01-01T21:55:00Z,63.9,8.8,11.23,CLR,California
BYS,2018-01-01T22:55:00Z,63.3,8.8,11.47,CLR,California
BYS,2018-01-01T23:55:00Z,61.2,8.2,12.02,CLR,California
BYS,2018-01-02T00:55:00Z,57.6,7.7,13.37,CLR,California
BYS,2018-01-02T01:55:00Z,52.2,5.4,14.66,CLR,California
BYS,2018-01-02T02:55:00Z,49.8,6.6,16.92,SCT,California
BYS,2018-01-02T03:55:00Z,51.1,5.4,15.27,CLR,California
BYS,2018-01-02T04:55:00Z,46.6,5.5,18.15,CLR,California
BYS,2018-01-02T05:55:00Z,43.7,2.1,17.32,CLR,California
BYS,2018-01-02T06:55:00Z,41.7,3.4,19.87,FEW,California
BYS,2018-01-02T07:55:00Z,46.8,3,16.06,FEW,California
BYS,2018-01-02T08:55:00Z,43.5,2.8,18.03,CLR,California
BYS,2018-01-02T09:55:00Z,43.3,3.2,18.51,CLR,California
BYS,2018-01-02T10:55:00Z,41.2,0.7,17.87,CLR,California
BYS,2018-01-02T11:55:00Z,39.2,3.4,21.89,CLR,California
BYS,2018-01-02T12:55:00Z,37.8,0.1,19.83,FEW,California
BYS,2018-01-02T13:55:00Z,35.2,-0.2,21.67,BKN,California
BYS,2018-01-02T14:55:00Z,37.2,1.4,21.58,BKN,California
BYS,2018-01-02T15:55:00Z,39.6,3.6,21.75,FEW,California
BYS,2018-01-02T16:55:00Z,45.1,3.9,17.85,FEW,California
BYS,2018-01-02T17:55:00Z,49.3,5,16.03,SCT,California
BYS,2018-01-02T18:55:00Z,59,7,12.32,CLR,California
BYS,2018-01-02T19:55:00Z,68.9,10.6,10.24,CLR,California
BYS,2018-01-02T20:55:00Z,72,12.9,10.2,CLR,California
BYS,2018-01-02T21:55:00Z,67.6,11.1,10.95,CLR,California
BYS,2018-01-02T22:55:00Z,66.6,10.2,10.89,CLR,California
BYS,2018-01-02T23:55:00Z,65.1,10.4,11.57,CLR,California
BYS,2018-01-03T00:55:00Z,60.8,14.5,16.13,CLR,California
BYS,2018-01-03T01:55:00Z,58.3,15.4,18.34,CLR,California
BYS,2018-01-03T02:55:00Z,54.7,14.9,20.44,CLR,California
BYS,2018-01-03T03:55:00Z,49.3,13.8,23.78,CLR,California
BYS,2018-01-03T04:55:00Z,49.3,15.3,25.39,SCT,California
BYS,2018-01-03T05:55:00Z,45.9,12,24.96,BKN,California
BYS,2018-01-03T06:55:00Z,44.8,13.5,27.8,CLR,California
BYS,2018-01-03T07:55:00Z,41.9,7.7,23.99,CLR,California
BYS,2018-01-03T08:55:00Z,41.4,10.9,28.23,CLR,California
BYS,2018-01-03T09:55:00Z,37.2,10.9,33.26,CLR,California
BYS,2018-01-03T10:55:00Z,40.8,14.4,33.72,CLR,California
BYS,2018-01-03T11:55:00Z,39.7,11.8,31.39,CLR,California
BYS,2018-01-03T12:55:00Z,34.9,8.8,33.16,CLR,California
BYS,2018-01-03T13:55:00Z,32.9,7.3,33.57,CLR,California
BYS,2018-01-03T14:55:00Z,33.1,6.1,31.54,BKN,California
BYS,2018-01-03T15:55:00Z,36,7.7,30.21,BKN,California
BYS,2018-01-03T16:55:00Z,46.4,10.4,22.81,SCT,California
BYS,2018-01-03T17:55:00Z,52.5,14.5,21.78,FEW,California
BYS,2018-01-03T18:56:00Z,63.1,16.2,16.02,FEW,California
BYS,2018-01-03T19:55:00Z,63.1,14.5,14.87,BKN,California
BYS,2018-01-03T20:55:00Z,62.8,10.9,12.82,FEW,California
BYS,2018-01-03T21:55:00Z,61.5,11.3,13.67,BKN,California
BYS,2018-01-03T22:55:00Z,61.9,10.9,13.24,SCT,California
BYS,2018-01-03T23:55:00Z,61,10.2,13.25,FEW,California
BYS,2018-01-04T00:55:00Z,59.2,11.7,15.1,SCT,California
BYS,2018-01-04T01:55:00Z,57.9,13.1,16.83,FEW,California
