station,valid,tmpf,dwpf,relh,skyc1,state
C83,2018-08-03T15:55:00Z,69.8,53.6,56.38,CLR,California
C83,2018-08-03T16:15:00Z,71.6,53.6,53.03,CLR,California
C83,2018-08-03T16:35:00Z,73.4,51.8,46.71,CLR,California
C83,2018-08-03T16:55:00Z,75.2,51.8,43.97,CLR,California
C83,2018-08-03T17:15:00Z,75.2,51.8,43.97,CLR,California
C83,2018-08-03T17:35:00Z,78.8,51.8,39.02,CLR,California
C83,2018-08-03T17:55:00Z,82.4,51.8,34.69,CLR,California
C83,2018-08-03T18:15:00Z,82.4,50,32.46,CLR,California
C83,2018-08-03T18:35:00Z,86,50,28.9,CLR,California
C83,2018-08-03T18:55:00Z,87.8,50,27.29,CLR,California
C83,2018-08-03T19:15:00Z,87.8,51.8,29.18,CLR,California
C83,2018-08-03T19:35:00Z,89.6,48.2,24.11,CLR,California
C83,2018-08-03T19:55:00Z,91.4,50,24.37,CLR,California
C83,2018-08-03T20:15:00Z,91.4,50,24.37,CLR,California
C83,2018-08-03T20:35:00Z,91.4,50,24.37,CLR,California
C83,2018-08-03T20:55:00Z,91.4,50,24.37,CLR,California
C83,2018-08-03T21:15:00Z,91.4,50,24.37,CLR,California
C83,2018-08-03T21:35:00Z,91.4,50,24.37,CLR,California
C83,2018-08-03T21:55:00Z,93.2,48.2,21.54,CLR,California
C83,2018-08-03T22:15:00Z,93.2,48.2,21.54,CLR,California
C83,2018-08-03T22:35:00Z,93.2,48.2,21.54,CLR,California
C83,2018-08-03T22:55:00Z,95,48.2,20.38,CLR,California
C83,2018-08-03T23:15:00Z,95,48.2,20.38,CLR,California
C83,2018-08-03T23:35:00Z,95,50,21.79,CLR,California
C83,2018-08-03T23:55:00Z,95,50,21.79,CLR,California
C83,2018-08-04T00:15:00Z,95,50,21.79,CLR,California
C83,2018-08-04T00:35:00Z,95,50,21.79,CLR,California
C83,2018-08-04T00:55:00Z,93.2,51.8,24.63,CLR,California
C83,2018-08-04T01:15:00Z,93.2,51.8,24.63,CLR,California
