station,valid,tmpf,dwpf,relh,skyc1,state
CCB,2018-11-06T14:20:00Z,59,55.4,87.83,FEW,California
CCB,2018-11-06T14:40:00Z,57.2,55.4,93.69,OVC,California
CCB,2018-11-06T15:00:00Z,59,53.6,82.25,OVC,California
CCB,2018-11-06T15:20:00Z,59,53.6,82.25,OVC,California
CCB,2018-11-06T15:40:00Z,59,53.6,82.25,OVC,California
CCB,2018-11-06T16:00:00Z,59,53.6,82.25,BKN,California
CCB,2018-11-06T16:20:00Z,59,53.6,82.25,OVC,California
CCB,2018-11-06T16:40:00Z,59,53.6,82.25,BKN,California
CCB,2018-11-06T17:00:00Z,59,53.6,82.25,FEW,California
CCB,2018-11-06T17:20:00Z,60.8,53.6,77.14,CLR,California
CCB,2018-11-06T17:40:00Z,62.6,53.6,72.38,CLR,California
CCB,2018-11-06T18:00:00Z,62.6,53.6,72.38,CLR,California
CCB,2018-11-06T18:20:00Z,64.4,53.6,67.95,CLR,California
CCB,2018-11-06T18:40:00Z,64.4,53.6,67.95,CLR,California
CCB,2018-11-06T19:00:00Z,66.2,53.6,63.82,CLR,California
CCB,2018-11-06T19:20:00Z,66.2,53.6,63.82,CLR,California
CCB,2018-11-06T19:40:00Z,68,51.8,56.13,CLR,California
CCB,2018-11-06T20:00:00Z,69.8,51.8,52.77,CLR,California
CCB,2018-11-06T20:20:00Z,69.8,50,49.37,CLR,California
CCB,2018-11-06T20:40:00Z,71.6,50,46.43,CLR,California
CCB,2018-11-06T21:00:00Z,71.6,50,46.43,CLR,California
CCB,2018-11-06T21:20:00Z,71.6,50,46.43,CLR,California
CCB,2018-11-06T21:40:00Z,73.4,50,43.69,CLR,California
CCB,2018-11-06T22:00:00Z,73.4,48.2,40.85,CLR,California
CCB,2018-11-06T22:20:00Z,73.4,48.2,40.85,CLR,California
CCB,2018-11-06T22:40:00Z,73.4,46.4,38.18,CLR,California
CCB,2018-11-06T23:00:00Z,73.4,48.2,40.85,CLR,California
CCB,2018-11-06T23:20:00Z,73.4,48.2,40.85,CLR,California
CCB,2018-11-06T23:40:00Z,73.4,48.2,40.85,CLR,California
CCB,2018-11-07T00:00:00Z,71.6,48.2,43.42,CLR,California
CCB,2018-11-07T00:20:00Z,69.8,51.8,52.77,CLR,California
CCB,2018-11-07T00:40:00Z,68,53.6,59.97,CLR,California
CCB,2018-11-07T01:00:00Z,66.2,53.6,63.82,CLR,California
CCB,2018-11-07T01:20:00Z,66.2,53.6,63.82,CLR,California
CCB,2018-11-07T01:40:00Z,66.2,53.6,63.82,CLR,California
CCB,2018-11-07T02:00:00Z,64.4,53.6,67.95,CLR,California
CCB,2018-11-07T02:20:00Z,64.4,55.4,72.56,CLR,California
CCB,2018-11-07T02:40:00Z,62.6,55.4,77.29,CLR,California
CCB,2018-11-07T03:00:00Z,62.6,55.4,77.29,CLR,California
CCB,2018-11-07T03:20:00Z,62.6,55.4,77.29,CLR,California
CCB,2018-11-07T03:40:00Z,60.8,55.4,82.37,CLR,California
CCB,2018-11-07T04:00:00Z,60.8,55.4,82.37,CLR,California
CCB,2018-11-07T04:20:00Z,60.8,55.4,82.37,CLR,California
CCB,2018-11-07T04:40:00Z,60.8,55.4,82.37,CLR,California
CCB,2018-11-07T05:00:00Z,59,55.4,87.83,CLR,California
CCB,2018-11-07T05:20:00Z,59,55.4,87.83,CLR,California
CCB,2018-11-07T05:40:00Z,59,53.6,82.25,CLR,California
CCB,2018-11-07T06:00:00Z,59,53.6,82.25,CLR,California
CCB,2018-11-07T06:20:00Z,59,53.6,82.25,CLR,California
CCB,2018-11-07T06:40:00Z,59,53.6,82.25,FEW,California
CCB,2018-11-07T07:00:00Z,59,53.6,82.25,SCT,California
CCB,2018-11-07T07:20:00Z,57.2,53.6,87.74,SCT,California
CCB,2018-11-07T07:40:00Z,57.2,51.8,82.12,FEW,California
CCB,2018-11-07T08:00:00Z,57.2,51.8,82.12,FEW,California
CCB,2018-11-07T08:20:00Z,57.2,51.8,82.12,FEW,California
CCB,2018-11-07T08:40:00Z,57.2,51.8,82.12,CLR,California
CCB,2018-11-07T09:00:00Z,57.2,51.8,82.12,BKN,California
CCB,2018-11-07T09:20:00Z,57.2,51.8,82.12,OVC,California
CCB,2018-11-07T09:40:00Z,57.2,55.4,93.69,OVC,California
CCB,2018-11-07T10:00:00Z,55.4,53.6,93.65,OVC,California
CCB,2018-11-07T10:20:00Z,55.4,55.4,100,OVC,California
CCB,2018-11-07T10:40:00Z,55.4,55.4,100,OVC,California
CCB,2018-11-07T11:00:00Z,55.4,55.4,100,OVC,California
CCB,2018-11-07T11:20:00Z,55.4,55.4,100,OVC,California
CCB,2018-11-07T11:40:00Z,55.4,55.4,100,OVC,California
CCB,2018-11-07T12:00:00Z,55.4,55.4,100,OVC,California
CCB,2018-11-07T12:20:00Z,55.4,55.4,100,OVC,California
CCB,2018-11-07T12:40:00Z,55.4,55.4,100,OVC,California
CCB,2018-11-07T12:55:00Z,55.4,55.4,100,OVC,California
CCB,2018-11-07T13:20:00Z,57.2,55.4,93.69,OVC,California
CCB,2018-11-07T13:40:00Z,57.2,53.6,87.74,OVC,California
CCB,2018-11-07T14:00:00Z,57.2,53.6,87.74,OVC,California
CCB,2018-11-07T14:20:00Z,57.2,55.4,93.69,OVC,California
CCB,2018-11-07T14:40:00Z,57.2,53.6,87.74,OVC,California
CCB,2018-11-07T15:00:00Z,57.2,53.6,87.74,OVC,California
CCB,2018-11-07T15:20:00Z,57.2,53.6,87.74,OVC,California
CCB,2018-11-07T15:40:00Z,57.2,55.4,93.69,OVC,California
CCB,2018-11-07T16:00:00Z,57.2,55.4,93.69,OVC,California
CCB,2018-11-07T16:20:00Z,57.2,55.4,93.69,OVC,California
CCB,2018-11-07T16:40:00Z,57.2,55.4,93.69,OVC,California
CCB,2018-11-07T17:00:00Z,59,55.4,87.83,OVC,California
CCB,2018-11-07T17:15:00Z,59,55.4,87.83,OVC,California
CCB,2018-11-07T17:40:00Z,59,55.4,87.83,BKN,California
CCB,2018-11-07T18:00:00Z,59,53.6,82.25,FEW,California
CCB,2018-11-07T18:20:00Z,60.8,53.6,77.14,BKN,California
CCB,2018-11-07T18:40:00Z,60.8,53.6,77.14,SCT,California
CCB,2018-11-07T19:00:00Z,62.6,53.6,72.38,CLR,California
CCB,2018-11-07T19:20:00Z,64.4,53.6,67.95,CLR,California
CCB,2018-11-07T19:40:00Z,64.4,53.6,67.95,CLR,California
CCB,2018-11-07T20:00:00Z,66.2,53.6,63.82,CLR,California
CCB,2018-11-07T20:20:00Z,68,51.8,56.13,CLR,California
CCB,2018-11-07T20:40:00Z,68,51.8,56.13,CLR,California
CCB,2018-11-07T21:00:00Z,68,51.8,56.13,CLR,California
CCB,2018-11-07T21:20:00Z,69.8,51.8,52.77,CLR,California
CCB,2018-11-07T21:40:00Z,69.8,51.8,52.77,CLR,California
CCB,2018-11-07T22:00:00Z,69.8,51.8,52.77,CLR,California
CCB,2018-11-07T22:20:00Z,69.8,51.8,52.77,CLR,California
CCB,2018-11-07T22:40:00Z,69.8,51.8,52.77,CLR,California
CCB,2018-11-07T23:00:00Z,69.8,51.8,52.77,CLR,California
CCB,2018-11-07T23:20:00Z,69.8,53.6,56.38,CLR,California
CCB,2018-11-07T23:40:00Z,69.8,53.6,56.38,CLR,California
CCB,2018-11-08T00:00:00Z,69.8,53.6,56.38,CLR,California
CCB,2018-11-08T00:15:00Z,68,53.6,59.97,CLR,California
CCB,2018-11-08T00:40:00Z,68,53.6,59.97,CLR,California
CCB,2018-11-08T01:00:00Z,66.2,55.4,68.15,CLR,California
CCB,2018-11-08T01:20:00Z,64.4,55.4,72.56,FEW,California
CCB,2018-11-08T01:40:00Z,64.4,55.4,72.56,FEW,California
CCB,2018-11-08T02:00:00Z,62.6,55.4,77.29,CLR,California
CCB,2018-11-08T02:20:00Z,62.6,55.4,77.29,FEW,California
CCB,2018-11-08T02:40:00Z,60.8,55.4,82.37,CLR,California
CCB,2018-11-08T03:00:00Z,60.8,55.4,82.37,CLR,California
CCB,2018-11-08T03:20:00Z,60.8,55.4,82.37,CLR,California
CCB,2018-11-08T03:40:00Z,59,55.4,87.83,CLR,California
CCB,2018-11-08T04:00:00Z,59,55.4,87.83,CLR,California
CCB,2018-11-08T04:20:00Z,59,55.4,87.83,FEW,California
CCB,2018-11-08T04:40:00Z,59,55.4,87.83,CLR,California
CCB,2018-11-08T05:00:00Z,57.2,55.4,93.69,CLR,California
CCB,2018-11-08T05:20:00Z,57.2,55.4,93.69,SCT,California
CCB,2018-11-08T05:40:00Z,57.2,53.6,87.74,BKN,California
CCB,2018-11-08T06:00:00Z,57.2,53.6,87.74,OVC,California
CCB,2018-11-08T06:20:00Z,57.2,55.4,93.69,SCT,California
CCB,2018-11-08T06:40:00Z,57.2,53.6,87.74,SCT,California
CCB,2018-11-08T07:00:00Z,57.2,53.6,87.74,SCT,California
CCB,2018-11-08T07:20:00Z,57.2,53.6,87.74,FEW,California
