station,valid,tmpf,dwpf,relh,skyc1,state
CPU,2018-11-05T19:30:00Z,71.2,34.7,26.12,CLR,California
CPU,2018-11-05T19:50:00Z,72,34,24.72,CLR,California
CPU,2018-11-05T20:10:00Z,71.6,34,25.06,CLR,California
CPU,2018-11-05T20:30:00Z,71.1,34.9,26.42,CLR,California
CPU,2018-11-05T20:50:00Z,70.7,34,25.84,CLR,California
CPU,2018-11-05T21:10:00Z,70.7,33.8,25.63,CLR,California
CPU,2018-11-05T21:30:00Z,71.4,32.4,23.66,CLR,California
CPU,2018-11-05T21:50:00Z,71.2,32,23.44,CLR,California
CPU,2018-11-05T22:10:00Z,71.1,32.7,24.19,CLR,California
CPU,2018-11-05T22:30:00Z,71.2,32.4,23.82,CLR,California
CPU,2018-11-05T22:50:00Z,70.9,32.2,23.87,CLR,California
CPU,2018-11-05T23:10:00Z,70.5,33.1,25.09,CLR,California
CPU,2018-11-05T23:30:00Z,69.8,33.1,25.7,CLR,California
CPU,2018-11-05T23:50:00Z,69.8,32.5,25.09,CLR,California
CPU,2018-11-06T00:10:00Z,68.9,32.2,25.56,CLR,California
CPU,2018-11-06T00:30:00Z,67.1,32,26.98,CLR,California
CPU,2018-11-06T00:50:00Z,66.4,32,27.64,CLR,California
CPU,2018-11-06T01:10:00Z,65.5,28,24.23,CLR,California
CPU,2018-11-06T01:30:00Z,63.5,27.9,25.88,CLR,California
CPU,2018-11-06T01:50:00Z,62.2,27.9,27.09,CLR,California
CPU,2018-11-06T02:10:00Z,63,25.3,23.66,CLR,California
CPU,2018-11-06T02:30:00Z,62.1,25.3,24.42,CLR,California
CPU,2018-11-06T02:50:00Z,60.8,30,31.02,CLR,California
CPU,2018-11-06T03:10:00Z,58.6,32,36.38,CLR,California
CPU,2018-11-06T03:30:00Z,55,32.9,42.96,CLR,California
CPU,2018-11-06T03:50:00Z,55,32.9,42.96,CLR,California
CPU,2018-11-06T04:10:00Z,54.3,32.9,44.07,CLR,California
CPU,2018-11-06T04:30:00Z,53.6,32.9,45.22,CLR,California
CPU,2018-11-06T04:50:00Z,52.5,32.5,46.33,CLR,California
CPU,2018-11-06T05:10:00Z,52.5,32.7,46.7,CLR,California
CPU,2018-11-06T05:30:00Z,50,32.4,50.61,CLR,California
CPU,2018-11-06T05:50:00Z,50.4,32.4,49.87,CLR,California
CPU,2018-11-06T06:10:00Z,50.9,32,48.17,CLR,California
CPU,2018-11-06T06:30:00Z,50,32,49.81,CLR,California
CPU,2018-11-06T06:50:00Z,48.7,30.4,49,CLR,California
CPU,2018-11-06T07:10:00Z,48,32,53.67,CLR,California
CPU,2018-11-06T07:30:00Z,48.4,32.2,53.3,CLR,California
CPU,2018-11-06T07:50:00Z,47.5,32,54.69,CLR,California
CPU,2018-11-06T08:10:00Z,49.1,32,51.5,CLR,California
CPU,2018-11-06T08:30:00Z,48.2,32,53.27,CLR,California
CPU,2018-11-06T08:50:00Z,48.9,32,51.89,CLR,California
CPU,2018-11-06T09:10:00Z,48.2,31.8,52.84,CLR,California
CPU,2018-11-06T09:30:00Z,48.6,32,52.48,CLR,California
CPU,2018-11-06T09:50:00Z,47.7,32,54.28,CLR,California
CPU,2018-11-06T10:10:00Z,47.3,31.6,54.22,CLR,California
CPU,2018-11-06T10:30:00Z,45.5,31.1,56.87,CLR,California
CPU,2018-11-06T10:50:00Z,46.9,30.6,52.86,CLR,California
CPU,2018-11-06T11:10:00Z,48,31.5,52.6,CLR,California
CPU,2018-11-06T11:30:00Z,48.7,30.7,49.6,CLR,California
CPU,2018-11-06T11:50:00Z,44.4,31.3,59.78,CLR,California
CPU,2018-11-06T12:10:00Z,46.4,31.8,56.54,CLR,California
CPU,2018-11-06T12:30:00Z,46.6,30.9,54.11,CLR,California
CPU,2018-11-06T12:50:00Z,45.5,29.3,52.86,CLR,California
CPU,2018-11-06T13:10:00Z,45,29.1,53.44,CLR,California
CPU,2018-11-06T13:30:00Z,44.6,28.9,53.81,CLR,California
CPU,2018-11-06T13:50:00Z,43.7,29.7,57.54,CLR,California
CPU,2018-11-06T14:10:00Z,44.6,29.3,54.7,CLR,California
CPU,2018-11-06T14:30:00Z,46,30.9,55.36,CLR,California
CPU,2018-11-06T14:50:00Z,44.4,30.9,58.82,CLR,California
CPU,2018-11-06T15:10:00Z,45.1,31.1,57.74,CLR,California
CPU,2018-11-06T15:30:00Z,47.7,28.8,47.66,CLR,California
CPU,2018-11-06T15:50:00Z,48.6,29.1,46.65,CLR,California
CPU,2018-11-06T16:10:00Z,51.8,30.7,44.21,CLR,California
CPU,2018-11-06T16:30:00Z,53.8,30.4,40.58,CLR,California
CPU,2018-11-06T16:50:00Z,56.1,30.4,37.32,CLR,California
CPU,2018-11-06T17:10:00Z,59.2,28.8,31.27,CLR,California
CPU,2018-11-06T17:30:00Z,60.8,29.7,30.65,CLR,California
CPU,2018-11-06T17:50:00Z,64.9,32,29.12,CLR,California
CPU,2018-11-06T18:10:00Z,67.5,33.3,28.04,CLR,California
CPU,2018-11-06T18:30:00Z,68.5,35.1,29.1,CLR,California
CPU,2018-11-06T18:50:00Z,70.3,36.5,28.93,CLR,California
CPU,2018-11-06T19:10:00Z,70.7,37.2,29.33,CLR,California
CPU,2018-11-06T19:30:00Z,70.5,36.7,28.96,CLR,California
CPU,2018-11-06T19:50:00Z,71.2,37.2,28.84,CLR,California
CPU,2018-11-06T20:10:00Z,71.4,36.7,28.09,CLR,California
CPU,2018-11-06T20:30:00Z,72.1,36.7,27.43,CLR,California
CPU,2018-11-06T20:50:00Z,71.6,34.5,25.56,CLR,California
CPU,2018-11-06T21:10:00Z,71.2,34.2,25.61,CLR,California
CPU,2018-11-06T21:30:00Z,71.1,34,25.49,CLR,California
CPU,2018-11-06T21:50:00Z,70.9,33.8,25.46,CLR,California
CPU,2018-11-06T22:10:00Z,70.3,33.8,25.98,CLR,California
CPU,2018-11-06T22:30:00Z,70.5,33.8,25.81,CLR,California
CPU,2018-11-06T22:50:00Z,70.7,33.8,25.63,CLR,California
CPU,2018-11-06T23:10:00Z,70.2,33.6,25.86,CLR,California
CPU,2018-11-06T23:30:00Z,69.4,32.9,25.85,CLR,California
CPU,2018-11-06T23:50:00Z,69.1,32.9,26.11,CLR,California
CPU,2018-11-07T00:10:00Z,68.2,33.6,27.7,CLR,California
CPU,2018-11-07T00:30:00Z,66,34,30.37,CLR,California
CPU,2018-11-07T00:50:00Z,64.6,34.2,32.14,CLR,California
CPU,2018-11-07T01:10:00Z,63.5,33.8,32.87,CLR,California
CPU,2018-11-07T01:30:00Z,62.8,33.1,32.76,CLR,California
CPU,2018-11-07T01:50:00Z,60.3,32.9,35.5,CLR,California
CPU,2018-11-07T02:10:00Z,59.9,33.3,36.6,CLR,California
CPU,2018-11-07T02:30:00Z,59.4,33.8,38.01,CLR,California
CPU,2018-11-07T02:50:00Z,58.3,33.4,38.91,CLR,California
CPU,2018-11-07T03:10:00Z,55.4,34.3,44.78,CLR,California
CPU,2018-11-07T03:30:00Z,54.5,34.3,46.28,CLR,California
CPU,2018-11-07T03:50:00Z,53.2,34.2,48.34,CLR,California
CPU,2018-11-07T04:10:00Z,52.7,34.3,49.43,CLR,California
CPU,2018-11-07T04:30:00Z,51.3,34.2,51.84,CLR,California
CPU,2018-11-07T04:50:00Z,51.1,34,51.81,CLR,California
CPU,2018-11-07T05:10:00Z,50.4,34.2,53.6,CLR,California
CPU,2018-11-07T05:30:00Z,49.1,34,55.81,CLR,California
CPU,2018-11-07T05:50:00Z,49.6,33.8,54.34,CLR,California
CPU,2018-11-07T06:10:00Z,49.1,32.9,53.4,CLR,California
CPU,2018-11-07T06:30:00Z,50,33.8,53.54,CLR,California
CPU,2018-11-07T06:50:00Z,48,33.4,56.78,CLR,California
CPU,2018-11-07T07:10:00Z,46.9,33.6,59.65,CLR,California
CPU,2018-11-07T07:30:00Z,48.4,33.3,55.71,CLR,California
CPU,2018-11-07T07:50:00Z,47.8,32.9,56.07,CLR,California
CPU,2018-11-07T08:10:00Z,47.3,33.4,58.29,CLR,California
CPU,2018-11-07T08:30:00Z,48,33.3,56.55,CLR,California
CPU,2018-11-07T08:50:00Z,46.9,32.9,58,CLR,California
CPU,2018-11-07T09:10:00Z,47.3,32.5,56.22,CLR,California
CPU,2018-11-07T09:30:00Z,47.5,32.2,55.13,CLR,California
CPU,2018-11-07T09:50:00Z,48.2,30.6,50.34,CLR,California
CPU,2018-11-07T10:10:00Z,47.7,30.7,51.5,CLR,California
CPU,2018-11-07T10:30:00Z,46.6,31.5,55.44,CLR,California
CPU,2018-11-07T10:50:00Z,45.9,30.9,55.57,CLR,California
CPU,2018-11-07T11:10:00Z,46.8,30.4,52.63,CLR,California
CPU,2018-11-07T11:30:00Z,46,30.6,54.69,CLR,California
CPU,2018-11-07T11:50:00Z,46.2,29.5,51.9,CLR,California
CPU,2018-11-07T12:10:00Z,46.4,29.3,51.09,CLR,California
CPU,2018-11-07T12:30:00Z,46.6,28.8,49.68,CLR,California
CPU,2018-11-07T12:50:00Z,45.7,28.4,50.57,CLR,California
CPU,2018-11-07T13:10:00Z,46.4,30,52.57,CLR,California
CPU,2018-11-07T13:30:00Z,45.5,30.9,56.41,CLR,California
CPU,2018-11-07T13:50:00Z,45.7,27.9,49.54,CLR,California
CPU,2018-11-07T14:10:00Z,45.7,26.8,47.34,CLR,California
CPU,2018-11-07T14:30:00Z,45.9,31.3,56.47,CLR,California
CPU,2018-11-07T14:50:00Z,46.6,28.2,48.47,CLR,California
CPU,2018-11-07T15:10:00Z,46.4,32.2,57.46,CLR,California
CPU,2018-11-07T15:30:00Z,48.6,28.6,45.71,CLR,California
CPU,2018-11-07T15:50:00Z,50.2,27.5,41.16,CLR,California
CPU,2018-11-07T16:10:00Z,50.9,29.1,42.82,CLR,California
CPU,2018-11-07T16:30:00Z,54.1,31.1,41.29,CLR,California
CPU,2018-11-07T16:50:00Z,58.1,29.5,33.47,CLR,California
CPU,2018-11-07T17:10:00Z,59.7,26.1,27.49,CLR,California
CPU,2018-11-07T17:30:00Z,60.8,26.8,27.21,CLR,California
