station,valid,tmpf,dwpf,relh,skyc1,state
CQT,2018-01-01T00:47:00Z,59,52,77.55,CLR,California
CQT,2018-01-01T01:47:00Z,57,52,83.33,CLR,California
CQT,2018-01-01T02:47:00Z,55.9,53.1,90.29,CLR,California
CQT,2018-01-01T03:11:00Z,55.9,53.1,90.29,CLR,California
CQT,2018-01-01T03:47:00Z,55,52,89.59,CLR,California
CQT,2018-01-01T03:53:00Z,55,52,89.59,CLR,California
CQT,2018-01-01T03:58:00Z,55,52,89.59,CLR,California
CQT,2018-01-01T04:47:00Z,54,51.1,89.88,CLR,California
CQT,2018-01-01T05:47:00Z,54,51.1,89.88,CLR,California
CQT,2018-01-01T06:47:00Z,53.1,51.1,92.89,CLR,California
CQT,2018-01-01T07:23:00Z,53.1,51.1,92.89,CLR,California
CQT,2018-01-01T07:47:00Z,53.1,51.1,92.89,CLR,California
CQT,2018-01-01T08:47:00Z,51.1,50,96,CLR,California
CQT,2018-01-01T09:47:00Z,50,48,92.8,CLR,California
CQT,2018-01-01T10:47:00Z,48.9,46.9,92.77,CLR,California
CQT,2018-01-01T11:47:00Z,48.9,46,89.67,CLR,California
CQT,2018-01-01T11:55:00Z,48,46.9,95.95,CLR,California
CQT,2018-01-01T12:30:00Z,48,46,92.74,CLR,California
CQT,2018-01-01T12:47:00Z,48,46,92.74,CLR,California
CQT,2018-01-01T13:32:00Z,46.9,45,93.06,CLR,California
CQT,2018-01-01T13:47:00Z,48,45,89.29,CLR,California
CQT,2018-01-01T14:47:00Z,46.9,44.1,89.92,CLR,California
CQT,2018-01-01T15:09:00Z,46.9,44.1,89.92,CLR,California
CQT,2018-01-01T15:42:00Z,48,44.1,86.28,CLR,California
CQT,2018-01-01T15:47:00Z,48,45,89.29,CLR,California
CQT,2018-01-01T16:06:00Z,48.9,45,86.33,CLR,California
CQT,2018-01-01T16:38:00Z,53.1,45,73.89,CLR,California
CQT,2018-01-01T16:47:00Z,53.1,46,76.75,CLR,California
CQT,2018-01-01T17:04:00Z,NA,NA,NA,NA,California
CQT,2018-01-01T17:10:00Z,55.9,46,69.3,CLR,California
CQT,2018-01-01T17:26:00Z,57,45,64.12,CLR,California
CQT,2018-01-01T17:47:00Z,57.9,44.1,59.98,CLR,California
CQT,2018-01-01T18:47:00Z,63,41,44.41,CLR,California
CQT,2018-01-01T19:47:00Z,66.9,42.1,40.45,CLR,California
CQT,2018-01-01T20:47:00Z,68,41,37.32,CLR,California
CQT,2018-01-01T21:47:00Z,70,39.9,33.39,CLR,California
CQT,2018-01-01T22:47:00Z,66,51.1,58.62,CLR,California
CQT,2018-01-01T23:47:00Z,63,48.9,59.98,CLR,California
CQT,2018-01-02T00:47:00Z,61,53.1,75.2,CLR,California
CQT,2018-01-02T01:47:00Z,59,54,83.46,CLR,California
CQT,2018-01-02T02:05:00Z,59,55,86.56,FEW,California
CQT,2018-01-02T02:47:00Z,57.9,55,90.04,CLR,California
CQT,2018-01-02T03:47:00Z,57,54,89.68,CLR,California
CQT,2018-01-02T04:47:00Z,55,53.1,93.29,CLR,California
CQT,2018-01-02T05:47:00Z,54,52,92.92,CLR,California
CQT,2018-01-02T06:47:00Z,54,51.1,89.88,CLR,California
CQT,2018-01-02T07:47:00Z,54,52,92.92,CLR,California
CQT,2018-01-02T08:47:00Z,54,51.1,89.88,CLR,California
CQT,2018-01-02T09:47:00Z,53.1,51.1,92.89,CLR,California
CQT,2018-01-02T10:47:00Z,53.1,51.1,92.89,CLR,California
CQT,2018-01-02T11:47:00Z,53.1,50,89.18,CLR,California
CQT,2018-01-02T12:47:00Z,53.1,50,89.18,CLR,California
CQT,2018-01-02T13:21:00Z,53.1,50,89.18,FEW,California
CQT,2018-01-02T13:47:00Z,54,50,86.29,FEW,California
CQT,2018-01-02T14:17:00Z,53.1,50,89.18,CLR,California
CQT,2018-01-02T14:24:00Z,54,50,86.29,FEW,California
CQT,2018-01-02T14:36:00Z,54,51.1,89.88,SCT,California
CQT,2018-01-02T14:47:00Z,54,51.1,89.88,FEW,California
CQT,2018-01-02T15:47:00Z,55,50,83.2,CLR,California
CQT,2018-01-02T16:47:00Z,57.9,46.9,66.7,CLR,California
CQT,2018-01-02T17:47:00Z,62.1,48.9,61.91,CLR,California
CQT,2018-01-02T18:47:00Z,66.9,44.1,43.67,CLR,California
CQT,2018-01-02T19:47:00Z,73,39,29.12,CLR,California
CQT,2018-01-02T20:47:00Z,75.9,32,20.01,CLR,California
CQT,2018-01-02T21:47:00Z,72,50,45.81,CLR,California
CQT,2018-01-02T22:47:00Z,70,50,49.03,CLR,California
CQT,2018-01-02T23:47:00Z,66,51.1,58.62,CLR,California
CQT,2018-01-03T00:47:00Z,63,54,72.42,CLR,California
CQT,2018-01-03T01:47:00Z,61,55,80.61,CLR,California
CQT,2018-01-03T02:47:00Z,60.1,55,83.23,CLR,California
CQT,2018-01-03T03:47:00Z,59,55,86.56,CLR,California
CQT,2018-01-03T04:47:00Z,59,54,83.46,CLR,California
CQT,2018-01-03T05:47:00Z,57,53.1,86.77,CLR,California
CQT,2018-01-03T06:47:00Z,57,53.1,86.77,CLR,California
CQT,2018-01-03T07:47:00Z,57,44.1,61.95,CLR,California
CQT,2018-01-03T08:47:00Z,57,37,47.04,CLR,California
CQT,2018-01-03T09:47:00Z,61,28.9,29.45,CLR,California
CQT,2018-01-03T10:47:00Z,54,39.9,58.76,CLR,California
CQT,2018-01-03T11:47:00Z,54,41,61.32,CLR,California
CQT,2018-01-03T12:47:00Z,54,39.9,58.76,CLR,California
CQT,2018-01-03T13:47:00Z,55.9,34,43.46,CLR,California
CQT,2018-01-03T14:47:00Z,55.9,34,43.46,CLR,California
CQT,2018-01-03T15:47:00Z,59,30.9,34.31,CLR,California
CQT,2018-01-03T16:47:00Z,62.1,32,32.13,CLR,California
CQT,2018-01-03T17:47:00Z,66.9,28.9,23.95,CLR,California
CQT,2018-01-03T18:47:00Z,68,41,37.32,CLR,California
CQT,2018-01-03T19:47:00Z,72,28.9,20.12,CLR,California
CQT,2018-01-03T20:47:00Z,70,37.9,30.88,CLR,California
CQT,2018-01-03T21:47:00Z,71.1,37,28.71,CLR,California
CQT,2018-01-03T22:47:00Z,73.9,30.9,20.47,CLR,California
CQT,2018-01-03T23:47:00Z,71.1,37,28.71,CLR,California
CQT,2018-01-04T00:47:00Z,64.9,54,67.76,CLR,California
CQT,2018-01-04T01:47:00Z,64,51.1,62.85,FEW,California
CQT,2018-01-04T02:47:00Z,63,51.1,65.09,CLR,California
CQT,2018-01-04T03:47:00Z,62.1,52,69.46,SCT,California
CQT,2018-01-04T04:47:00Z,59,52,77.55,FEW,California
CQT,2018-01-04T05:47:00Z,57,51.1,80.6,CLR,California
CQT,2018-01-04T06:47:00Z,57,52,83.33,CLR,California
CQT,2018-01-04T07:47:00Z,55.9,53.1,90.29,CLR,California
CQT,2018-01-04T08:47:00Z,57.9,50,74.91,SCT,California
CQT,2018-01-04T09:47:00Z,55,50,83.2,FEW,California
CQT,2018-01-04T10:47:00Z,54,50,86.29,SCT,California
CQT,2018-01-04T11:47:00Z,57,45,64.12,OVC,California
CQT,2018-01-04T12:47:00Z,54,46,74.26,SCT,California
CQT,2018-01-04T13:47:00Z,55,43,63.86,FEW,California
CQT,2018-01-04T14:47:00Z,54,43,66.24,CLR,California
CQT,2018-01-04T15:47:00Z,55,44.1,66.61,CLR,California
CQT,2018-01-04T16:47:00Z,62.1,39.9,43.93,CLR,California
CQT,2018-01-04T17:47:00Z,64.9,44.1,46.81,FEW,California
CQT,2018-01-04T18:47:00Z,69.1,46,43.52,FEW,California
CQT,2018-01-04T19:47:00Z,71.1,39.9,32.16,OVC,California
CQT,2018-01-04T20:47:00Z,73,39.9,30.16,CLR,California
CQT,2018-01-04T21:47:00Z,73.9,39.9,29.26,BKN,California
CQT,2018-01-04T22:47:00Z,72,48.9,43.97,SCT,California
CQT,2018-01-04T23:47:00Z,71.1,48,43.83,FEW,California
CQT,2018-01-05T00:47:00Z,68,39.9,35.76,CLR,California
CQT,2018-01-05T01:47:00Z,64,48,55.99,SCT,California
CQT,2018-01-05T02:47:00Z,62.1,51.1,67.19,CLR,California
CQT,2018-01-05T03:47:00Z,62.1,48,59.86,CLR,California
CQT,2018-01-05T04:47:00Z,60.1,51.1,72.13,CLR,California
CQT,2018-01-05T05:47:00Z,59,48.9,69.12,CLR,California
CQT,2018-01-05T06:47:00Z,60.1,53.1,77.65,OVC,California
CQT,2018-01-05T07:47:00Z,59,51.1,75.02,FEW,California
CQT,2018-01-05T08:47:00Z,57,51.1,80.6,CLR,California
CQT,2018-01-05T09:47:00Z,59,50,72.01,CLR,California
CQT,2018-01-05T10:47:00Z,59,48.9,69.12,CLR,California
CQT,2018-01-05T11:47:00Z,57,48,71.81,CLR,California
CQT,2018-01-05T12:47:00Z,55.9,48,74.72,CLR,California
CQT,2018-01-05T13:47:00Z,54,46.9,76.83,CLR,California
CQT,2018-01-05T14:47:00Z,54,46.9,76.83,CLR,California
CQT,2018-01-05T15:47:00Z,55.9,48,74.72,CLR,California
CQT,2018-01-05T16:47:00Z,62.1,52,69.46,CLR,California
CQT,2018-01-05T17:47:00Z,66.9,53.1,61.16,CLR,California
CQT,2018-01-05T18:47:00Z,70,51.1,51.07,CLR,California
