station,valid,tmpf,dwpf,relh,skyc1,state
CZZ,2018-01-01T00:52:00Z,61,35.1,37.81,NA,California
CZZ,2018-01-01T01:52:00Z,52,33.1,48.34,NA,California
CZZ,2018-01-01T02:52:00Z,48,30.9,51.34,NA,California
CZZ,2018-01-01T03:52:00Z,44.1,28.9,54.85,NA,California
CZZ,2018-01-01T04:52:00Z,41,27,57.15,NA,California
CZZ,2018-01-01T05:52:00Z,42.1,27,54.78,NA,California
CZZ,2018-01-01T06:52:00Z,39.9,25,54.9,NA,California
CZZ,2018-01-01T07:52:00Z,39.9,25,54.9,NA,California
CZZ,2018-01-01T08:52:00Z,37,23,56.57,NA,California
CZZ,2018-01-01T09:52:00Z,36,21,54.08,NA,California
CZZ,2018-01-01T10:52:00Z,34,19.9,55.88,NA,California
CZZ,2018-01-01T11:52:00Z,36,19.9,51.61,NA,California
CZZ,2018-01-01T12:52:00Z,36,19.9,51.61,NA,California
CZZ,2018-01-01T13:52:00Z,37,21,51.99,NA,California
CZZ,2018-01-01T14:52:00Z,39,21,48.06,NA,California
CZZ,2018-01-01T15:52:00Z,41,23,48.39,NA,California
CZZ,2018-01-01T16:52:00Z,59,24.1,25.93,NA,California
CZZ,2018-01-01T17:52:00Z,70,16,12.5,NA,California
CZZ,2018-01-01T18:52:00Z,72,15.1,11.23,NA,California
CZZ,2018-01-01T19:52:00Z,73,15.1,10.86,NA,California
CZZ,2018-01-01T20:52:00Z,75,15.1,10.15,NA,California
CZZ,2018-01-01T21:52:00Z,72,14,10.7,NA,California
CZZ,2018-01-01T22:52:00Z,70,15.1,12.02,NA,California
CZZ,2018-01-01T23:52:00Z,68,14,12.27,NA,California
CZZ,2018-01-02T00:52:00Z,63,12.9,13.91,NA,California
CZZ,2018-01-02T01:52:00Z,55.9,14,18.82,NA,California
CZZ,2018-01-02T02:52:00Z,55,14,19.44,NA,California
CZZ,2018-01-02T03:52:00Z,50,12.9,22.27,NA,California
CZZ,2018-01-02T04:52:00Z,52,12.9,20.68,NA,California
CZZ,2018-01-02T05:52:00Z,52,12.9,20.68,NA,California
CZZ,2018-01-02T06:52:00Z,48.9,15.1,25.55,NA,California
CZZ,2018-01-02T07:52:00Z,53.1,14,20.84,NA,California
CZZ,2018-01-02T08:52:00Z,48.9,15.1,25.55,NA,California
CZZ,2018-01-02T09:52:00Z,48.9,16,26.57,NA,California
CZZ,2018-01-02T10:52:00Z,48,15.1,26.42,NA,California
CZZ,2018-01-02T11:52:00Z,43,14,30.44,NA,California
