station,valid,tmpf,dwpf,relh,skyc1,state
DLO,2018-11-06T14:15:00Z,42.1,36.9,81.66,CLR,California
DLO,2018-11-06T14:35:00Z,42.3,36.9,81.03,CLR,California
DLO,2018-11-06T14:55:00Z,42.6,36.9,80.1,CLR,California
DLO,2018-11-06T15:15:00Z,43.7,37.6,78.94,CLR,California
DLO,2018-11-06T15:35:00Z,45.1,38.7,78.13,CLR,California
DLO,2018-11-06T15:55:00Z,48.6,39.2,69.82,CLR,California
DLO,2018-11-06T16:15:00Z,52,39.4,62.02,CLR,California
DLO,2018-11-06T16:35:00Z,54.9,37,50.76,CLR,California
DLO,2018-11-06T16:55:00Z,56.5,35.2,44.6,CLR,California
DLO,2018-11-06T17:15:00Z,57.4,37,46.37,CLR,California
DLO,2018-11-06T17:35:00Z,58.1,37.6,46.29,CLR,California
DLO,2018-11-06T17:55:00Z,58.5,36.5,43.7,CLR,California
DLO,2018-11-06T18:15:00Z,59.9,34.7,38.7,CLR,California
DLO,2018-11-06T18:35:00Z,61,31.8,33.13,CLR,California
DLO,2018-11-06T18:55:00Z,61.9,30.7,30.7,CLR,California
DLO,2018-11-06T19:15:00Z,63,30.7,29.53,CLR,California
DLO,2018-11-06T19:35:00Z,64,31.1,28.98,CLR,California
DLO,2018-11-06T19:55:00Z,64.8,29.8,26.73,CLR,California
DLO,2018-11-06T20:15:00Z,66.2,30.7,26.41,CLR,California
DLO,2018-11-06T20:35:00Z,67.5,30.6,25.14,CLR,California
DLO,2018-11-06T20:55:00Z,67.5,30.2,24.74,CLR,California
DLO,2018-11-06T21:15:00Z,68.5,31.1,24.79,CLR,California
DLO,2018-11-06T21:35:00Z,69.1,31.5,24.68,CLR,California
DLO,2018-11-06T21:55:00Z,69.8,31.8,24.39,CLR,California
DLO,2018-11-06T22:15:00Z,70,31.6,24.03,CLR,California
DLO,2018-11-06T22:35:00Z,70.2,31.6,23.87,CLR,California
DLO,2018-11-06T22:55:00Z,70.7,30.7,22.62,CLR,California
DLO,2018-11-06T23:15:00Z,70.7,31.8,23.65,CLR,California
DLO,2018-11-06T23:35:00Z,70.9,32,23.68,CLR,California
DLO,2018-11-06T23:55:00Z,70.9,32.2,23.87,CLR,California
DLO,2018-11-07T00:15:00Z,70.2,32.7,24.95,CLR,California
DLO,2018-11-07T00:35:00Z,69.6,33.6,26.4,CLR,California
DLO,2018-11-07T00:55:00Z,68.9,32.4,25.77,CLR,California
DLO,2018-11-07T01:15:00Z,67.1,34.5,29.82,CLR,California
DLO,2018-11-07T01:35:00Z,61.2,37,40.48,CLR,California
DLO,2018-11-07T01:55:00Z,58.6,36.9,44.23,CLR,California
DLO,2018-11-07T02:15:00Z,57,38.7,50.29,CLR,California
DLO,2018-11-07T02:35:00Z,55.8,38.5,52.11,CLR,California
DLO,2018-11-07T02:55:00Z,52.7,40.5,63.08,CLR,California
DLO,2018-11-07T03:15:00Z,52.2,40.5,64.25,CLR,California
DLO,2018-11-07T03:35:00Z,51.1,40.1,65.89,CLR,California
DLO,2018-11-07T03:55:00Z,50.5,39.4,65.56,CLR,California
DLO,2018-11-07T04:15:00Z,48.9,37.2,63.84,CLR,California
DLO,2018-11-07T04:35:00Z,50.2,38.1,63.01,CLR,California
DLO,2018-11-07T04:55:00Z,50.9,37.9,60.91,CLR,California
DLO,2018-11-07T05:15:00Z,49.3,36.9,62.15,CLR,California
DLO,2018-11-07T05:35:00Z,48.2,35.8,62.01,CLR,California
DLO,2018-11-07T05:55:00Z,47.8,36.3,64.2,CLR,California
DLO,2018-11-07T06:15:00Z,47.3,35.8,64.14,CLR,California
DLO,2018-11-07T06:35:00Z,45.7,34.3,64.19,CLR,California
DLO,2018-11-07T06:55:00Z,43.7,33.1,66.02,CLR,California
DLO,2018-11-07T07:15:00Z,43.5,33.6,67.88,CLR,California
DLO,2018-11-07T07:35:00Z,43.7,34.5,69.82,CLR,California
DLO,2018-11-07T07:55:00Z,43.7,35.8,73.53,CLR,California
DLO,2018-11-07T08:15:00Z,43.2,35.8,74.95,CLR,California
DLO,2018-11-07T08:35:00Z,44.8,37,73.93,CLR,California
DLO,2018-11-07T08:55:00Z,43.7,34.3,69.27,CLR,California
DLO,2018-11-07T09:15:00Z,41.9,34,73.34,CLR,California
DLO,2018-11-07T09:35:00Z,40.8,33.1,73.82,CLR,California
DLO,2018-11-07T09:55:00Z,39.7,32.2,74.3,CLR,California
DLO,2018-11-07T10:15:00Z,40.1,32.2,73.16,CLR,California
DLO,2018-11-07T10:35:00Z,39.9,32.9,75.83,CLR,California
DLO,2018-11-07T10:55:00Z,39.7,32.2,74.3,CLR,California
DLO,2018-11-07T11:15:00Z,39.2,31.6,73.95,CLR,California
DLO,2018-11-07T11:35:00Z,39.2,32.5,76.69,CLR,California
DLO,2018-11-07T11:55:00Z,39.4,32.9,77.32,CLR,California
DLO,2018-11-07T12:15:00Z,41.4,34.5,76.28,CLR,California
DLO,2018-11-07T12:35:00Z,42.1,34.5,74.25,CLR,California
DLO,2018-11-07T12:55:00Z,38.3,31.1,75.07,CLR,California
DLO,2018-11-07T13:15:00Z,39.4,32,74.57,CLR,California
