station,valid,tmpf,dwpf,relh,skyc1,state
E16,2018-01-01T00:10:00Z,57.2,48.2,71.83,CLR,California
E16,2018-01-01T00:30:00Z,57.2,48.2,71.83,CLR,California
E16,2018-01-01T00:50:00Z,55.4,48.2,76.66,CLR,California
E16,2018-01-01T01:10:00Z,55.4,48.2,76.66,CLR,California
E16,2018-01-01T01:30:00Z,53.6,46.4,76.5,FEW,California
E16,2018-01-01T01:50:00Z,53.6,46.4,76.5,SCT,California
E16,2018-01-01T02:10:00Z,53.6,46.4,76.5,SCT,California
E16,2018-01-01T02:30:00Z,50,46.4,87.37,BKN,California
E16,2018-01-01T02:50:00Z,50,46.4,87.37,BKN,California
E16,2018-01-01T03:10:00Z,48.2,46.4,93.45,BKN,California
E16,2018-01-01T03:30:00Z,50,46.4,87.37,FEW,California
E16,2018-01-01T03:50:00Z,48.2,46.4,93.45,FEW,California
E16,2018-01-01T04:10:00Z,48.2,44.6,87.28,SCT,California
E16,2018-01-01T04:30:00Z,48.2,44.6,87.28,SCT,California
E16,2018-01-01T04:50:00Z,46.4,44.6,93.4,FEW,California
E16,2018-01-01T05:10:00Z,46.4,44.6,93.4,FEW,California
E16,2018-01-01T05:30:00Z,46.4,44.6,93.4,FEW,California
E16,2018-01-01T05:50:00Z,44.6,44.6,100,FEW,California
E16,2018-01-01T06:10:00Z,44.6,42.8,93.35,SCT,California
E16,2018-01-01T06:30:00Z,44.6,44.6,100,SCT,California
E16,2018-01-01T06:50:00Z,44.6,44.6,100,SCT,California
E16,2018-01-01T07:10:00Z,44.6,42.8,93.35,SCT,California
E16,2018-01-01T07:30:00Z,44.6,42.8,93.35,BKN,California
E16,2018-01-01T07:50:00Z,44.6,42.8,93.35,SCT,California
E16,2018-01-01T08:10:00Z,44.6,42.8,93.35,SCT,California
E16,2018-01-01T08:30:00Z,44.6,42.8,93.35,BKN,California
E16,2018-01-01T08:50:00Z,44.6,42.8,93.35,SCT,California
E16,2018-01-01T09:10:00Z,44.6,42.8,93.35,BKN,California
E16,2018-01-01T09:30:00Z,44.6,41,87.09,OVC,California
E16,2018-01-01T09:50:00Z,44.6,41,87.09,OVC,California
E16,2018-01-01T10:10:00Z,42.8,41,93.3,OVC,California
E16,2018-01-01T10:30:00Z,41,41,100,BKN,California
E16,2018-01-01T10:50:00Z,41,39.2,93.24,BKN,California
E16,2018-01-01T11:10:00Z,41,39.2,93.24,SCT,California
E16,2018-01-01T11:30:00Z,41,39.2,93.24,BKN,California
E16,2018-01-01T11:50:00Z,39.2,39.2,100,FEW,California
E16,2018-01-01T12:10:00Z,39.2,39.2,100,CLR,California
E16,2018-01-01T12:30:00Z,39.2,39.2,100,CLR,California
E16,2018-01-01T12:50:00Z,39.2,39.2,100,SCT,California
E16,2018-01-01T13:10:00Z,39.2,39.2,100,BKN,California
E16,2018-01-01T13:30:00Z,39.2,39.2,100,SCT,California
E16,2018-01-01T13:50:00Z,39.2,39.2,100,SCT,California
E16,2018-01-01T14:10:00Z,39.2,37.4,93.19,SCT,California
