station,valid,tmpf,dwpf,relh,skyc1,state
EDW,2018-01-01T00:58:00Z,62.8,11.1,12.94,CLR,California
EDW,2018-01-01T01:58:00Z,55.4,8.4,14.94,FEW,California
EDW,2018-01-01T02:58:00Z,50.4,7.2,17,CLR,California
EDW,2018-01-01T03:58:00Z,46.4,6.3,18.96,CLR,California
EDW,2018-01-01T04:58:00Z,41.9,3.7,19.99,CLR,California
EDW,2018-01-01T05:58:00Z,41.4,7.2,23.91,CLR,California
EDW,2018-01-01T06:58:00Z,39.9,4.1,22,CLR,California
EDW,2018-01-01T07:58:00Z,36.1,3.7,25.07,CLR,California
EDW,2018-01-01T08:58:00Z,32.7,1.6,26.05,CLR,California
EDW,2018-01-01T09:58:00Z,35.1,1.9,24,CLR,California
EDW,2018-01-01T10:58:00Z,33.1,0.1,23.9,CLR,California
EDW,2018-01-01T11:58:00Z,29.3,-2.2,25.01,CLR,California
EDW,2018-01-01T12:58:00Z,28.9,0,28.2,CLR,California
EDW,2018-01-01T13:58:00Z,28.8,1.2,29.95,CLR,California
EDW,2018-01-01T14:58:00Z,28.6,-2.9,24.89,BKN,California
EDW,2018-01-01T15:58:00Z,30.2,0.1,26.87,BKN,California
EDW,2018-01-01T16:58:00Z,35.4,5.5,28,BKN,California
EDW,2018-01-01T17:58:00Z,44.8,8.2,21.96,CLR,California
EDW,2018-01-01T18:58:00Z,52.3,11.3,19.05,CLR,California
EDW,2018-01-01T19:58:00Z,58.3,10.8,14.98,CLR,California
EDW,2018-01-01T20:58:00Z,61.2,11.5,13.94,CLR,California
EDW,2018-01-01T21:58:00Z,64,10.4,12.02,CLR,California
EDW,2018-01-01T22:58:00Z,64.6,10.8,11.99,CLR,California
EDW,2018-01-01T23:58:00Z,63.9,10.2,11.96,CLR,California
EDW,2018-01-02T00:58:00Z,59.4,10,13.9,BKN,California
EDW,2018-01-02T01:58:00Z,55.6,8.6,14.97,OVC,California
EDW,2018-01-02T02:58:00Z,51.6,6.8,15.97,BKN,California
EDW,2018-01-02T03:58:00Z,45.3,5.4,18.97,FEW,California
EDW,2018-01-02T04:58:00Z,45.5,6.8,20.07,CLR,California
EDW,2018-01-02T05:58:00Z,44.4,5.9,20.09,FEW,California
EDW,2018-01-02T06:58:00Z,41,5,21.97,CLR,California
EDW,2018-01-02T07:58:00Z,38.3,3.7,22.99,OVC,California
EDW,2018-01-02T08:58:00Z,38.5,2.8,21.88,CLR,California
EDW,2018-01-02T09:58:00Z,36.5,3,23.89,CLR,California
EDW,2018-01-02T10:58:00Z,37.4,1,21.02,CLR,California
EDW,2018-01-02T11:58:00Z,36.3,0.1,21.04,CLR,California
EDW,2018-01-02T12:58:00Z,36.3,0.1,21.04,CLR,California
EDW,2018-01-02T13:58:00Z,37.2,0.9,21.08,FEW,California
EDW,2018-01-02T14:58:00Z,36.1,1.9,23.07,FEW,California
EDW,2018-01-02T15:58:00Z,36.7,3.2,23.93,SCT,California
EDW,2018-01-02T16:58:00Z,39.9,4.1,22,SCT,California
EDW,2018-01-02T17:58:00Z,46.8,5.5,18.01,SCT,California
EDW,2018-01-02T18:58:00Z,52.7,7.7,15.98,SCT,California
EDW,2018-01-02T19:58:00Z,58.5,7.7,12.94,SCT,California
EDW,2018-01-02T20:58:00Z,61.5,8.4,12,SCT,California
EDW,2018-01-02T21:58:00Z,64.6,8.8,10.96,SCT,California
EDW,2018-01-02T22:58:00Z,68,9.3,9.96,FEW,California
EDW,2018-01-02T23:28:00Z,68,10.4,10.47,BKN,California
EDW,2018-01-02T23:52:00Z,68,12.2,11.34,BKN,California
EDW,2018-01-02T23:58:00Z,68.2,11.7,11.01,BKN,California
EDW,2018-01-03T00:32:00Z,66.2,12.2,12.06,SCT,California
EDW,2018-01-03T00:58:00Z,63,9.5,11.96,FEW,California
EDW,2018-01-03T01:58:00Z,57.6,8.6,13.92,FEW,California
EDW,2018-01-03T02:58:00Z,54.1,7.5,15.04,SCT,California
EDW,2018-01-03T03:58:00Z,54.5,14.2,19.97,SCT,California
EDW,2018-01-03T04:58:00Z,52.3,12.4,20,FEW,California
EDW,2018-01-03T05:58:00Z,50.5,13.1,22.05,FEW,California
EDW,2018-01-03T06:58:00Z,46,11.3,24.1,CLR,California
EDW,2018-01-03T07:58:00Z,45,12.2,26.05,CLR,California
EDW,2018-01-03T08:58:00Z,40.3,8.1,25.99,CLR,California
EDW,2018-01-03T09:58:00Z,37.6,8.2,29.01,CLR,California
