station,valid,tmpf,dwpf,relh,skyc1,state
GXA,2018-01-01T00:55:00Z,64,13.6,13.85,FEW,California
GXA,2018-01-01T01:55:00Z,54.5,11.8,17.97,FEW,California
GXA,2018-01-01T02:55:00Z,47.3,8.2,19.98,CLR,California
GXA,2018-01-01T03:55:00Z,44.8,9.5,23.28,CLR,California
GXA,2018-01-01T04:55:00Z,45.5,11.1,24.35,CLR,California
GXA,2018-01-01T05:55:00Z,45.5,12.2,25.56,CLR,California
GXA,2018-01-01T06:55:00Z,43.5,12.2,27.59,CLR,California
GXA,2018-01-01T07:55:00Z,44.1,13.1,28.06,CLR,California
GXA,2018-01-01T08:55:00Z,43.9,13.6,28.9,CLR,California
GXA,2018-01-01T09:55:00Z,41.9,13.8,31.48,CLR,California
GXA,2018-01-01T10:55:00Z,40.3,13.3,32.76,CLR,California
GXA,2018-01-01T11:55:00Z,38.1,12.9,NA,NA,California
GXA,2018-01-01T12:55:00Z,NA,NA,NA,NA,California
GXA,2018-01-01T13:55:00Z,NA,NA,NA,NA,California
GXA,2018-01-01T15:55:00Z,40.3,12.4,31.49,CLR,California
GXA,2018-01-01T16:55:00Z,51.6,14,22.02,CLR,California
GXA,2018-01-01T17:55:00Z,56.7,13.3,17.73,CLR,California
GXA,2018-01-01T18:55:00Z,58.8,NA,NA,CLR,California
GXA,2018-01-01T19:55:00Z,63,14.7,15.06,CLR,California
GXA,2018-01-01T20:55:00Z,65.1,12.9,12.93,CLR,California
GXA,2018-01-01T21:55:00Z,66,10.6,11.31,CLR,California
GXA,2018-01-01T22:55:00Z,66.2,10.2,11.04,CLR,California
GXA,2018-01-01T23:55:00Z,65.3,8.8,10.7,CLR,California
GXA,2018-01-02T00:55:00Z,61.2,8.8,12.35,BKN,California
GXA,2018-01-02T01:55:00Z,56.3,8.4,14.46,BKN,California
GXA,2018-01-02T02:55:00Z,52.9,8.1,16.15,BKN,California
GXA,2018-01-02T03:55:00Z,48.2,6.8,18.13,FEW,California
GXA,2018-01-02T04:55:00Z,44.1,6.6,20.98,BKN,California
GXA,2018-01-02T05:55:00Z,43.3,6.1,21.14,CLR,California
GXA,2018-01-02T06:55:00Z,42.4,5.5,21.3,FEW,California
GXA,2018-01-02T07:55:00Z,43.5,6.3,21.17,BKN,California
GXA,2018-01-02T08:55:00Z,44.1,6.8,21.17,BKN,California
GXA,2018-01-02T09:55:00Z,45.5,7,20.25,BKN,California
GXA,2018-01-02T10:55:00Z,45.9,6.8,19.77,CLR,California
GXA,2018-01-02T11:55:00Z,45.9,6.8,NA,NA,California
GXA,2018-01-02T12:55:00Z,NA,NA,NA,NA,California
GXA,2018-01-02T13:55:00Z,NA,NA,NA,NA,California
GXA,2018-01-02T16:55:00Z,51.1,9,17.97,BKN,California
GXA,2018-01-02T17:55:00Z,56.7,10.6,15.73,FEW,California
GXA,2018-01-02T18:55:00Z,61.9,NA,NA,FEW,California
GXA,2018-01-02T19:55:00Z,65.3,5.7,9.3,FEW,California
GXA,2018-01-02T20:55:00Z,66.9,-11.2,3.94,FEW,California
GXA,2018-01-02T21:55:00Z,67.8,NA,NA,FEW,California
GXA,2018-01-02T22:55:00Z,67.5,NA,NA,FEW,California
GXA,2018-01-02T23:55:00Z,65.8,-11.7,3.99,CLR,California
GXA,2018-01-03T00:55:00Z,61.7,-14.6,3.98,CLR,California
GXA,2018-01-03T01:55:00Z,57,14.9,18.81,SCT,California
GXA,2018-01-03T02:55:00Z,51.1,12,20.54,FEW,California
GXA,2018-01-03T03:55:00Z,50,12.7,22.07,BKN,California
GXA,2018-01-03T04:55:00Z,49.6,14.9,24.67,BKN,California
GXA,2018-01-03T05:55:00Z,47.3,14.9,26.89,BKN,California
GXA,2018-01-03T06:55:00Z,45.9,15.6,29.23,FEW,California
GXA,2018-01-03T07:55:00Z,44.2,14.9,30.24,FEW,California
GXA,2018-01-03T08:55:00Z,41.9,14.9,33.03,CLR,California
GXA,2018-01-03T09:55:00Z,41.2,14.9,33.94,CLR,California
GXA,2018-01-03T10:55:00Z,40.5,14.5,34.27,CLR,California
GXA,2018-01-03T11:55:00Z,39,14.4,NA,NA,California
GXA,2018-01-03T12:55:00Z,NA,NA,NA,NA,California
GXA,2018-01-03T13:55:00Z,NA,NA,NA,NA,California
GXA,2018-01-03T16:55:00Z,47.3,16.9,29.33,FEW,California
GXA,2018-01-03T17:55:00Z,52.9,17.2,24.13,FEW,California
GXA,2018-01-03T18:55:00Z,56.8,16.9,20.66,BKN,California
GXA,2018-01-03T19:55:00Z,58.8,16,18.5,FEW,California
GXA,2018-01-03T20:55:00Z,61.7,NA,NA,BKN,California
GXA,2018-01-03T21:55:00Z,62.2,1.4,8.5,FEW,California
GXA,2018-01-03T22:55:00Z,59.4,15.4,17.64,BKN,California
GXA,2018-01-03T23:55:00Z,57.2,16.9,20.37,BKN,California
GXA,2018-01-04T00:55:00Z,55,16.3,21.49,FEW,California
GXA,2018-01-04T01:55:00Z,51.3,15.4,23.67,FEW,California
GXA,2018-01-04T02:55:00Z,48.2,14.5,25.55,SCT,California
GXA,2018-01-04T03:55:00Z,48.2,14.9,26,BKN,California
GXA,2018-01-04T04:55:00Z,47.7,14,25.47,SCT,California
GXA,2018-01-04T05:55:00Z,49.1,14.4,24.59,OVC,California
GXA,2018-01-04T06:55:00Z,49.3,14.5,24.52,OVC,California
GXA,2018-01-04T07:55:00Z,48.2,14.9,26,FEW,California
GXA,2018-01-04T08:55:00Z,42.3,13.5,30.59,CLR,California
GXA,2018-01-04T09:55:00Z,41.9,14,31.76,FEW,California
GXA,2018-01-04T10:55:00Z,41.4,14,NA,NA,California
GXA,2018-01-04T11:55:00Z,NA,NA,NA,NA,California
GXA,2018-01-04T12:55:00Z,NA,NA,NA,NA,California
GXA,2018-01-04T15:55:00Z,47.1,16.9,29.55,CLR,California
GXA,2018-01-04T16:55:00Z,58.1,18,20.68,CLR,California
GXA,2018-01-04T17:55:00Z,62.8,19.9,18.98,CLR,California
GXA,2018-01-04T18:55:00Z,66.2,2.1,7.63,CLR,California
GXA,2018-01-04T19:55:00Z,68.7,25.2,19.33,CLR,California
GXA,2018-01-04T20:55:00Z,70.7,24.8,17.75,CLR,California
GXA,2018-01-04T21:55:00Z,68.9,39.6,34.27,CLR,California
GXA,2018-01-04T22:55:00Z,69.3,42.4,37.67,CLR,California
GXA,2018-01-04T23:55:00Z,68.2,45.3,43.71,CLR,California
GXA,2018-01-05T00:55:00Z,65.3,45.9,49.43,FEW,California
GXA,2018-01-05T01:55:00Z,60.1,44.8,56.94,CLR,California
GXA,2018-01-05T02:55:00Z,54.7,42.6,63.58,CLR,California
GXA,2018-01-05T03:55:00Z,52.2,40.5,64.25,CLR,California
GXA,2018-01-05T04:55:00Z,53.1,42.6,67.41,CLR,California
GXA,2018-01-05T05:55:00Z,47.3,38.5,71.33,CLR,California
GXA,2018-01-05T06:55:00Z,46.8,38.5,72.69,CLR,California
GXA,2018-01-05T07:55:00Z,47.3,40.5,77.12,CLR,California
GXA,2018-01-05T08:55:00Z,47.8,41.9,79.89,CLR,California
GXA,2018-01-05T09:55:00Z,47.3,44.2,88.91,CLR,California
GXA,2018-01-05T10:55:00Z,46,44.1,93.03,CLR,California
GXA,2018-01-05T11:55:00Z,45.1,43.2,NA,NA,California
GXA,2018-01-05T12:55:00Z,NA,NA,NA,NA,California
GXA,2018-01-05T13:55:00Z,NA,NA,NA,NA,California
