station,valid,tmpf,dwpf,relh,skyc1,state
JAQ,2018-08-02T16:35:00Z,81.1,44.4,27.42,CLR,California
JAQ,2018-08-02T16:55:00Z,83.7,44.8,25.59,CLR,California
JAQ,2018-08-02T17:15:00Z,84,44.6,25.15,CLR,California
JAQ,2018-08-02T17:35:00Z,82.6,46.8,28.6,CLR,California
JAQ,2018-08-02T17:55:00Z,80.4,48.2,32.39,CLR,California
JAQ,2018-08-02T18:15:00Z,81.7,48.4,31.28,CLR,California
JAQ,2018-08-02T18:35:00Z,83.8,47.8,28.57,CLR,California
JAQ,2018-08-02T18:55:00Z,85.8,47.7,26.69,CLR,California
JAQ,2018-08-02T19:15:00Z,85.5,46.8,26.05,CLR,California
JAQ,2018-08-02T19:35:00Z,87.1,45.5,23.57,CLR,California
JAQ,2018-08-02T19:55:00Z,88.3,45.9,23.03,CLR,California
JAQ,2018-08-02T20:15:00Z,89.2,45.9,22.39,CLR,California
JAQ,2018-08-02T20:35:00Z,89.2,46.8,23.16,CLR,California
JAQ,2018-08-02T20:55:00Z,89.2,46.9,23.25,CLR,California
JAQ,2018-08-02T21:15:00Z,90.5,46,21.57,CLR,California
JAQ,2018-08-02T21:35:00Z,91.4,47.5,22.19,CLR,California
JAQ,2018-08-02T21:55:00Z,91.9,47.1,21.52,CLR,California
JAQ,2018-08-02T22:15:00Z,92.1,47.3,21.55,CLR,California
JAQ,2018-08-02T22:35:00Z,92.8,47.5,21.25,CLR,California
JAQ,2018-08-02T22:55:00Z,92.8,49.1,22.56,CLR,California
JAQ,2018-08-02T23:15:00Z,92.3,48.4,22.32,CLR,California
JAQ,2018-08-02T23:35:00Z,91.9,48.4,22.6,CLR,California
JAQ,2018-08-02T23:55:00Z,91.6,44.4,19.61,CLR,California
JAQ,2018-08-03T00:15:00Z,91.6,42.1,17.96,CLR,California
JAQ,2018-08-03T00:35:00Z,90.7,44.1,19.94,CLR,California
JAQ,2018-08-03T00:55:00Z,90.7,43.9,19.79,CLR,California
JAQ,2018-08-03T01:15:00Z,90.1,46.2,22.01,CLR,California
JAQ,2018-08-03T01:35:00Z,89.1,48,24.31,CLR,California
JAQ,2018-08-03T01:55:00Z,88.2,47.7,24.73,CLR,California
JAQ,2018-08-03T02:15:00Z,88.2,29.7,12.23,CLR,California
JAQ,2018-08-03T02:35:00Z,86.4,35.8,16.54,CLR,California
JAQ,2018-08-03T02:55:00Z,84.7,38.3,19.28,CLR,California
JAQ,2018-08-03T03:15:00Z,82.4,42.1,24.07,CLR,California
JAQ,2018-08-03T03:35:00Z,79.9,45.3,29.51,CLR,California
JAQ,2018-08-03T03:55:00Z,78.8,45.9,31.3,CLR,California
JAQ,2018-08-03T04:15:00Z,76.6,46,33.79,CLR,California
JAQ,2018-08-03T04:35:00Z,75.4,46.8,36.25,CLR,California
JAQ,2018-08-03T04:55:00Z,75.6,46.6,35.73,CLR,California
JAQ,2018-08-03T05:15:00Z,75.6,46.2,35.2,CLR,California
JAQ,2018-08-03T05:35:00Z,74.8,45.5,35.2,CLR,California
JAQ,2018-08-03T05:55:00Z,71.6,46.2,40.27,CLR,California
JAQ,2018-08-03T06:15:00Z,71.1,44.6,38.54,CLR,California
JAQ,2018-08-03T06:35:00Z,71.1,43.7,37.24,CLR,California
JAQ,2018-08-03T06:55:00Z,71.8,41.9,33.94,CLR,California
JAQ,2018-08-03T07:15:00Z,70.5,40.6,33.73,CLR,California
JAQ,2018-08-03T07:35:00Z,70,42.6,37.07,CLR,California
JAQ,2018-08-03T07:55:00Z,69.3,44.2,40.36,CLR,California
JAQ,2018-08-03T08:15:00Z,69.8,45,40.91,CLR,California
JAQ,2018-08-03T08:35:00Z,70,43.9,38.96,CLR,California
JAQ,2018-08-03T08:55:00Z,69.1,44.8,41.58,CLR,California
JAQ,2018-08-03T09:15:00Z,67.8,44.1,42.33,CLR,California
JAQ,2018-08-03T09:35:00Z,68.2,43.3,40.5,CLR,California
JAQ,2018-08-03T10:15:00Z,69.6,41.2,35.6,CLR,California
JAQ,2018-08-03T10:35:00Z,69.8,41.4,35.63,CLR,California
JAQ,2018-08-03T10:55:00Z,69.3,41.2,35.97,CLR,California
JAQ,2018-08-03T11:15:00Z,69.3,41.4,36.25,CLR,California
JAQ,2018-08-03T11:35:00Z,71.6,39.2,30.77,CLR,California
JAQ,2018-08-03T11:55:00Z,70.2,39.2,32.27,CLR,California
JAQ,2018-08-03T12:15:00Z,70.3,39.2,32.16,CLR,California
JAQ,2018-08-03T12:35:00Z,70.5,39.4,32.19,CLR,California
JAQ,2018-08-03T12:55:00Z,69.3,39.6,33.8,CLR,California
JAQ,2018-08-03T13:15:00Z,67.1,40.8,38.2,CLR,California
JAQ,2018-08-03T13:35:00Z,66.2,43,42.9,CLR,California
JAQ,2018-08-03T13:55:00Z,68.9,41.5,36.89,CLR,California
JAQ,2018-08-03T14:15:00Z,68.2,42.1,38.67,CLR,California
JAQ,2018-08-03T14:35:00Z,68.7,42.1,38.01,CLR,California
JAQ,2018-08-03T14:55:00Z,72.5,41,32.01,CLR,California
JAQ,2018-08-03T15:15:00Z,74.7,41.7,30.54,CLR,California
JAQ,2018-08-03T15:35:00Z,76.3,42.3,29.63,CLR,California
JAQ,2018-08-03T15:55:00Z,78.4,42.1,27.43,CLR,California
JAQ,2018-08-03T16:15:00Z,80.4,41,24.62,CLR,California
JAQ,2018-08-03T16:35:00Z,81.5,41.2,23.94,CLR,California
JAQ,2018-08-03T16:55:00Z,83.8,40.8,21.88,CLR,California
JAQ,2018-08-03T17:15:00Z,83.5,41.2,22.43,CLR,California
JAQ,2018-08-03T17:35:00Z,81.3,46.6,29.61,CLR,California
JAQ,2018-08-03T17:55:00Z,81,48.6,32.24,CLR,California
JAQ,2018-08-03T18:15:00Z,82,48.9,31.56,CLR,California
JAQ,2018-08-03T18:35:00Z,82.4,47.8,29.89,CLR,California
JAQ,2018-08-03T18:55:00Z,85.5,46.8,26.05,CLR,California
JAQ,2018-08-03T19:15:00Z,85.3,45.7,25.15,CLR,California
JAQ,2018-08-03T19:35:00Z,86,47.3,26.13,CLR,California
JAQ,2018-08-03T19:55:00Z,87.6,44.6,22.42,CLR,California
JAQ,2018-08-03T20:15:00Z,87.3,43.9,22.03,CLR,California
JAQ,2018-08-03T20:35:00Z,87.4,45.3,23.17,CLR,California
JAQ,2018-08-03T20:55:00Z,87.6,46.6,24.18,CLR,California
JAQ,2018-08-03T21:15:00Z,88.5,50,26.7,CLR,California
JAQ,2018-08-03T21:35:00Z,88.2,49.3,26.26,CLR,California
JAQ,2018-08-03T21:55:00Z,89.1,45.1,21.79,CLR,California
JAQ,2018-08-03T22:15:00Z,88.9,45.1,21.93,CLR,California
JAQ,2018-08-03T22:35:00Z,89.2,44.6,21.31,CLR,California
JAQ,2018-08-03T22:55:00Z,89.6,49.1,24.93,CLR,California
JAQ,2018-08-03T23:15:00Z,88.9,50.9,27.26,SCT,California
JAQ,2018-08-03T23:35:00Z,90.1,49.8,25.19,SCT,California
JAQ,2018-08-03T23:55:00Z,88.5,50.2,26.9,SCT,California
JAQ,2018-08-04T00:15:00Z,88.5,50,26.7,SCT,California
JAQ,2018-08-04T00:35:00Z,88.3,49.8,26.67,CLR,California
JAQ,2018-08-04T00:55:00Z,88.3,48.2,25.12,SCT,California
JAQ,2018-08-04T01:15:00Z,87.8,48.9,26.2,BKN,California
JAQ,2018-08-04T01:55:00Z,85.3,53.4,33.51,BKN,California
JAQ,2018-08-04T02:15:00Z,84.2,53.8,35.23,SCT,California
JAQ,2018-08-04T02:55:00Z,82.4,52.7,35.86,BKN,California
JAQ,2018-08-04T03:15:00Z,81.5,51.8,35.72,CLR,California
JAQ,2018-08-04T03:35:00Z,81.1,52.3,36.87,CLR,California
JAQ,2018-08-04T03:55:00Z,80.8,52.2,37.09,CLR,California
JAQ,2018-08-04T04:15:00Z,78.6,52.2,39.87,CLR,California
JAQ,2018-08-04T04:35:00Z,78.6,51.8,39.28,CLR,California
JAQ,2018-08-04T04:55:00Z,78.8,51.8,39.02,CLR,California
JAQ,2018-08-04T05:15:00Z,79.9,51.1,36.68,CLR,California
JAQ,2018-08-04T05:35:00Z,78.3,50.5,37.81,CLR,California
JAQ,2018-08-04T05:55:00Z,78.8,50.5,37.19,CLR,California
JAQ,2018-08-04T06:15:00Z,78.8,50.7,37.47,CLR,California
JAQ,2018-08-04T06:35:00Z,74.8,50,41.69,CLR,California
JAQ,2018-08-04T06:55:00Z,74.1,50.5,43.48,CLR,California
JAQ,2018-08-04T07:15:00Z,73.4,50,43.69,SCT,California
JAQ,2018-08-04T07:35:00Z,72,49.8,45.47,SCT,California
JAQ,2018-08-04T07:55:00Z,73.4,49.3,42.57,BKN,California
JAQ,2018-08-04T08:15:00Z,74.3,48.2,39.64,SCT,California
JAQ,2018-08-04T08:35:00Z,73.4,47.7,40.09,CLR,California
JAQ,2018-08-04T08:55:00Z,75.4,47.3,36.93,CLR,California
JAQ,2018-08-04T09:15:00Z,79,46.4,31.69,BKN,California
JAQ,2018-08-04T09:35:00Z,79,44.8,29.82,OVC,California
JAQ,2018-08-04T09:55:00Z,78.1,41,26.55,OVC,California
JAQ,2018-08-04T10:15:00Z,75,44.2,33.28,OVC,California
JAQ,2018-08-04T10:35:00Z,74.5,40.3,29.13,OVC,California
JAQ,2018-08-04T10:55:00Z,76.5,39.4,26.31,OVC,California
JAQ,2018-08-04T11:15:00Z,77.2,36.7,23.12,OVC,California
JAQ,2018-08-04T11:35:00Z,78.6,35.6,21.14,OVC,California
JAQ,2018-08-04T11:55:00Z,77.7,36.7,22.74,OVC,California
JAQ,2018-08-04T12:15:00Z,75.2,38.3,26.32,OVC,California
