station,valid,tmpf,dwpf,relh,skyc1,state
L52,2018-07-19T19:35:00Z,66.2,57.2,72.74,CLR,California
L52,2018-07-19T19:55:00Z,66.2,57.2,72.74,CLR,California
L52,2018-07-19T20:15:00Z,68,57.2,68.35,CLR,California
L52,2018-07-19T20:35:00Z,68,57.2,68.35,CLR,California
L52,2018-07-19T20:55:00Z,68,57.2,68.35,CLR,California
L52,2018-07-19T21:15:00Z,68,59,72.92,CLR,California
L52,2018-07-19T21:35:00Z,64.4,57.2,77.45,CLR,California
L52,2018-07-19T21:55:00Z,62.6,57.2,82.5,CLR,California
L52,2018-07-19T22:15:00Z,64.4,57.2,77.45,CLR,California
L52,2018-07-19T22:35:00Z,64.4,57.2,77.45,CLR,California
L52,2018-07-19T22:55:00Z,64.4,57.2,77.45,CLR,California
L52,2018-07-19T23:15:00Z,64.4,59,82.62,CLR,California
L52,2018-07-19T23:35:00Z,64.4,59,82.62,CLR,California
L52,2018-07-19T23:55:00Z,66.2,59,77.6,CLR,California
L52,2018-07-20T00:15:00Z,64.4,59,82.62,CLR,California
L52,2018-07-20T00:35:00Z,64.4,59,82.62,CLR,California
L52,2018-07-20T00:55:00Z,64.4,59,82.62,CLR,California
L52,2018-07-20T01:15:00Z,62.6,59,88,CLR,California
L52,2018-07-20T01:35:00Z,62.6,59,88,CLR,California
L52,2018-07-20T01:55:00Z,62.6,59,88,FEW,California
L52,2018-07-20T02:15:00Z,60.8,59,93.79,FEW,California
L52,2018-07-20T02:35:00Z,60.8,59,93.79,FEW,California
L52,2018-07-20T02:55:00Z,60.8,59,93.79,CLR,California
L52,2018-07-20T03:15:00Z,60.8,59,93.79,CLR,California
L52,2018-07-20T03:35:00Z,60.8,57.2,87.92,FEW,California
L52,2018-07-20T03:55:00Z,60.8,59,93.79,SCT,California
L52,2018-07-20T04:15:00Z,59,57.2,93.74,FEW,California
L52,2018-07-20T04:35:00Z,59,57.2,93.74,FEW,California
L52,2018-07-20T04:55:00Z,59,59,100,BKN,California
L52,2018-07-20T05:15:00Z,59,59,100,BKN,California
L52,2018-07-20T05:35:00Z,59,59,100,BKN,California
L52,2018-07-20T05:55:00Z,59,59,100,BKN,California
L52,2018-07-20T06:15:00Z,59,59,100,OVC,California
L52,2018-07-20T06:35:00Z,59,57.2,93.74,OVC,California
L52,2018-07-20T06:55:00Z,59,59,100,BKN,California
L52,2018-07-20T07:15:00Z,59,59,100,SCT,California
L52,2018-07-20T07:35:00Z,59,57.2,93.74,BKN,California
L52,2018-07-20T07:55:00Z,59,57.2,93.74,BKN,California
L52,2018-07-20T08:15:00Z,59,57.2,93.74,BKN,California
L52,2018-07-20T08:35:00Z,59,57.2,93.74,OVC,California
L52,2018-07-20T08:55:00Z,59,57.2,93.74,BKN,California
L52,2018-07-20T09:15:00Z,59,57.2,93.74,BKN,California
L52,2018-07-20T09:35:00Z,59,57.2,93.74,OVC,California
L52,2018-07-20T09:55:00Z,59,57.2,93.74,BKN,California
L52,2018-07-20T10:15:00Z,57.2,57.2,100,OVC,California
L52,2018-07-20T10:35:00Z,57.2,57.2,100,BKN,California
L52,2018-07-20T10:55:00Z,57.2,57.2,100,OVC,California
L52,2018-07-20T11:15:00Z,57.2,57.2,100,OVC,California
L52,2018-07-20T11:35:00Z,57.2,57.2,100,BKN,California
L52,2018-07-20T11:55:00Z,57.2,57.2,100,BKN,California
L52,2018-07-20T12:15:00Z,57.2,57.2,100,BKN,California
L52,2018-07-20T12:35:00Z,57.2,57.2,100,BKN,California
L52,2018-07-20T12:55:00Z,57.2,57.2,100,BKN,California
L52,2018-07-20T13:15:00Z,57.2,57.2,100,SCT,California
L52,2018-07-20T13:35:00Z,57.2,57.2,100,VV,California
L52,2018-07-20T13:55:00Z,59,57.2,93.74,VV,California
L52,2018-07-20T14:15:00Z,59,59,100,VV,California
L52,2018-07-20T14:35:00Z,59,59,100,CLR,California
L52,2018-07-20T14:55:00Z,60.8,59,93.79,SCT,California
