station,valid,tmpf,dwpf,relh,skyc1,state
MHR,2018-01-01T01:55:00Z,50,41,71.07,SCT,California
MHR,2018-01-01T02:45:00Z,48.2,42.8,81.47,SCT,California
MHR,2018-01-01T03:55:00Z,48.2,42.8,81.47,SCT,California
MHR,2018-01-01T04:55:00Z,48.2,42.8,81.47,SCT,California
MHR,2018-01-01T12:55:00Z,42.8,41,93.3,SCT,California
MHR,2018-01-01T13:45:00Z,42.8,41,93.3,BKN,California
MHR,2018-01-01T14:45:00Z,42.8,41,93.3,BKN,California
MHR,2018-01-01T15:55:00Z,37.4,37.4,100,BKN,California
MHR,2018-01-01T16:45:00Z,44.6,42.8,93.35,FEW,California
MHR,2018-01-01T18:45:00Z,55.4,44.6,66.91,FEW,California
MHR,2018-01-01T19:45:00Z,59,44.6,58.77,FEW,California
MHR,2018-01-01T20:45:00Z,60.8,42.8,51.45,FEW,California
MHR,2018-01-01T21:45:00Z,64.4,42.8,45.32,FEW,California
MHR,2018-01-01T22:45:00Z,64.4,42.8,45.32,FEW,California
MHR,2018-01-02T00:45:00Z,60.8,42.8,51.45,SCT,California
MHR,2018-01-02T01:45:00Z,55.4,42.8,62.46,SCT,California
MHR,2018-01-02T02:45:00Z,46.4,41,81.34,SCT,California
MHR,2018-01-02T03:45:00Z,44.6,41,87.09,SCT,California
MHR,2018-01-02T04:50:00Z,41,39.2,93.24,SCT,California
MHR,2018-01-02T05:45:00Z,42.8,39.2,86.99,SCT,California
MHR,2018-01-02T06:45:00Z,42.8,41,93.3,SCT,California
MHR,2018-01-02T07:30:00Z,42.8,39.2,86.99,SCT,California
MHR,2018-01-02T10:45:00Z,39.2,37.4,93.19,BKN,California
MHR,2018-01-02T11:45:00Z,41,39.2,93.24,BKN,California
MHR,2018-01-02T12:50:00Z,41,39.2,93.24,BKN,California
MHR,2018-01-02T13:45:00Z,42.8,39.2,86.99,BKN,California
MHR,2018-01-02T14:45:00Z,42.8,39.2,86.99,BKN,California
MHR,2018-01-02T15:45:00Z,41,37.4,86.89,BKN,California
MHR,2018-01-02T16:45:00Z,44.6,41,87.09,BKN,California
MHR,2018-01-02T17:45:00Z,48.2,42.8,81.47,BKN,California
MHR,2018-01-02T18:45:00Z,55.4,44.6,66.91,BKN,California
MHR,2018-01-02T19:45:00Z,57.2,44.6,62.69,BKN,California
MHR,2018-01-02T20:45:00Z,57.2,46.4,67.12,BKN,California
MHR,2018-01-02T21:45:00Z,57.2,44.6,62.69,BKN,California
MHR,2018-01-02T21:55:00Z,59,44.6,58.77,OVC,California
MHR,2018-01-02T22:45:00Z,59,44.6,58.77,OVC,California
MHR,2018-01-02T23:45:00Z,59,44.6,58.77,OVC,California
MHR,2018-01-03T01:45:00Z,53.6,46.4,76.5,BKN,California
MHR,2018-01-03T02:50:00Z,48.2,44.6,87.28,BKN,California
MHR,2018-01-03T03:45:00Z,48.2,44.6,87.28,BKN,California
MHR,2018-01-03T04:45:00Z,46.4,44.6,93.4,BKN,California
MHR,2018-01-03T05:45:00Z,46.4,44.6,93.4,BKN,California
MHR,2018-01-03T06:45:00Z,46.4,42.8,87.19,BKN,California
MHR,2018-01-03T07:30:00Z,46.4,44.6,93.4,BKN,California
MHR,2018-01-03T10:45:00Z,44.6,44.6,100,BKN,California
