station,valid,tmpf,dwpf,relh,skyc1,state
MHS,2018-01-01T00:56:00Z,42.1,37,81.98,CLR,California
MHS,2018-01-01T01:56:00Z,39.9,33.1,76.44,CLR,California
MHS,2018-01-01T02:56:00Z,36,30,78.6,CLR,California
MHS,2018-01-01T03:56:00Z,35.1,30,81.46,CLR,California
MHS,2018-01-01T04:56:00Z,34,26.1,72.52,CLR,California
MHS,2018-01-01T05:56:00Z,33.1,25,71.82,CLR,California
MHS,2018-01-01T06:56:00Z,35.1,26.1,69.41,CLR,California
MHS,2018-01-01T07:56:00Z,36,28,72.43,OVC,California
MHS,2018-01-01T08:56:00Z,37,28.9,72.24,OVC,California
MHS,2018-01-01T09:56:00Z,39,34,82.08,SCT,California
MHS,2018-01-01T10:56:00Z,37,34,88.78,CLR,California
MHS,2018-01-01T11:56:00Z,34,30,85.11,BKN,California
MHS,2018-01-01T12:56:00Z,33.1,30.9,91.51,CLR,California
MHS,2018-01-01T13:56:00Z,30.9,28,88.84,BKN,California
MHS,2018-01-01T14:56:00Z,30.9,28,88.84,CLR,California
MHS,2018-01-01T15:56:00Z,30.9,28,88.84,CLR,California
MHS,2018-01-01T16:56:00Z,36,32,85.23,CLR,California
MHS,2018-01-01T17:56:00Z,44.1,35.1,70.43,CLR,California
MHS,2018-01-01T18:56:00Z,46.9,34,60.61,CLR,California
MHS,2018-01-01T19:56:00Z,46.9,34,60.61,CLR,California
MHS,2018-01-01T20:56:00Z,50,34,53.97,CLR,California
MHS,2018-01-01T21:56:00Z,48.9,34,56.23,CLR,California
MHS,2018-01-01T22:56:00Z,48.9,33.1,54.24,CLR,California
MHS,2018-01-01T23:56:00Z,48,30.9,51.34,CLR,California
MHS,2018-01-02T00:56:00Z,45,30.9,57.5,CLR,California
MHS,2018-01-02T01:56:00Z,39,33.1,79.17,CLR,California
MHS,2018-01-02T02:56:00Z,36,32,85.23,CLR,California
MHS,2018-01-02T03:56:00Z,35.1,32,88.33,CLR,California
MHS,2018-01-02T04:56:00Z,33.1,30.9,91.51,CLR,California
MHS,2018-01-02T05:56:00Z,32,30,92.22,CLR,California
MHS,2018-01-02T06:56:00Z,32,30,92.22,CLR,California
MHS,2018-01-02T07:56:00Z,33.1,30,88.23,CLR,California
MHS,2018-01-02T08:56:00Z,33.1,30,88.23,CLR,California
MHS,2018-01-02T09:56:00Z,32,30,92.22,CLR,California
MHS,2018-01-02T10:56:00Z,30.9,28.9,92.18,CLR,California
MHS,2018-01-02T11:56:00Z,30.9,28.9,92.18,CLR,California
MHS,2018-01-02T12:56:00Z,32,28.9,88.17,CLR,California
MHS,2018-01-02T13:56:00Z,30,28,92.15,CLR,California
MHS,2018-01-02T14:56:00Z,30,28.9,95.61,CLR,California
MHS,2018-01-02T15:56:00Z,30.9,28.9,92.18,CLR,California
MHS,2018-01-02T16:56:00Z,34,32,92.29,CLR,California
MHS,2018-01-02T17:56:00Z,43,34,70.3,CLR,California
MHS,2018-01-02T18:56:00Z,46,34,62.71,CLR,California
MHS,2018-01-02T19:56:00Z,48,35.1,60.76,CLR,California
MHS,2018-01-02T20:56:00Z,48.9,35.1,58.75,CLR,California
MHS,2018-01-02T21:56:00Z,50,35.1,56.39,CLR,California
MHS,2018-01-02T22:56:00Z,48,35.1,60.76,CLR,California
MHS,2018-01-02T23:56:00Z,46,35.1,65.52,CLR,California
MHS,2018-01-03T00:56:00Z,43,35.1,73.45,CLR,California
MHS,2018-01-03T01:56:00Z,41,35.1,79.34,CLR,California
MHS,2018-01-03T02:56:00Z,37.9,34,85.69,CLR,California
MHS,2018-01-03T03:56:00Z,35.1,32,88.33,CLR,California
MHS,2018-01-03T04:56:00Z,34,30.9,88.27,CLR,California
MHS,2018-01-03T05:56:00Z,33.1,30,88.23,CLR,California
MHS,2018-01-03T06:56:00Z,35.1,32,88.33,CLR,California
MHS,2018-01-03T07:56:00Z,37,33.1,85.64,BKN,California
