station,valid,tmpf,dwpf,relh,skyc1,state
MMH,2018-01-01T00:15:00Z,50.7,3.9,14.46,SCT,California
MMH,2018-01-01T00:35:00Z,47.7,7,18.64,BKN,California
MMH,2018-01-01T00:55:00Z,47.1,8.2,20.13,OVC,California
MMH,2018-01-01T01:15:00Z,47.3,4.8,17.12,SCT,California
MMH,2018-01-01T01:35:00Z,40.6,6.8,24.22,SCT,California
MMH,2018-01-01T01:55:00Z,43.5,5.7,20.6,SCT,California
MMH,2018-01-01T02:15:00Z,38.3,6.8,26.49,CLR,California
MMH,2018-01-01T02:35:00Z,38.1,8.2,28.45,CLR,California
MMH,2018-01-01T02:55:00Z,35.1,8.4,32.31,CLR,California
MMH,2018-01-01T03:15:00Z,31.5,6.8,34.72,CLR,California
MMH,2018-01-01T03:35:00Z,31.8,6.8,34.31,BKN,California
MMH,2018-01-01T03:55:00Z,31.5,7.7,36.17,OVC,California
MMH,2018-01-01T04:15:00Z,33.8,9.3,35.44,OVC,California
MMH,2018-01-01T04:35:00Z,34,11.3,38.44,OVC,California
MMH,2018-01-01T04:55:00Z,35.8,10.9,35.15,OVC,California
MMH,2018-01-01T05:15:00Z,35.1,11.1,36.46,OVC,California
MMH,2018-01-01T05:35:00Z,30.6,11.3,44.08,OVC,California
MMH,2018-01-01T05:55:00Z,30.7,11.8,44.88,OVC,California
MMH,2018-01-01T06:15:00Z,29.1,10.2,44.61,OVC,California
MMH,2018-01-01T06:35:00Z,31.5,12.4,44.62,SCT,California
MMH,2018-01-01T06:55:00Z,30.9,11.7,44.32,BKN,California
MMH,2018-01-01T07:15:00Z,31.6,13.8,47.27,SCT,California
MMH,2018-01-01T07:35:00Z,31.6,13.1,45.83,OVC,California
MMH,2018-01-01T07:55:00Z,30.4,13.5,48.97,OVC,California
MMH,2018-01-01T08:15:00Z,33.3,14.4,45.32,OVC,California
MMH,2018-01-01T08:35:00Z,33.8,13.1,41.96,BKN,California
MMH,2018-01-01T08:55:00Z,30.7,13.1,47.53,SCT,California
MMH,2018-01-01T09:15:00Z,26.6,12.6,55,CLR,California
MMH,2018-01-01T09:35:00Z,26.2,13.8,58.95,CLR,California
MMH,2018-01-01T09:55:00Z,25,10.9,54.5,CLR,California
MMH,2018-01-01T10:15:00Z,28.2,14.4,55.73,CLR,California
MMH,2018-01-01T10:35:00Z,24.6,13.3,61.63,CLR,California
MMH,2018-01-01T10:55:00Z,24.6,13.8,63,CLR,California
MMH,2018-01-01T11:15:00Z,22.3,11.5,62.68,CLR,California
MMH,2018-01-01T11:35:00Z,22.5,12,63.55,CLR,California
MMH,2018-01-01T11:55:00Z,23,12.7,64.18,CLR,California
MMH,2018-01-01T12:15:00Z,23.5,13.8,65.96,CLR,California
MMH,2018-01-01T12:35:00Z,23.7,12.7,62.32,CLR,California
MMH,2018-01-01T12:55:00Z,21.7,11.3,63.72,CLR,California
MMH,2018-01-01T13:15:00Z,24.6,13.6,62.45,CLR,California
MMH,2018-01-01T13:35:00Z,24.8,14.4,64.14,CLR,California
MMH,2018-01-01T13:55:00Z,21.6,12.7,68.08,CLR,California
MMH,2018-01-01T14:15:00Z,23.5,14.5,68.02,SCT,California
MMH,2018-01-01T14:35:00Z,25.7,14,60.71,BKN,California
MMH,2018-01-01T14:55:00Z,18.3,11.7,74.98,SCT,California
MMH,2018-01-01T15:15:00Z,19.2,12.4,74.41,SCT,California
MMH,2018-01-01T15:35:00Z,25.5,14.7,63.12,BKN,California
MMH,2018-01-01T15:55:00Z,26.1,15.8,64.59,OVC,California
MMH,2018-01-01T16:15:00Z,27.7,15.8,60.47,OVC,California
MMH,2018-01-01T16:35:00Z,32,16.9,53.23,OVC,California
MMH,2018-01-01T16:55:00Z,34.9,17.6,48.85,BKN,California
MMH,2018-01-01T17:15:00Z,34.5,16.9,48.16,SCT,California
MMH,2018-01-01T17:35:00Z,37.9,17.8,43.76,CLR,California
MMH,2018-01-01T17:55:00Z,39,18,42.28,CLR,California
MMH,2018-01-01T18:15:00Z,41.7,18.5,38.9,SCT,California
MMH,2018-01-01T18:35:00Z,46.6,18.1,31.72,OVC,California
MMH,2018-01-01T18:55:00Z,48.6,16.7,27.69,BKN,California
MMH,2018-01-01T19:15:00Z,50.7,17.6,26.63,SCT,California
MMH,2018-01-01T19:35:00Z,52,17.4,25.16,CLR,California
MMH,2018-01-01T19:55:00Z,53.2,17.6,24.28,CLR,California
MMH,2018-01-01T20:15:00Z,54,15.8,21.81,CLR,California
MMH,2018-01-01T20:35:00Z,54.7,15.8,21.26,SCT,California
MMH,2018-01-01T20:55:00Z,55.2,15.6,20.7,BKN,California
MMH,2018-01-01T21:15:00Z,55.8,14.7,19.47,BKN,California
MMH,2018-01-01T21:35:00Z,56.1,15.3,19.77,CLR,California
MMH,2018-01-01T21:55:00Z,56.5,16,20.09,CLR,California
MMH,2018-01-01T22:15:00Z,56.8,16.7,20.49,CLR,California
MMH,2018-01-01T22:35:00Z,56.3,16.5,20.68,CLR,California
MMH,2018-01-01T22:55:00Z,55.8,16.5,21.06,CLR,California
MMH,2018-01-01T23:15:00Z,55.6,16.7,21.4,CLR,California
