station,valid,tmpf,dwpf,relh,skyc1,state
NFG,2018-01-01T00:55:00Z,59,53.1,80.75,CLR,California
NFG,2018-01-01T01:55:00Z,55,51.1,86.66,CLR,California
NFG,2018-01-01T02:55:00Z,51.1,48.9,92.14,CLR,California
NFG,2018-01-01T03:20:00Z,48.9,46.9,92.77,CLR,California
NFG,2018-01-01T03:27:00Z,48.9,46.9,92.77,CLR,California
NFG,2018-01-01T04:03:00Z,48.9,46.9,92.77,CLR,California
NFG,2018-01-01T04:55:00Z,46.9,45,93.06,CLR,California
NFG,2018-01-01T05:21:00Z,46.9,46,96.66,BKN,California
NFG,2018-01-01T05:55:00Z,48,45,89.29,OVC,California
NFG,2018-01-01T06:25:00Z,48,45,89.29,OVC,California
NFG,2018-01-01T06:32:00Z,46.9,46.9,100,VV,California
NFG,2018-01-01T06:55:00Z,48.9,48.9,100,OVC,California
NFG,2018-01-01T07:20:00Z,48.9,48,96.69,OVC,California
NFG,2018-01-01T07:33:00Z,48.9,48,96.69,OVC,California
NFG,2018-01-01T07:55:00Z,48,48,100,VV,California
NFG,2018-01-01T08:22:00Z,46,45,96.28,OVC,California
NFG,2018-01-01T08:26:00Z,46,46,100,VV,California
NFG,2018-01-01T08:49:00Z,44.1,44.1,100,BKN,California
NFG,2018-01-01T08:55:00Z,43,42.1,96.6,BKN,California
NFG,2018-01-01T09:32:00Z,42.1,41,95.84,SCT,California
NFG,2018-01-01T09:55:00Z,41,39,92.52,CLR,California
NFG,2018-01-01T10:55:00Z,39,37.9,95.78,CLR,California
NFG,2018-01-01T11:55:00Z,39,37,92.45,CLR,California
NFG,2018-01-01T12:55:00Z,37,36,96.13,CLR,California
NFG,2018-01-01T13:55:00Z,36,35.1,96.49,CLR,California
NFG,2018-01-01T14:55:00Z,33.1,32,95.67,CLR,California
NFG,2018-01-01T15:55:00Z,39,37,92.45,CLR,California
NFG,2018-01-01T17:55:00Z,55,39,54.7,CLR,California
NFG,2018-01-01T18:55:00Z,63,50,62.49,CLR,California
NFG,2018-01-01T19:55:00Z,66.9,50,54.54,CLR,California
NFG,2018-01-01T20:55:00Z,68,54,60.86,CLR,California
NFG,2018-01-01T21:55:00Z,66,55,67.64,CLR,California
NFG,2018-01-01T22:55:00Z,64,55,72.52,CLR,California
NFG,2018-01-01T23:55:00Z,64,55,72.52,CLR,California
NFG,2018-01-02T00:55:00Z,60.1,54,80.25,CLR,California
NFG,2018-01-02T01:55:00Z,57,54,89.68,CLR,California
NFG,2018-01-02T02:55:00Z,55,53.1,93.29,CLR,California
NFG,2018-01-02T03:55:00Z,54,52,92.92,CLR,California
NFG,2018-01-02T04:55:00Z,51.1,50,96,SCT,California
NFG,2018-01-02T05:32:00Z,48.9,48.9,100,SCT,California
NFG,2018-01-02T05:39:00Z,51.1,50,96,BKN,California
NFG,2018-01-02T05:49:00Z,50,50,100,SCT,California
NFG,2018-01-02T05:53:00Z,50,50,100,BKN,California
NFG,2018-01-02T05:55:00Z,51.1,50,96,BKN,California
NFG,2018-01-02T06:01:00Z,51.1,50,96,SCT,California
NFG,2018-01-02T06:55:00Z,51.1,50,96,CLR,California
NFG,2018-01-02T07:55:00Z,48.9,48,96.69,VV,California
NFG,2018-01-02T08:01:00Z,48.9,48,96.69,CLR,California
NFG,2018-01-02T08:30:00Z,48.9,48,96.69,CLR,California
NFG,2018-01-02T08:36:00Z,48.9,48,96.69,CLR,California
NFG,2018-01-02T08:55:00Z,48.9,48,96.69,CLR,California
NFG,2018-01-02T09:16:00Z,46,46,100,CLR,California
NFG,2018-01-02T09:55:00Z,46.9,46.9,100,CLR,California
NFG,2018-01-02T10:55:00Z,46.9,46,96.66,CLR,California
NFG,2018-01-02T11:38:00Z,46,45,96.28,FEW,California
NFG,2018-01-02T12:03:00Z,44.1,43,95.88,FEW,California
NFG,2018-01-02T12:33:00Z,46.9,46,96.66,BKN,California
NFG,2018-01-02T12:39:00Z,46,45,96.28,BKN,California
NFG,2018-01-02T12:55:00Z,46.9,46,96.66,BKN,California
NFG,2018-01-02T13:47:00Z,46.9,46,96.66,BKN,California
NFG,2018-01-02T13:55:00Z,46.9,45,NA,SCT,California
NFG,2018-01-02T14:55:00Z,46.9,46,96.66,BKN,California
NFG,2018-01-02T15:08:00Z,46,45,96.28,SCT,California
NFG,2018-01-02T15:55:00Z,48,46,92.74,CLR,California
NFG,2018-01-02T16:55:00Z,55,48,77.21,CLR,California
NFG,2018-01-02T17:55:00Z,62.1,46.9,57.43,CLR,California
NFG,2018-01-02T18:55:00Z,72,44.1,36.68,CLR,California
NFG,2018-01-02T19:55:00Z,75.9,46.9,35.78,CLR,California
NFG,2018-01-02T20:55:00Z,77,44.1,31.02,CLR,California
NFG,2018-01-02T21:55:00Z,73,50,44.29,CLR,California
NFG,2018-01-02T22:55:00Z,72,48,42.51,CLR,California
NFG,2018-01-02T23:55:00Z,71.1,46.9,42.05,CLR,California
NFG,2018-01-03T00:03:00Z,70,48.9,47.06,FEW,California
NFG,2018-01-03T01:55:00Z,57.9,52,80.67,CLR,California
NFG,2018-01-03T02:55:00Z,54,48.9,82.82,CLR,California
NFG,2018-01-03T03:55:00Z,54,48.9,82.82,CLR,California
NFG,2018-01-03T04:55:00Z,50,46,86.06,CLR,California
NFG,2018-01-03T05:55:00Z,48.9,45,86.33,CLR,California
NFG,2018-01-03T06:55:00Z,46,42.1,86.16,CLR,California
NFG,2018-01-03T07:55:00Z,41,39,92.52,CLR,California
NFG,2018-01-03T08:55:00Z,43,39,85.66,CLR,California
NFG,2018-01-03T09:55:00Z,39.9,37,89.27,CLR,California
NFG,2018-01-03T10:55:00Z,41,37,85.54,CLR,California
NFG,2018-01-03T12:55:00Z,42.1,37,81.98,CLR,California
NFG,2018-01-03T13:55:00Z,43,37.9,82.04,CLR,California
NFG,2018-01-03T14:55:00Z,44.1,37.9,78.66,BKN,California
NFG,2018-01-03T15:55:00Z,48,39,70.85,BKN,California
NFG,2018-01-03T16:55:00Z,51.1,39.9,65.38,SCT,California
NFG,2018-01-03T17:55:00Z,55.9,39,52.94,FEW,California
NFG,2018-01-03T18:55:00Z,60.1,37,42.09,SCT,California
NFG,2018-01-03T19:55:00Z,64.9,39.9,39.82,SCT,California
NFG,2018-01-03T20:55:00Z,69.1,37,30.74,SCT,California
NFG,2018-01-03T21:55:00Z,72,34,24.72,BKN,California
NFG,2018-01-03T22:55:00Z,73.9,37.9,27.06,BKN,California
NFG,2018-01-03T23:55:00Z,72,43,35.16,BKN,California
NFG,2018-01-04T00:55:00Z,64.9,48.9,56.12,BKN,California
NFG,2018-01-04T01:55:00Z,61,55.9,83.29,BKN,California
