station,valid,tmpf,dwpf,relh,skyc1,state
NJK,2018-01-01T00:56:00Z,64,30,27.71,CLR,California
NJK,2018-01-01T01:56:00Z,59,28.9,31.63,CLR,California
NJK,2018-01-01T02:56:00Z,54,33.1,44.92,CLR,California
NJK,2018-01-01T03:56:00Z,51.1,33.1,49.98,CLR,California
NJK,2018-01-01T04:56:00Z,48,28.9,47.32,CLR,California
NJK,2018-01-01T05:56:00Z,48,28.9,47.32,CLR,California
NJK,2018-01-01T06:56:00Z,46,24.1,41.84,CLR,California
NJK,2018-01-01T07:56:00Z,45,23,41.5,CLR,California
NJK,2018-01-01T08:56:00Z,46.9,21,35.49,CLR,California
NJK,2018-01-01T09:56:00Z,46,19.9,35.04,CLR,California
NJK,2018-01-01T10:56:00Z,45,21,38.14,CLR,California
NJK,2018-01-01T11:56:00Z,43,19.9,39.29,CLR,California
NJK,2018-01-01T12:56:00Z,39.9,23,50.5,CLR,California
NJK,2018-01-01T13:56:00Z,42.1,19.9,40.67,CLR,California
NJK,2018-01-01T14:56:00Z,37.9,19.9,47.89,CLR,California
NJK,2018-01-01T15:56:00Z,48,19.9,32.5,CLR,California
NJK,2018-01-01T16:56:00Z,55,25,31.11,CLR,California
NJK,2018-01-01T17:56:00Z,64,27,24.51,CLR,California
NJK,2018-01-01T18:56:00Z,66.9,30.9,25.98,CLR,California
NJK,2018-01-01T19:56:00Z,70,28.9,21.53,CLR,California
NJK,2018-01-01T20:56:00Z,72,19.9,13.82,CLR,California
NJK,2018-01-01T21:56:00Z,73.9,21.9,14.11,CLR,California
NJK,2018-01-01T22:56:00Z,73,23,15.23,CLR,California
NJK,2018-01-01T23:56:00Z,73,24.1,15.95,CLR,California
NJK,2018-01-02T00:56:00Z,66.9,24.1,19.64,CLR,California
NJK,2018-01-02T01:56:00Z,62.1,23,22.18,CLR,California
NJK,2018-01-02T02:56:00Z,55.9,21,25.45,CLR,California
NJK,2018-01-02T03:56:00Z,54,28.9,37.89,CLR,California
NJK,2018-01-02T04:56:00Z,54,34,46.57,CLR,California
NJK,2018-01-02T05:56:00Z,52,28,39.3,CLR,California
NJK,2018-01-02T06:56:00Z,51.1,24.1,34.57,CLR,California
NJK,2018-01-02T07:56:00Z,51.1,19,27.86,CLR,California
NJK,2018-01-02T08:56:00Z,50,21,31.6,CLR,California
NJK,2018-01-02T09:56:00Z,51.1,24.1,34.57,CLR,California
NJK,2018-01-02T10:56:00Z,50,23,34.39,CLR,California
NJK,2018-01-02T11:56:00Z,52,21,29.35,CLR,California
NJK,2018-01-02T12:56:00Z,50,19.9,30.16,CLR,California
NJK,2018-01-02T13:56:00Z,46,19,33.72,FEW,California
NJK,2018-01-02T14:56:00Z,46,19.9,35.04,FEW,California
NJK,2018-01-02T15:56:00Z,50,19,29.02,FEW,California
NJK,2018-01-02T16:56:00Z,57,24.1,27.86,FEW,California
NJK,2018-01-02T17:56:00Z,64.9,19,16.97,CLR,California
NJK,2018-01-02T18:56:00Z,71.1,21,14.93,BKN,California
NJK,2018-01-02T19:56:00Z,75,19,12.02,BKN,California
NJK,2018-01-02T20:56:00Z,78.1,19.9,11.27,BKN,California
NJK,2018-01-02T21:56:00Z,80.1,12.9,7.79,CLR,California
NJK,2018-01-02T22:56:00Z,80.1,12.9,7.79,FEW,California
NJK,2018-01-02T23:56:00Z,80.1,17.1,9.36,FEW,California
NJK,2018-01-03T00:56:00Z,75.9,19,11.66,CLR,California
NJK,2018-01-03T01:56:00Z,71.1,21.9,15.51,FEW,California
NJK,2018-01-03T02:56:00Z,60.1,21,21.88,FEW,California
NJK,2018-01-03T03:56:00Z,57.9,28,31.71,FEW,California
NJK,2018-01-03T04:56:00Z,55,19.9,25.09,FEW,California
NJK,2018-01-03T05:56:00Z,55.9,19,23.37,BKN,California
NJK,2018-01-03T06:56:00Z,55,21.9,27.31,BKN,California
NJK,2018-01-03T07:56:00Z,52,21,29.35,CLR,California
NJK,2018-01-03T08:56:00Z,53.1,19,25.88,CLR,California
NJK,2018-01-03T09:56:00Z,51.1,21,30.34,CLR,California
NJK,2018-01-03T10:56:00Z,54,18,23.99,CLR,California
NJK,2018-01-03T11:56:00Z,51.1,19.9,28.95,CLR,California
NJK,2018-01-03T12:56:00Z,52,21,29.35,CLR,California
NJK,2018-01-03T13:56:00Z,51.1,19,27.86,FEW,California
NJK,2018-01-03T14:56:00Z,50,21.9,32.83,BKN,California
NJK,2018-01-03T15:56:00Z,53.1,25,33.34,FEW,California
NJK,2018-01-03T16:56:00Z,59,25,26.92,CLR,California
NJK,2018-01-03T17:56:00Z,64.9,25,21.86,FEW,California
NJK,2018-01-03T18:56:00Z,69.1,27,20.54,FEW,California
NJK,2018-01-03T19:56:00Z,72,21.9,15.04,SCT,California
NJK,2018-01-03T20:56:00Z,75,19.9,12.49,BKN,California
NJK,2018-01-03T21:56:00Z,75,16,10.56,BKN,California
NJK,2018-01-03T22:56:00Z,75,21,13.09,BKN,California
NJK,2018-01-03T23:56:00Z,71.1,32,23.52,BKN,California
NJK,2018-01-04T00:56:00Z,66.9,33.1,28.39,BKN,California
NJK,2018-01-04T01:56:00Z,64.9,32,29.12,BKN,California
NJK,2018-01-04T02:56:00Z,63,28.9,27.44,BKN,California
NJK,2018-01-04T03:56:00Z,61,28.9,29.45,BKN,California
NJK,2018-01-04T04:56:00Z,60.1,37.9,43.61,BKN,California
NJK,2018-01-04T05:56:00Z,59,37,NA,BKN,California
NJK,2018-01-04T06:56:00Z,55.9,33.1,41.92,BKN,California
NJK,2018-01-04T07:56:00Z,55,37.9,52.4,CLR,California
NJK,2018-01-04T08:56:00Z,55,32,41.44,CLR,California
NJK,2018-01-04T09:56:00Z,52,30.9,44.24,CLR,California
NJK,2018-01-04T10:56:00Z,48.9,26.1,40.77,CLR,California
NJK,2018-01-04T11:56:00Z,48.9,21,32.93,CLR,California
NJK,2018-01-04T12:56:00Z,48,21.9,35.38,CLR,California
NJK,2018-01-04T13:56:00Z,46,21.9,38.15,FEW,California
NJK,2018-01-04T14:56:00Z,46,23,39.96,FEW,California
NJK,2018-01-04T15:56:00Z,51.1,19.9,28.95,FEW,California
NJK,2018-01-04T16:56:00Z,59,23,24.76,FEW,California
NJK,2018-01-04T17:56:00Z,66.9,27,22.15,FEW,California
NJK,2018-01-04T18:56:00Z,71.1,30.9,22.5,CLR,California
NJK,2018-01-04T19:56:00Z,73,28.9,19.45,FEW,California
NJK,2018-01-04T20:56:00Z,75,25,15.48,CLR,California
NJK,2018-01-04T21:56:00Z,77,24.1,13.95,FEW,California
NJK,2018-01-04T22:56:00Z,79,19,10.53,FEW,California
NJK,2018-01-04T23:56:00Z,77,21,12.24,FEW,California
NJK,2018-01-05T00:56:00Z,71.1,28,19.99,FEW,California
NJK,2018-01-05T01:56:00Z,64.9,30,26.85,FEW,California
NJK,2018-01-05T02:56:00Z,61,32,33.4,FEW,California
NJK,2018-01-05T03:56:00Z,62.1,30,29.63,FEW,California
NJK,2018-01-05T04:56:00Z,57,32,38.54,CLR,California
NJK,2018-01-05T05:56:00Z,57,26.1,30.28,FEW,California
NJK,2018-01-05T06:56:00Z,53.1,25,33.34,FEW,California
NJK,2018-01-05T07:56:00Z,52,21.9,30.49,CLR,California
NJK,2018-01-05T08:56:00Z,51.1,21.9,31.52,CLR,California
NJK,2018-01-05T09:56:00Z,50,23,34.39,CLR,California
NJK,2018-01-05T10:56:00Z,50,23,34.39,CLR,California
NJK,2018-01-05T11:56:00Z,51.1,18,26.69,CLR,California
NJK,2018-01-05T12:56:00Z,48.9,18,28.97,CLR,California
NJK,2018-01-05T13:56:00Z,48.9,21.9,34.2,FEW,California
NJK,2018-01-05T14:56:00Z,46,21.9,38.15,FEW,California
NJK,2018-01-05T15:56:00Z,53.1,21.9,29.28,FEW,California
NJK,2018-01-05T16:56:00Z,62.1,24.1,23.23,CLR,California
NJK,2018-01-05T17:56:00Z,69.1,36,29.55,FEW,California
NJK,2018-01-05T18:56:00Z,75,24.1,14.91,FEW,California
NJK,2018-01-05T19:56:00Z,77,37,23.55,FEW,California
NJK,2018-01-05T20:56:00Z,77,35.1,21.85,FEW,California
NJK,2018-01-05T21:56:00Z,78.1,36,21.83,CLR,California
NJK,2018-01-05T22:56:00Z,78.1,35.1,21.07,FEW,California
NJK,2018-01-05T23:56:00Z,79,36,21.19,FEW,California
NJK,2018-01-06T00:56:00Z,72,42.1,33.97,FEW,California
NJK,2018-01-06T01:56:00Z,64,46.9,53.72,SCT,California
NJK,2018-01-06T02:56:00Z,60.1,46.9,61.65,SCT,California
NJK,2018-01-06T03:56:00Z,60.1,41,49.21,CLR,California
NJK,2018-01-06T04:56:00Z,59,37.9,45.36,CLR,California
NJK,2018-01-06T05:56:00Z,57,37,47.04,CLR,California
NJK,2018-01-06T06:56:00Z,59,37.9,45.36,CLR,California
NJK,2018-01-06T07:56:00Z,55.9,37,48.95,CLR,California
NJK,2018-01-06T11:56:00Z,55.9,33.1,41.92,CLR,California
NJK,2018-01-06T12:56:00Z,55.9,33.1,41.92,CLR,California
NJK,2018-01-06T13:56:00Z,55,33.1,43.31,BKN,California
NJK,2018-01-06T14:56:00Z,55,36,48.62,CLR,California
NJK,2018-01-06T15:56:00Z,55.9,39.9,54.83,BKN,California
NJK,2018-01-06T16:56:00Z,60.1,37,42.09,CLR,California
NJK,2018-01-06T17:56:00Z,66.9,35.1,30.75,FEW,California
NJK,2018-01-06T18:56:00Z,72,34,24.72,FEW,California
NJK,2018-01-06T19:56:00Z,73,37,26.92,FEW,California
NJK,2018-01-06T20:56:00Z,73.9,41,30.54,FEW,California
NJK,2018-01-06T21:56:00Z,75,39.9,28.2,FEW,California
NJK,2018-01-06T22:56:00Z,75.9,39.9,27.37,SCT,California
NJK,2018-01-06T23:56:00Z,75.9,39.9,27.37,CLR,California
NJK,2018-01-07T00:56:00Z,73,44.1,35.46,CLR,California
NJK,2018-01-07T01:56:00Z,68,46,45.19,CLR,California
NJK,2018-01-07T02:56:00Z,66,46,48.43,CLR,California
NJK,2018-01-07T03:56:00Z,66,45,46.62,CLR,California
NJK,2018-01-07T04:56:00Z,69.1,42.1,37.5,CLR,California
NJK,2018-01-07T05:56:00Z,71.1,42.1,35.02,CLR,California
NJK,2018-01-07T06:56:00Z,73,42.1,32.84,CLR,California
NJK,2018-01-07T07:56:00Z,66.9,41,38.76,CLR,California
NJK,2018-01-07T08:56:00Z,62.1,43,49.52,CLR,California
NJK,2018-01-07T09:56:00Z,64,43,46.32,CLR,California
NJK,2018-01-07T10:56:00Z,57.9,41,53.24,CLR,California
NJK,2018-01-07T11:56:00Z,62.1,43,49.52,CLR,California
NJK,2018-01-07T12:56:00Z,57,41,54.99,CLR,California
NJK,2018-01-07T13:56:00Z,55,42.1,61.69,CLR,California
NJK,2018-01-07T14:56:00Z,55,39.9,56.66,CLR,California
