station,valid,tmpf,dwpf,relh,skyc1,state
NLC,2018-01-01T00:21:00Z,60.1,37.9,43.61,SCT,California
NLC,2018-01-01T00:56:00Z,55.9,37.9,50.71,CLR,California
NLC,2018-01-01T01:56:00Z,51.1,35.1,54.13,CLR,California
NLC,2018-01-01T02:56:00Z,48.9,32,51.89,CLR,California
NLC,2018-01-01T03:56:00Z,48.9,32,51.89,FEW,California
NLC,2018-01-01T04:56:00Z,46,33.1,60.49,FEW,California
NLC,2018-01-01T05:56:00Z,45,32,60.11,BKN,California
NLC,2018-01-01T06:56:00Z,45,35.1,68.05,BKN,California
NLC,2018-01-01T07:56:00Z,42.1,34,72.78,OVC,California
NLC,2018-01-01T08:56:00Z,41,32,70.08,OVC,California
NLC,2018-01-01T09:56:00Z,39,30,69.85,OVC,California
NLC,2018-01-01T10:56:00Z,37.9,28.9,69.73,OVC,California
NLC,2018-01-01T11:56:00Z,37,28.9,72.24,SCT,California
NLC,2018-01-01T12:56:00Z,36,28,72.43,CLR,California
NLC,2018-01-01T13:56:00Z,35.1,28,75.06,CLR,California
NLC,2018-01-01T14:56:00Z,35.1,28.9,77.88,CLR,California
NLC,2018-01-01T15:56:00Z,36,28.9,75.15,CLR,California
NLC,2018-01-01T16:56:00Z,44.1,34,67.41,CLR,California
NLC,2018-01-01T17:56:00Z,50,37.9,62.98,CLR,California
NLC,2018-01-01T18:56:00Z,55,42.1,61.69,CLR,California
NLC,2018-01-01T19:56:00Z,59,43,55.28,CLR,California
NLC,2018-01-01T20:56:00Z,61,42.1,49.73,CLR,California
NLC,2018-01-01T21:56:00Z,63,42.1,46.34,CLR,California
NLC,2018-01-01T22:56:00Z,63,42.1,46.34,CLR,California
NLC,2018-01-01T23:56:00Z,61,41,47.66,CLR,California
NLC,2018-01-02T00:56:00Z,59,41,51.18,CLR,California
NLC,2018-01-02T01:56:00Z,55,39.9,56.66,CLR,California
NLC,2018-01-02T02:56:00Z,50,37.9,62.98,CLR,California
NLC,2018-01-02T03:56:00Z,46.9,36,65.63,CLR,California
NLC,2018-01-02T04:56:00Z,46.9,35.1,63.33,CLR,California
NLC,2018-01-02T05:56:00Z,44.1,33.1,65.02,CLR,California
NLC,2018-01-02T06:56:00Z,46,34,62.71,CLR,California
NLC,2018-01-02T07:56:00Z,44.1,30.9,59.5,CLR,California
NLC,2018-01-02T08:56:00Z,41,30,64.63,CLR,California
NLC,2018-01-02T09:56:00Z,42.1,33.1,70.2,CLR,California
NLC,2018-01-02T10:56:00Z,41,35.1,79.34,CLR,California
NLC,2018-01-02T11:56:00Z,41,34,75.94,CLR,California
NLC,2018-01-02T12:56:00Z,42.1,35.1,76.04,CLR,California
NLC,2018-01-02T13:56:00Z,39.9,32,73.14,CLR,California
NLC,2018-01-02T14:33:00Z,39,33.1,79.17,BKN,California
NLC,2018-01-02T14:56:00Z,39,33.1,79.17,BKN,California
NLC,2018-01-02T15:56:00Z,39,32,75.75,BKN,California
NLC,2018-01-02T16:56:00Z,44.1,37.9,78.66,BKN,California
NLC,2018-01-02T17:56:00Z,46.9,39,73.85,BKN,California
NLC,2018-01-02T18:56:00Z,52,39.9,63.24,BKN,California
NLC,2018-01-02T19:38:00Z,54,41,61.32,BKN,California
NLC,2018-01-02T19:56:00Z,54,41,61.32,BKN,California
NLC,2018-01-02T20:56:00Z,57,42.1,57.38,FEW,California
NLC,2018-01-02T21:56:00Z,60.1,43,53.15,FEW,California
NLC,2018-01-02T22:56:00Z,61,43,51.48,BKN,California
NLC,2018-01-02T23:56:00Z,61,42.1,49.73,BKN,California
NLC,2018-01-03T00:56:00Z,55.9,42.1,59.71,SCT,California
NLC,2018-01-03T01:56:00Z,54,41,61.32,SCT,California
NLC,2018-01-03T02:56:00Z,50,39,65.75,SCT,California
NLC,2018-01-03T03:56:00Z,45,34,65.13,SCT,California
NLC,2018-01-03T04:56:00Z,43,32,64.88,SCT,California
NLC,2018-01-03T05:56:00Z,42.1,35.1,76.04,FEW,California
NLC,2018-01-03T06:56:00Z,41,33.1,73.25,SCT,California
NLC,2018-01-03T07:56:00Z,37,30,75.56,CLR,California
NLC,2018-01-03T08:56:00Z,37,30,75.56,CLR,California
NLC,2018-01-03T09:56:00Z,39.9,32,73.14,CLR,California
NLC,2018-01-03T10:56:00Z,41,33.1,73.25,CLR,California
NLC,2018-01-03T11:56:00Z,43,34,70.3,CLR,California
NLC,2018-01-03T12:53:00Z,42.8,33.8,70.28,BKN,California
NLC,2018-01-03T12:56:00Z,42.1,34,72.78,BKN,California
NLC,2018-01-03T13:56:00Z,42.1,34,72.78,OVC,California
NLC,2018-01-03T14:40:00Z,39.9,30.9,69.96,FEW,California
NLC,2018-01-03T14:56:00Z,39,32,75.75,FEW,California
NLC,2018-01-03T15:09:00Z,39,32,75.75,FEW,California
NLC,2018-01-03T15:56:00Z,41,35.1,79.34,FEW,California
NLC,2018-01-03T16:56:00Z,46,39,76.4,FEW,California
NLC,2018-01-03T17:56:00Z,52,43,71.28,BKN,California
NLC,2018-01-03T18:56:00Z,59,44.1,57.66,BKN,California
NLC,2018-01-03T19:06:00Z,59,44.1,57.66,BKN,California
NLC,2018-01-03T19:56:00Z,61,44.1,53.69,BKN,California
NLC,2018-01-03T20:07:00Z,61,44.1,53.69,BKN,California
NLC,2018-01-03T20:35:00Z,61,44.1,53.69,BKN,California
NLC,2018-01-03T20:56:00Z,61,44.1,53.69,SCT,California
NLC,2018-01-03T21:30:00Z,62.1,44.1,51.64,SCT,California
NLC,2018-01-03T21:56:00Z,62.1,44.1,51.64,SCT,California
NLC,2018-01-03T22:36:00Z,62.1,44.1,51.64,SCT,California
NLC,2018-01-03T22:56:00Z,62.1,44.1,51.64,SCT,California
NLC,2018-01-03T23:56:00Z,59,43,55.28,SCT,California
NLC,2018-01-04T00:06:00Z,59,44.1,57.66,BKN,California
NLC,2018-01-04T00:56:00Z,57.9,43,57.51,BKN,California
NLC,2018-01-04T01:56:00Z,55,45,68.93,BKN,California
NLC,2018-01-04T02:56:00Z,53.1,45,73.89,FEW,California
NLC,2018-01-04T03:56:00Z,52,46,79.92,FEW,California
NLC,2018-01-04T04:56:00Z,51.1,44.1,76.86,SCT,California
NLC,2018-01-04T05:56:00Z,50,43,76.76,SCT,California
NLC,2018-01-04T06:56:00Z,51.1,44.1,76.86,SCT,California
NLC,2018-01-04T07:56:00Z,48,42.1,79.91,SCT,California
NLC,2018-01-04T08:03:00Z,48,42.1,79.91,OVC,California
NLC,2018-01-04T08:56:00Z,50,43,76.76,BKN,California
NLC,2018-01-04T09:22:00Z,51.1,44.1,76.86,SCT,California
NLC,2018-01-04T09:25:00Z,51.1,44.1,76.86,BKN,California
NLC,2018-01-04T09:56:00Z,51.1,44.1,76.86,SCT,California
NLC,2018-01-04T10:34:00Z,51.1,44.1,76.86,BKN,California
NLC,2018-01-04T10:45:00Z,51.1,45,79.54,SCT,California
