station,valid,tmpf,dwpf,relh,skyc1,state
NRS,2018-01-01T00:56:00Z,60.1,55,83.23,CLR,California
NRS,2018-01-01T01:56:00Z,59,54,83.46,CLR,California
NRS,2018-01-01T02:56:00Z,54,52,92.92,CLR,California
NRS,2018-01-01T03:56:00Z,54,53.1,96.76,CLR,California
NRS,2018-01-01T04:56:00Z,46.9,45,93.06,CLR,California
NRS,2018-01-01T04:59:00Z,48,45,89.29,VV,California
NRS,2018-01-01T05:06:00Z,48,46,92.74,VV,California
NRS,2018-01-01T05:12:00Z,48.9,46.9,92.77,FEW,California
NRS,2018-01-01T05:29:00Z,50,46.9,89.04,FEW,California
NRS,2018-01-01T05:56:00Z,50,48,92.8,CLR,California
NRS,2018-01-01T06:56:00Z,48,46.9,95.95,CLR,California
NRS,2018-01-01T07:17:00Z,46.9,46,96.66,CLR,California
NRS,2018-01-01T07:31:00Z,46.9,45,93.06,CLR,California
NRS,2018-01-01T07:56:00Z,46.9,46,96.66,CLR,California
NRS,2018-01-01T08:13:00Z,48.9,48,96.69,CLR,California
NRS,2018-01-01T08:56:00Z,48,46,92.74,CLR,California
NRS,2018-01-01T09:28:00Z,48,45,89.29,CLR,California
NRS,2018-01-01T09:34:00Z,48,46,92.74,FEW,California
NRS,2018-01-01T09:38:00Z,48.9,46.9,92.77,VV,California
NRS,2018-01-01T09:56:00Z,48.9,46.9,92.77,VV,California
NRS,2018-01-01T10:56:00Z,52,50,92.86,VV,California
NRS,2018-01-01T11:56:00Z,53.1,51.1,92.89,VV,California
NRS,2018-01-01T12:56:00Z,52,51.1,96.73,VV,California
NRS,2018-01-01T13:35:00Z,NA,NA,NA,VV,California
NRS,2018-01-01T13:56:00Z,NA,NA,NA,BKN,California
NRS,2018-01-01T14:06:00Z,NA,NA,NA,SCT,California
NRS,2018-01-01T14:20:00Z,46,44.1,93.03,FEW,California
NRS,2018-01-01T14:56:00Z,46,43,89.2,CLR,California
NRS,2018-01-01T15:25:00Z,46,44.1,93.03,SCT,California
NRS,2018-01-01T15:34:00Z,46.9,45,93.06,BKN,California
NRS,2018-01-01T15:56:00Z,48,46,92.74,OVC,California
NRS,2018-01-01T16:22:00Z,48.9,46.9,92.77,OVC,California
NRS,2018-01-01T16:56:00Z,50,48,92.8,VV,California
NRS,2018-01-01T17:21:00Z,52,52,100,BKN,California
NRS,2018-01-01T17:25:00Z,52,52,100,SCT,California
NRS,2018-01-01T17:56:00Z,57.9,46.9,66.7,CLR,California
NRS,2018-01-01T18:56:00Z,61,52,72.22,CLR,California
NRS,2018-01-01T19:56:00Z,61,54,77.72,CLR,California
