station,valid,tmpf,dwpf,relh,skyc1,state
NSI,2018-01-01T00:12:00Z,57.9,NA,NA,BKN,California
NSI,2018-01-01T00:21:00Z,57.9,NA,NA,SCT,California
NSI,2018-01-01T00:28:00Z,57,NA,NA,BKN,California
NSI,2018-01-01T00:57:00Z,55.9,NA,NA,BKN,California
NSI,2018-01-01T01:57:00Z,55,NA,NA,BKN,California
NSI,2018-01-01T02:57:00Z,55,NA,NA,OVC,California
NSI,2018-01-01T03:57:00Z,54,NA,NA,OVC,California
NSI,2018-01-01T04:57:00Z,51.1,NA,NA,BKN,California
NSI,2018-01-01T05:13:00Z,51.1,NA,NA,FEW,California
NSI,2018-01-01T05:57:00Z,50,NA,NA,CLR,California
NSI,2018-01-01T06:57:00Z,51.1,NA,NA,CLR,California
NSI,2018-01-01T07:57:00Z,50,NA,NA,CLR,California
NSI,2018-01-01T08:22:00Z,50,NA,NA,FEW,California
NSI,2018-01-01T08:57:00Z,50,NA,NA,FEW,California
NSI,2018-01-01T09:24:00Z,51.1,NA,NA,BKN,California
NSI,2018-01-01T09:57:00Z,53.1,NA,NA,OVC,California
NSI,2018-01-01T10:57:00Z,53.1,NA,NA,OVC,California
NSI,2018-01-01T11:25:00Z,53.1,NA,NA,SCT,California
NSI,2018-01-01T11:57:00Z,51.1,NA,NA,FEW,California
NSI,2018-01-01T12:57:00Z,51.1,NA,NA,FEW,California
NSI,2018-01-01T13:57:00Z,51.1,NA,NA,CLR,California
NSI,2018-01-01T14:57:00Z,50,NA,NA,CLR,California
NSI,2018-01-01T15:57:00Z,54,NA,NA,CLR,California
NSI,2018-01-01T16:57:00Z,57,NA,NA,CLR,California
NSI,2018-01-01T17:23:00Z,57.9,NA,NA,FEW,California
NSI,2018-01-01T17:57:00Z,60.1,NA,NA,CLR,California
NSI,2018-01-01T18:57:00Z,61,NA,NA,CLR,California
NSI,2018-01-01T19:57:00Z,60.1,NA,NA,CLR,California
NSI,2018-01-01T20:57:00Z,63,NA,NA,CLR,California
NSI,2018-01-01T21:57:00Z,60.1,NA,NA,CLR,California
NSI,2018-01-01T22:57:00Z,60.1,NA,NA,CLR,California
NSI,2018-01-01T23:57:00Z,60.1,NA,NA,CLR,California
NSI,2018-01-02T00:57:00Z,57,NA,NA,CLR,California
NSI,2018-01-02T01:57:00Z,53.1,NA,NA,CLR,California
NSI,2018-01-02T02:43:00Z,54,NA,NA,SCT,California
NSI,2018-01-02T02:57:00Z,55,NA,NA,BKN,California
NSI,2018-01-02T03:42:00Z,53.1,NA,NA,SCT,California
NSI,2018-01-02T03:57:00Z,52,NA,NA,CLR,California
NSI,2018-01-02T04:57:00Z,53.1,NA,NA,CLR,California
NSI,2018-01-02T05:57:00Z,55,NA,NA,CLR,California
NSI,2018-01-02T06:57:00Z,55,NA,NA,CLR,California
NSI,2018-01-02T07:57:00Z,55.9,NA,NA,CLR,California
NSI,2018-01-02T08:57:00Z,54,NA,NA,CLR,California
NSI,2018-01-02T09:57:00Z,55.9,NA,NA,CLR,California
NSI,2018-01-02T10:57:00Z,54,NA,NA,CLR,California
NSI,2018-01-02T11:45:00Z,54,NA,NA,FEW,California
NSI,2018-01-02T11:48:00Z,54,NA,NA,VV,California
NSI,2018-01-02T11:55:00Z,53.6,NA,NA,VV,California
NSI,2018-01-02T11:57:00Z,54,NA,NA,VV,California
NSI,2018-01-02T12:00:00Z,54,NA,NA,SCT,California
NSI,2018-01-02T12:02:00Z,54,NA,NA,SCT,California
NSI,2018-01-02T12:57:00Z,53.1,NA,NA,CLR,California
NSI,2018-01-02T13:57:00Z,52,NA,NA,CLR,California
NSI,2018-01-02T14:52:00Z,53.6,NA,NA,BKN,California
NSI,2018-01-02T14:55:00Z,53.6,NA,NA,VV,California
NSI,2018-01-02T14:57:00Z,53.1,NA,NA,VV,California
NSI,2018-01-02T15:57:00Z,55,NA,NA,VV,California
NSI,2018-01-02T16:07:00Z,55.9,NA,NA,OVC,California
NSI,2018-01-02T16:18:00Z,55.9,NA,NA,BKN,California
NSI,2018-01-02T16:37:00Z,55.9,NA,NA,FEW,California
NSI,2018-01-02T16:57:00Z,57,NA,NA,CLR,California
NSI,2018-01-02T17:57:00Z,63,NA,NA,CLR,California
NSI,2018-01-02T18:57:00Z,64.9,NA,NA,CLR,California
NSI,2018-01-02T19:57:00Z,66,60.1,81.27,CLR,California
NSI,2018-01-02T20:57:00Z,64.9,63,93.56,CLR,California
NSI,2018-01-02T21:57:00Z,64,NA,NA,CLR,California
NSI,2018-01-02T22:57:00Z,64.9,NA,NA,CLR,California
NSI,2018-01-02T23:57:00Z,61,NA,NA,CLR,California
NSI,2018-01-03T00:57:00Z,57,NA,NA,CLR,California
NSI,2018-01-03T01:57:00Z,55.9,NA,NA,CLR,California
NSI,2018-01-03T02:57:00Z,54,NA,NA,CLR,California
NSI,2018-01-03T03:04:00Z,55,NA,NA,FEW,California
NSI,2018-01-03T03:57:00Z,57,NA,NA,CLR,California
NSI,2018-01-03T04:57:00Z,59,45,59.67,CLR,California
NSI,2018-01-03T05:57:00Z,64,23,20.75,CLR,California
NSI,2018-01-03T06:57:00Z,61,28,28.38,CLR,California
NSI,2018-01-03T07:57:00Z,61,28,28.38,CLR,California
NSI,2018-01-03T08:57:00Z,62.1,19,18.72,CLR,California
NSI,2018-01-03T09:57:00Z,59,21.9,23.64,CLR,California
NSI,2018-01-03T10:57:00Z,57,21,24.45,CLR,California
NSI,2018-01-03T11:57:00Z,55.9,23,27.69,CLR,California
NSI,2018-01-03T12:57:00Z,60.1,32,34.49,CLR,California
NSI,2018-01-03T13:57:00Z,63,21.9,20.52,CLR,California
NSI,2018-01-03T14:57:00Z,62.1,19,18.72,CLR,California
NSI,2018-01-03T15:31:00Z,61,19,19.46,FEW,California
NSI,2018-01-03T15:57:00Z,62.1,33.1,33.58,FEW,California
NSI,2018-01-03T16:57:00Z,66,37.9,35.44,FEW,California
NSI,2018-01-03T17:57:00Z,70,39,32.24,FEW,California
NSI,2018-01-03T18:57:00Z,70,43,37.64,FEW,California
NSI,2018-01-03T19:57:00Z,66,45,46.62,FEW,California
NSI,2018-01-03T20:57:00Z,66.9,46,46.94,FEW,California
NSI,2018-01-03T21:57:00Z,64,53.1,67.66,BKN,California
NSI,2018-01-03T22:57:00Z,64,54,69.92,FEW,California
NSI,2018-01-03T23:57:00Z,64,52,64.97,SCT,California
NSI,2018-01-04T00:57:00Z,61,46.9,59.71,CLR,California
NSI,2018-01-04T01:57:00Z,60.1,30.9,32.99,FEW,California
NSI,2018-01-04T02:57:00Z,63,10,12.23,BKN,California
NSI,2018-01-04T03:57:00Z,64,12,12.91,OVC,California
NSI,2018-01-04T04:57:00Z,63,35.1,35.24,OVC,California
NSI,2018-01-04T05:57:00Z,61,48,62.23,FEW,California
NSI,2018-01-04T06:57:00Z,63,54,72.42,FEW,California
NSI,2018-01-04T07:57:00Z,60.1,45,57.37,CLR,California
NSI,2018-01-04T08:57:00Z,61,54,77.72,BKN,California
NSI,2018-01-04T09:57:00Z,63,33.1,32.53,OVC,California
NSI,2018-01-04T10:57:00Z,63,39.9,42.56,OVC,California
NSI,2018-01-04T11:57:00Z,62.1,59,89.57,FEW,California
NSI,2018-01-04T12:57:00Z,63,NA,NA,OVC,California
NSI,2018-01-04T13:57:00Z,62.1,NA,NA,BKN,California
NSI,2018-01-04T14:57:00Z,64,NA,NA,BKN,California
NSI,2018-01-04T15:30:00Z,64,55.9,74.93,FEW,California
NSI,2018-01-04T15:57:00Z,62.1,55.9,80.11,FEW,California
NSI,2018-01-04T16:57:00Z,64.9,57,75.56,FEW,California
NSI,2018-01-04T17:57:00Z,66.9,57,70.49,SCT,California
NSI,2018-01-04T18:57:00Z,64.9,59,81.19,FEW,California
NSI,2018-01-04T19:57:00Z,66,57.9,75.12,SCT,California
NSI,2018-01-04T20:57:00Z,68,57,67.86,BKN,California
NSI,2018-01-04T21:45:00Z,64,59,83.78,FEW,California
NSI,2018-01-04T21:57:00Z,64,59,83.78,SCT,California
NSI,2018-01-04T22:10:00Z,64.9,57.9,78.05,FEW,California
NSI,2018-01-04T22:57:00Z,66,57.9,75.12,SCT,California
NSI,2018-01-04T23:57:00Z,66,57,72.72,FEW,California
NSI,2018-01-05T00:57:00Z,64,NA,NA,BKN,California
NSI,2018-01-05T01:11:00Z,64,NA,NA,SCT,California
NSI,2018-01-05T01:57:00Z,62.1,NA,NA,BKN,California
NSI,2018-01-05T02:25:00Z,64,NA,NA,OVC,California
NSI,2018-01-05T02:57:00Z,64,NA,NA,OVC,California
NSI,2018-01-05T03:43:00Z,62.1,NA,NA,SCT,California
NSI,2018-01-05T03:57:00Z,61,NA,NA,CLR,California
NSI,2018-01-05T04:05:00Z,62.1,NA,NA,SCT,California
NSI,2018-01-05T04:10:00Z,62.1,NA,NA,BKN,California
NSI,2018-01-05T04:17:00Z,61,NA,NA,VV,California
NSI,2018-01-05T04:50:00Z,62.1,NA,NA,BKN,California
NSI,2018-01-05T04:55:00Z,62.6,NA,NA,SCT,California
NSI,2018-01-05T04:57:00Z,62.1,NA,NA,SCT,California
