station,valid,tmpf,dwpf,relh,skyc1,state
NUC,2018-01-02T15:05:00Z,53.6,53.6,100,FEW,California
NUC,2018-01-02T15:56:00Z,59,57,93.07,SCT,California
NUC,2018-01-02T16:56:00Z,59,57,93.07,FEW,California
NUC,2018-01-02T17:56:00Z,63,57,80.76,FEW,California
NUC,2018-01-02T18:56:00Z,66,53.1,63.1,FEW,California
NUC,2018-01-02T19:56:00Z,66,54,65.21,FEW,California
NUC,2018-01-02T20:56:00Z,64.9,55.9,72.61,FEW,California
NUC,2018-01-02T21:56:00Z,63,57,80.76,FEW,California
NUC,2018-01-02T22:56:00Z,62.1,57,83.36,FEW,California
NUC,2018-01-02T23:56:00Z,61,57,86.67,FEW,California
NUC,2018-01-03T00:03:00Z,60.8,57.2,87.92,SCT,California
NUC,2018-01-03T00:56:00Z,59,55.9,89.44,FEW,California
NUC,2018-01-03T01:56:00Z,60.1,57.9,92.43,SCT,California
NUC,2018-01-03T15:16:00Z,59,57.2,93.74,FEW,California
NUC,2018-01-03T15:41:00Z,60.8,57.2,87.92,SCT,California
NUC,2018-01-03T15:49:00Z,60.8,57.2,87.92,FEW,California
NUC,2018-01-03T15:56:00Z,59,57.9,96.13,FEW,California
NUC,2018-01-03T16:56:00Z,64,53.1,67.66,FEW,California
NUC,2018-01-03T17:56:00Z,64,50,60.34,FEW,California
NUC,2018-01-03T18:56:00Z,64,55.9,74.93,FEW,California
NUC,2018-01-03T19:56:00Z,62.1,57.9,86.11,FEW,California
NUC,2018-01-03T20:45:00Z,62.6,59,88,SCT,California
NUC,2018-01-03T20:56:00Z,62.1,59,89.57,SCT,California
NUC,2018-01-03T21:56:00Z,62.1,57.9,86.11,SCT,California
NUC,2018-01-03T22:56:00Z,62.1,57.9,86.11,SCT,California
NUC,2018-01-03T23:56:00Z,61,55,80.61,SCT,California
NUC,2018-01-04T00:56:00Z,61,55.9,83.29,BKN,California
NUC,2018-01-04T01:56:00Z,59,55.9,89.44,BKN,California
NUC,2018-01-04T15:19:00Z,57.2,48.2,71.83,SCT,California
NUC,2018-01-04T15:56:00Z,62.1,48,59.86,SCT,California
NUC,2018-01-04T16:56:00Z,66.9,43,41.87,SCT,California
NUC,2018-01-04T17:56:00Z,68,46,45.19,FEW,California
NUC,2018-01-04T18:56:00Z,70,45,40.63,FEW,California
NUC,2018-01-04T19:56:00Z,71.1,45,39.13,FEW,California
NUC,2018-01-04T20:56:00Z,69.1,52,54.45,FEW,California
NUC,2018-01-04T21:56:00Z,70,51.1,51.07,FEW,California
NUC,2018-01-04T22:56:00Z,66.9,55,65.56,FEW,California
NUC,2018-01-04T23:56:00Z,64.9,55,70.28,FEW,California
NUC,2018-01-05T00:56:00Z,62.1,55.9,80.11,FEW,California
NUC,2018-01-05T01:56:00Z,60.1,55.9,85.99,FEW,California
NUC,2018-01-05T15:15:00Z,60.8,60.8,100,OVC,California
NUC,2018-01-05T15:37:00Z,60.8,60.8,100,OVC,California
NUC,2018-01-05T15:56:00Z,61,60.1,96.85,OVC,California
NUC,2018-01-05T16:56:00Z,61,61,100,OVC,California
NUC,2018-01-05T17:56:00Z,62.1,61,96.18,OVC,California
NUC,2018-01-05T18:27:00Z,62.6,60.8,93.83,OVC,California
NUC,2018-01-05T18:56:00Z,62.1,62.1,100,OVC,California
NUC,2018-01-05T19:56:00Z,63,61,93.18,OVC,California
NUC,2018-01-05T20:46:00Z,62.6,59,88,OVC,California
NUC,2018-01-05T20:56:00Z,62.1,60.1,93.16,OVC,California
NUC,2018-01-05T21:56:00Z,62.1,60.1,93.16,OVC,California
NUC,2018-01-05T22:20:00Z,NA,NA,NA,NA,California
NUC,2018-01-05T22:56:00Z,61,60.1,96.85,OVC,California
NUC,2018-01-05T23:08:00Z,60.8,59,93.79,VV,California
NUC,2018-01-05T23:56:00Z,60.1,59,96.15,VV,California
NUC,2018-01-06T16:15:00Z,60.8,59,93.79,OVC,California
NUC,2018-01-06T16:56:00Z,60.1,60.1,100,VV,California
NUC,2018-01-06T17:10:00Z,60.8,60.8,100,FEW,California
NUC,2018-01-06T17:45:00Z,60.8,60.8,100,BKN,California
NUC,2018-01-06T17:56:00Z,61,61,100,BKN,California
NUC,2018-01-06T18:45:00Z,60.8,59,93.79,VV,California
NUC,2018-01-06T18:56:00Z,60.1,60.1,100,VV,California
NUC,2018-01-06T19:10:00Z,60.8,60.8,100,OVC,California
NUC,2018-01-06T19:56:00Z,60.1,59,96.15,OVC,California
NUC,2018-01-06T20:56:00Z,60.1,59,96.15,BKN,California
NUC,2018-01-06T21:56:00Z,61,59,93.12,OVC,California
NUC,2018-01-08T15:18:00Z,60.8,59,NA,SCT,California
