station,valid,tmpf,dwpf,relh,skyc1,state
NXF,2018-01-01T00:33:00Z,60.1,55,83.23,SCT,California
NXF,2018-01-01T00:49:00Z,60.1,55,83.23,BKN,California
NXF,2018-01-01T00:56:00Z,60.1,55,83.23,BKN,California
NXF,2018-01-01T01:19:00Z,57.9,55,90.04,SCT,California
NXF,2018-01-01T01:36:00Z,59,55,86.56,BKN,California
NXF,2018-01-01T01:56:00Z,57.9,55,90.04,BKN,California
NXF,2018-01-01T02:11:00Z,57.9,54,86.82,SCT,California
NXF,2018-01-01T02:56:00Z,54,52,92.92,CLR,California
NXF,2018-01-01T03:09:00Z,54,52,92.92,SCT,California
NXF,2018-01-01T03:18:00Z,55.9,52,86.71,BKN,California
NXF,2018-01-01T03:56:00Z,53.1,50,89.18,SCT,California
NXF,2018-01-01T04:09:00Z,52,50,92.86,BKN,California
NXF,2018-01-01T04:35:00Z,51.1,48.9,92.14,SCT,California
NXF,2018-01-01T04:56:00Z,51.1,48.9,92.14,CLR,California
NXF,2018-01-01T05:56:00Z,50,48,92.8,CLR,California
NXF,2018-01-01T06:06:00Z,50,48,92.8,VV,California
NXF,2018-01-01T06:10:00Z,50,48.9,95.98,VV,California
NXF,2018-01-01T06:29:00Z,52,51.1,96.73,VV,California
NXF,2018-01-01T06:37:00Z,52,51.1,96.73,VV,California
NXF,2018-01-01T06:48:00Z,52,51.1,96.73,VV,California
NXF,2018-01-01T06:54:00Z,51.8,51.8,100,VV,California
NXF,2018-01-01T06:56:00Z,51.1,51.1,100,BKN,California
NXF,2018-01-01T07:13:00Z,52,51.1,96.73,VV,California
NXF,2018-01-01T07:19:00Z,52,51.1,96.73,SCT,California
NXF,2018-01-01T07:28:00Z,51.1,50,96,SCT,California
NXF,2018-01-01T07:31:00Z,51.1,50,96,BKN,California
NXF,2018-01-01T07:36:00Z,51.1,50,96,VV,California
NXF,2018-01-01T07:47:00Z,50,50,100,VV,California
NXF,2018-01-01T07:52:00Z,50,48.2,93.5,BKN,California
NXF,2018-01-01T07:56:00Z,50,48.9,95.98,SCT,California
NXF,2018-01-01T08:06:00Z,50,48.9,95.98,FEW,California
NXF,2018-01-01T08:56:00Z,48.9,46.9,92.77,CLR,California
NXF,2018-01-01T09:56:00Z,48,46.9,95.95,CLR,California
NXF,2018-01-01T10:56:00Z,46.9,45,93.06,CLR,California
NXF,2018-01-01T11:56:00Z,46.9,45,93.06,CLR,California
NXF,2018-01-01T12:56:00Z,46.9,46,96.66,CLR,California
NXF,2018-01-01T13:29:00Z,46,45,96.28,CLR,California
NXF,2018-01-01T13:41:00Z,46,45,96.28,CLR,California
NXF,2018-01-01T13:56:00Z,46,44.1,93.03,CLR,California
NXF,2018-01-01T14:56:00Z,45,43,92.65,CLR,California
NXF,2018-01-01T15:56:00Z,51.1,48.9,92.14,CLR,California
NXF,2018-01-01T16:11:00Z,53.1,50,89.18,CLR,California
NXF,2018-01-01T16:26:00Z,55,52,89.59,CLR,California
NXF,2018-01-01T16:56:00Z,57.9,53.1,84,CLR,California
NXF,2018-01-01T17:56:00Z,59,53.1,80.75,CLR,California
NXF,2018-01-01T18:56:00Z,62.1,53.1,72.33,CLR,California
NXF,2018-01-01T19:56:00Z,63,55,75.11,CLR,California
NXF,2018-01-01T20:46:00Z,63,55.9,77.61,FEW,California
NXF,2018-01-01T20:56:00Z,64,55.9,74.93,FEW,California
NXF,2018-01-01T21:56:00Z,63,55.9,77.61,FEW,California
NXF,2018-01-01T22:56:00Z,62.1,55.9,80.11,FEW,California
NXF,2018-01-01T23:56:00Z,62.1,55.9,80.11,CLR,California
