station,valid,tmpf,dwpf,relh,skyc1,state
NXP,2018-01-01T00:56:00Z,59,8.1,12.95,CLR,California
NXP,2018-01-01T01:56:00Z,55,8.1,14.96,CLR,California
NXP,2018-01-01T02:56:00Z,52,8.1,16.69,CLR,California
NXP,2018-01-01T03:56:00Z,51.1,8.1,17.26,CLR,California
NXP,2018-01-01T04:56:00Z,46.9,8.1,20.19,CLR,California
NXP,2018-01-01T05:56:00Z,46,8.1,20.89,CLR,California
NXP,2018-01-01T06:56:00Z,45,8.1,21.69,CLR,California
NXP,2018-01-01T07:56:00Z,45,8.1,21.69,CLR,California
NXP,2018-01-01T08:56:00Z,43,8.1,23.42,CLR,California
NXP,2018-01-01T09:56:00Z,42.1,7,23.07,CLR,California
NXP,2018-01-01T10:56:00Z,42.1,8.1,24.24,CLR,California
NXP,2018-01-01T11:56:00Z,39,8.1,27.34,CLR,California
NXP,2018-01-01T12:56:00Z,39,8.1,27.34,CLR,California
NXP,2018-01-01T13:56:00Z,37.9,8.1,28.54,CLR,California
NXP,2018-01-01T14:56:00Z,42.1,9,25.24,CLR,California
NXP,2018-01-01T15:56:00Z,41,8.1,25.29,CLR,California
NXP,2018-01-01T16:56:00Z,48,8.1,19.37,CLR,California
NXP,2018-01-01T17:56:00Z,53.1,8.1,16.03,CLR,California
NXP,2018-01-01T18:56:00Z,57,9,14.48,CLR,California
NXP,2018-01-01T19:56:00Z,66,9,10.53,CLR,California
NXP,2018-01-01T20:56:00Z,69.1,7,8.65,CLR,California
NXP,2018-01-01T21:56:00Z,69.1,7,8.65,CLR,California
NXP,2018-01-01T22:56:00Z,71.1,6.1,7.75,CLR,California
NXP,2018-01-01T23:56:00Z,66.9,6.1,8.96,CLR,California
NXP,2018-01-02T00:56:00Z,63,7,10.69,CLR,California
NXP,2018-01-02T01:56:00Z,57.9,7,12.81,CLR,California
NXP,2018-01-02T02:56:00Z,55.9,7,13.77,CLR,California
NXP,2018-01-02T03:56:00Z,54,7,14.76,CLR,California
NXP,2018-01-02T04:56:00Z,52,7,15.88,CLR,California
NXP,2018-01-02T05:56:00Z,50,6.1,16.42,CLR,California
NXP,2018-01-02T06:56:00Z,51.1,6.1,15.76,CLR,California
NXP,2018-01-02T07:56:00Z,46.9,6.1,18.44,CLR,California
NXP,2018-01-02T08:56:00Z,48.9,6.1,17.11,CLR,California
