station,valid,tmpf,dwpf,relh,skyc1,state
O32,2018-08-02T16:35:00Z,82.4,59,45.07,CLR,California
O32,2018-08-02T16:55:00Z,84.2,57.2,39.86,CLR,California
O32,2018-08-02T17:15:00Z,84.2,57.2,39.86,CLR,California
O32,2018-08-02T17:35:00Z,86,59,40.14,CLR,California
O32,2018-08-02T17:50:00Z,86,57.2,37.62,CLR,California
O32,2018-08-02T18:10:00Z,86,57.2,37.62,CLR,California
O32,2018-08-02T18:30:00Z,87.8,59,37.9,CLR,California
O32,2018-08-02T18:55:00Z,89.6,53.6,29.45,CLR,California
O32,2018-08-02T19:15:00Z,91.4,57.2,31.72,CLR,California
O32,2018-08-02T19:35:00Z,91.4,57.2,31.72,CLR,California
O32,2018-08-02T19:55:00Z,93.2,55.4,28.1,CLR,California
O32,2018-08-02T20:15:00Z,93.2,48.2,21.54,CLR,California
O32,2018-08-02T20:35:00Z,95,53.6,24.89,CLR,California
O32,2018-08-02T20:55:00Z,98.6,53.6,22.29,CLR,California
O32,2018-08-02T21:15:00Z,98.6,51.8,20.87,CLR,California
O32,2018-08-02T21:35:00Z,98.6,42.8,14.87,CLR,California
O32,2018-08-02T21:55:00Z,100.4,44.6,15.08,CLR,California
O32,2018-08-02T22:15:00Z,100.4,39.2,12.25,CLR,California
O32,2018-08-02T22:35:00Z,100.4,46.4,16.15,CLR,California
O32,2018-08-02T22:55:00Z,100.4,44.6,15.08,CLR,California
O32,2018-08-02T23:15:00Z,100.4,37.4,11.41,CLR,California
O32,2018-08-02T23:35:00Z,100.4,44.6,15.08,CLR,California
O32,2018-08-02T23:55:00Z,100.4,44.6,15.08,CLR,California
O32,2018-08-03T00:15:00Z,100.4,44.6,15.08,CLR,California
O32,2018-08-03T00:35:00Z,100.4,41,13.14,CLR,California
O32,2018-08-03T00:55:00Z,98.6,46.4,17.05,CLR,California
O32,2018-08-03T01:15:00Z,98.6,48.2,18.25,CLR,California
O32,2018-08-03T01:35:00Z,98.6,48.2,18.25,CLR,California
O32,2018-08-03T01:55:00Z,98.6,44.6,15.93,CLR,California
O32,2018-08-03T02:15:00Z,95,44.6,17.78,CLR,California
O32,2018-08-03T02:35:00Z,93.2,46.4,20.13,CLR,California
O32,2018-08-03T02:55:00Z,89.6,48.2,24.11,CLR,California
O32,2018-08-03T03:15:00Z,87.8,48.2,25.52,CLR,California
O32,2018-08-03T03:35:00Z,86,48.2,27.03,CLR,California
O32,2018-08-03T03:55:00Z,86,48.2,27.03,CLR,California
O32,2018-08-03T04:15:00Z,84.2,50,30.62,CLR,California
O32,2018-08-03T04:35:00Z,82.4,51.8,34.69,CLR,California
O32,2018-08-03T04:55:00Z,80.6,51.8,36.79,CLR,California
O32,2018-08-03T05:15:00Z,80.6,53.6,39.3,CLR,California
O32,2018-08-03T05:35:00Z,78.8,51.8,39.02,CLR,California
O32,2018-08-03T05:55:00Z,73.4,55.4,53.29,CLR,California
O32,2018-08-03T06:15:00Z,77,51.8,41.42,CLR,California
O32,2018-08-03T06:35:00Z,77,50,38.74,CLR,California
O32,2018-08-03T06:55:00Z,77,51.8,41.42,CLR,California
O32,2018-08-03T07:15:00Z,73.4,51.8,46.71,CLR,California
O32,2018-08-03T07:35:00Z,73.4,51.8,46.71,CLR,California
O32,2018-08-03T07:55:00Z,73.4,51.8,46.71,SCT,California
O32,2018-08-03T08:15:00Z,71.6,51.8,49.64,BKN,California
O32,2018-08-03T08:35:00Z,73.4,51.8,46.71,OVC,California
O32,2018-08-03T08:55:00Z,69.8,53.6,56.38,BKN,California
O32,2018-08-03T09:15:00Z,69.8,53.6,56.38,SCT,California
O32,2018-08-03T09:35:00Z,71.6,53.6,53.03,FEW,California
O32,2018-08-03T09:55:00Z,69.8,53.6,56.38,SCT,California
O32,2018-08-03T10:15:00Z,68,53.6,59.97,SCT,California
O32,2018-08-03T10:35:00Z,68,53.6,59.97,FEW,California
O32,2018-08-03T10:55:00Z,66.2,53.6,63.82,CLR,California
O32,2018-08-03T11:15:00Z,68,55.4,64.04,CLR,California
O32,2018-08-03T11:35:00Z,68,55.4,64.04,CLR,California
O32,2018-08-03T11:55:00Z,68,55.4,64.04,CLR,California
O32,2018-08-03T12:15:00Z,66.2,55.4,68.15,CLR,California
O32,2018-08-03T12:35:00Z,64.4,55.4,72.56,CLR,California
O32,2018-08-03T12:55:00Z,66.2,55.4,68.15,CLR,California
O32,2018-08-03T13:15:00Z,64.4,55.4,72.56,CLR,California
O32,2018-08-03T13:35:00Z,64.4,53.6,67.95,CLR,California
O32,2018-08-03T13:55:00Z,66.2,53.6,63.82,CLR,California
O32,2018-08-03T14:15:00Z,68,55.4,64.04,CLR,California
O32,2018-08-03T14:35:00Z,71.6,55.4,56.63,CLR,California
O32,2018-08-03T14:55:00Z,71.6,57.2,60.44,CLR,California
O32,2018-08-03T15:15:00Z,71.6,57.2,60.44,CLR,California
O32,2018-08-03T15:35:00Z,73.4,55.4,53.29,CLR,California
O32,2018-08-03T15:55:00Z,75.2,53.6,46.98,CLR,California
O32,2018-08-03T16:15:00Z,77,53.6,44.25,CLR,California
O32,2018-08-03T16:35:00Z,78.8,53.6,41.69,CLR,California
O32,2018-08-03T16:55:00Z,80.6,51.8,36.79,CLR,California
O32,2018-08-03T17:15:00Z,84.2,50,30.62,CLR,California
O32,2018-08-03T17:35:00Z,84.2,50,30.62,CLR,California
O32,2018-08-03T17:55:00Z,86,51.8,30.9,CLR,California
O32,2018-08-03T18:15:00Z,84.2,55.4,37.35,CLR,California
O32,2018-08-03T18:35:00Z,86,55.4,35.25,CLR,California
O32,2018-08-03T18:55:00Z,87.8,55.4,33.29,CLR,California
O32,2018-08-03T19:15:00Z,89.6,55.4,31.45,CLR,California
O32,2018-08-03T19:35:00Z,89.6,53.6,29.45,CLR,California
O32,2018-08-03T19:55:00Z,91.4,55.4,29.72,CLR,California
O32,2018-08-03T20:15:00Z,93.2,55.4,28.1,CLR,California
O32,2018-08-03T20:35:00Z,93.2,53.6,26.31,CLR,California
O32,2018-08-03T20:55:00Z,95,53.6,24.89,CLR,California
O32,2018-08-03T21:15:00Z,96.8,53.6,23.55,CLR,California
O32,2018-08-03T21:35:00Z,98.6,51.8,20.87,CLR,California
O32,2018-08-03T21:55:00Z,98.6,50,19.52,CLR,California
O32,2018-08-03T22:15:00Z,100.4,48.2,17.28,CLR,California
O32,2018-08-03T22:35:00Z,100.4,50,18.48,CLR,California
O32,2018-08-03T22:55:00Z,100.4,50,18.48,CLR,California
O32,2018-08-03T23:15:00Z,100.4,53.6,21.11,CLR,California
O32,2018-08-03T23:35:00Z,100.4,51.8,19.76,CLR,California
O32,2018-08-03T23:55:00Z,100.4,48.2,17.28,CLR,California
O32,2018-08-04T00:15:00Z,100.4,46.4,16.15,CLR,California
O32,2018-08-04T00:35:00Z,100.4,46.4,16.15,CLR,California
O32,2018-08-04T00:55:00Z,98.6,42.8,14.87,CLR,California
O32,2018-08-04T01:15:00Z,98.6,41,13.87,CLR,California
O32,2018-08-04T01:35:00Z,98.6,42.8,14.87,CLR,California
O32,2018-08-04T01:55:00Z,95,46.4,19.04,CLR,California
O32,2018-08-04T02:15:00Z,91.4,48.2,22.78,CLR,California
O32,2018-08-04T02:35:00Z,89.6,48.2,24.11,CLR,California
O32,2018-08-04T02:55:00Z,87.8,48.2,25.52,CLR,California
O32,2018-08-04T03:15:00Z,86,46.4,25.26,CLR,California
O32,2018-08-04T03:35:00Z,82.4,48.2,30.35,CLR,California
O32,2018-08-04T03:55:00Z,82.4,48.2,30.35,CLR,California
O32,2018-08-04T04:15:00Z,82.4,48.2,30.35,CLR,California
O32,2018-08-04T04:35:00Z,80.6,48.2,32.18,CLR,California
O32,2018-08-04T04:55:00Z,80.6,50,34.41,CLR,California
O32,2018-08-04T05:15:00Z,78.8,50,36.51,CLR,California
O32,2018-08-04T05:35:00Z,77,51.8,41.42,CLR,California
O32,2018-08-04T05:55:00Z,71.6,53.6,53.03,CLR,California
O32,2018-08-04T06:15:00Z,73.4,53.6,49.9,CLR,California
O32,2018-08-04T06:35:00Z,77,50,38.74,CLR,California
O32,2018-08-04T06:55:00Z,75.2,50,41.14,SCT,California
O32,2018-08-04T07:15:00Z,71.6,51.8,49.64,SCT,California
O32,2018-08-04T07:35:00Z,71.6,51.8,49.64,BKN,California
O32,2018-08-04T07:55:00Z,73.4,50,43.69,OVC,California
O32,2018-08-04T08:15:00Z,71.6,51.8,49.64,OVC,California
O32,2018-08-04T08:35:00Z,71.6,51.8,49.64,OVC,California
O32,2018-08-04T08:55:00Z,69.8,51.8,52.77,OVC,California
O32,2018-08-04T09:15:00Z,68,50,52.51,OVC,California
O32,2018-08-04T09:35:00Z,68,51.8,56.13,OVC,California
O32,2018-08-04T09:55:00Z,68,51.8,56.13,OVC,California
O32,2018-08-04T10:15:00Z,66.2,53.6,63.82,OVC,California
O32,2018-08-04T10:35:00Z,64.4,53.6,67.95,OVC,California
O32,2018-08-04T10:55:00Z,66.2,51.8,59.74,BKN,California
O32,2018-08-04T11:15:00Z,64.4,50,59.5,FEW,California
O32,2018-08-04T11:35:00Z,64.4,51.8,63.6,FEW,California
O32,2018-08-04T11:55:00Z,66.2,53.6,63.82,SCT,California
O32,2018-08-04T12:15:00Z,64.4,53.6,67.95,OVC,California
O32,2018-08-04T12:35:00Z,64.4,55.4,72.56,BKN,California
O32,2018-08-04T12:55:00Z,64.4,55.4,72.56,FEW,California
O32,2018-08-04T13:15:00Z,66.2,55.4,68.15,CLR,California
O32,2018-08-04T13:35:00Z,62.6,55.4,77.29,CLR,California
