station,valid,tmpf,dwpf,relh,skyc1,state
PAO,2018-01-01T00:47:00Z,55.4,50,81.99,BKN,California
PAO,2018-01-01T01:47:00Z,53.6,48.2,81.87,BKN,California
PAO,2018-01-01T02:47:00Z,50,46.4,87.37,BKN,California
PAO,2018-01-01T03:47:00Z,48.2,46.4,93.45,FEW,California
PAO,2018-01-01T04:47:00Z,46.4,44.6,93.4,CLR,California
PAO,2018-01-01T14:47:00Z,41,41,100,SCT,California
PAO,2018-01-01T15:47:00Z,39.2,39.2,100,FEW,California
PAO,2018-01-01T16:47:00Z,46.4,46.4,100,FEW,California
PAO,2018-01-01T18:47:00Z,51.8,48.2,87.47,SCT,California
PAO,2018-01-01T19:47:00Z,55.4,50,81.99,SCT,California
PAO,2018-01-01T20:47:00Z,59,50,72.01,SCT,California
PAO,2018-01-01T21:47:00Z,62.6,53.6,72.38,SCT,California
PAO,2018-01-01T22:47:00Z,57.2,51.8,82.12,BKN,California
PAO,2018-01-01T23:47:00Z,59,51.8,76.98,BKN,California
PAO,2018-01-02T00:47:00Z,53.6,50,87.56,BKN,California
PAO,2018-01-02T01:47:00Z,50,48.2,93.5,BKN,California
PAO,2018-01-02T02:47:00Z,50,48.2,93.5,FEW,California
PAO,2018-01-02T03:47:00Z,50,48.2,93.5,FEW,California
PAO,2018-01-02T04:47:00Z,48.2,48.2,100,FEW,California
PAO,2018-01-02T14:47:00Z,48.2,46.4,93.45,BKN,California
PAO,2018-01-02T15:47:00Z,46.4,44.6,93.4,BKN,California
PAO,2018-01-02T16:47:00Z,48.2,46.4,93.45,BKN,California
PAO,2018-01-02T17:47:00Z,51.8,48.2,87.47,BKN,California
PAO,2018-01-02T18:47:00Z,57.2,51.8,82.12,BKN,California
PAO,2018-01-02T19:47:00Z,55.4,51.8,87.65,BKN,California
PAO,2018-01-02T21:47:00Z,57.2,50,76.82,BKN,California
PAO,2018-01-02T22:47:00Z,57.2,50,76.82,OVC,California
PAO,2018-01-02T23:47:00Z,55.4,50,81.99,OVC,California
PAO,2018-01-03T00:47:00Z,55.4,48.2,76.66,OVC,California
PAO,2018-01-03T02:47:00Z,51.8,46.4,81.74,OVC,California
PAO,2018-01-03T03:47:00Z,51.8,48.2,87.47,OVC,California
PAO,2018-01-03T04:47:00Z,50,48.2,93.5,OVC,California
PAO,2018-01-03T14:47:00Z,48.2,46.4,93.45,BKN,California
PAO,2018-01-03T15:47:00Z,48.2,46.4,93.45,BKN,California
PAO,2018-01-03T16:47:00Z,50,46.4,87.37,BKN,California
PAO,2018-01-03T18:47:00Z,53.6,50,87.56,BKN,California
PAO,2018-01-03T19:47:00Z,53.6,50,87.56,OVC,California
PAO,2018-01-03T20:47:00Z,53.6,50,87.56,OVC,California
PAO,2018-01-03T21:47:00Z,53.6,51.8,93.6,OVC,California
PAO,2018-01-03T22:32:00Z,51.8,51.8,100,OVC,California
PAO,2018-01-03T22:47:00Z,51.8,51.8,100,OVC,California
PAO,2018-01-03T23:47:00Z,53.6,51.8,93.6,FEW,California
PAO,2018-01-04T00:47:00Z,53.6,51.8,93.6,NA,California
PAO,2018-01-04T01:47:00Z,53.6,51.8,93.6,NA,California
PAO,2018-01-04T02:47:00Z,51.8,51.8,100,NA,California
PAO,2018-01-04T03:47:00Z,53.6,53.6,100,NA,California
PAO,2018-01-04T04:47:00Z,51.8,53.6,106.84,NA,California
PAO,2018-01-04T14:47:00Z,53.6,53.6,100,BKN,California
PAO,2018-01-04T15:47:00Z,51.8,51.8,100,FEW,California
PAO,2018-01-04T16:47:00Z,57.2,55.4,93.69,FEW,California
PAO,2018-01-04T17:47:00Z,59,55.4,87.83,FEW,California
PAO,2018-01-04T18:47:00Z,64.4,59,82.62,BKN,California
PAO,2018-01-04T19:47:00Z,64.4,55.4,72.56,BKN,California
PAO,2018-01-04T21:47:00Z,66.2,57.2,72.74,BKN,California
PAO,2018-01-04T22:47:00Z,66.2,57.2,72.74,BKN,California
PAO,2018-01-04T23:47:00Z,66.2,57.2,72.74,BKN,California
PAO,2018-01-05T01:47:00Z,62.6,57.2,82.5,BKN,California
PAO,2018-01-05T03:47:00Z,59,57.2,93.74,BKN,California
PAO,2018-01-05T04:47:00Z,57.2,57.2,100,BKN,California
PAO,2018-01-05T14:47:00Z,59,57.2,93.74,BKN,California
PAO,2018-01-05T15:47:00Z,59,57.2,93.74,BKN,California
PAO,2018-01-05T18:47:00Z,64.4,59,82.62,OVC,California
PAO,2018-01-05T21:47:00Z,60.8,59,93.79,BKN,California
PAO,2018-01-05T22:47:00Z,57.2,57.2,100,FEW,California
PAO,2018-01-05T23:47:00Z,57.2,57.2,100,BKN,California
PAO,2018-01-06T00:47:00Z,57.2,55.4,93.69,BKN,California
PAO,2018-01-06T01:47:00Z,55.4,55.4,100,NA,California
