station,valid,tmpf,dwpf,relh,skyc1,state
RIV,2018-01-01T00:58:00Z,61.3,27.1,27.06,CLR,California
RIV,2018-01-01T01:58:00Z,57.2,28.4,33.05,CLR,California
RIV,2018-01-01T02:58:00Z,49.8,28.8,44.06,CLR,California
RIV,2018-01-01T03:58:00Z,48.4,34.3,57.98,CLR,California
RIV,2018-01-01T04:58:00Z,47.8,37.8,68.11,CLR,California
RIV,2018-01-01T05:58:00Z,41.2,34.2,75.96,CLR,California
RIV,2018-01-01T06:58:00Z,39.6,34.9,83.11,CLR,California
RIV,2018-01-01T07:58:00Z,39.9,37.2,89.97,CLR,California
RIV,2018-01-01T08:58:00Z,35.2,31.5,86.22,CLR,California
RIV,2018-01-01T09:58:00Z,37.6,33.4,84.65,CLR,California
RIV,2018-01-01T10:58:00Z,35.2,31.8,87.27,CLR,California
RIV,2018-01-01T11:58:00Z,36.7,32.4,84.25,CLR,California
RIV,2018-01-01T12:58:00Z,31.6,26.2,80.19,CLR,California
RIV,2018-01-01T13:58:00Z,34.5,28.9,79.77,CLR,California
RIV,2018-01-01T14:58:00Z,33.8,27.7,78.09,CLR,California
RIV,2018-01-01T15:58:00Z,41.5,30.7,65.22,CLR,California
RIV,2018-01-01T16:58:00Z,48.9,31.1,50.04,CLR,California
RIV,2018-01-01T17:58:00Z,56.7,28.6,33.93,CLR,California
RIV,2018-01-01T18:58:00Z,64.9,26.2,22.98,CLR,California
RIV,2018-01-01T19:58:00Z,71.8,21.6,14.95,CLR,California
RIV,2018-01-01T20:58:00Z,76.6,18.1,10.96,CLR,California
RIV,2018-01-01T21:58:00Z,75.7,19.6,12.05,CLR,California
RIV,2018-01-01T22:58:00Z,76.8,18.3,10.98,CLR,California
RIV,2018-01-01T23:58:00Z,75.2,12.4,8.96,CLR,California
RIV,2018-01-02T00:58:00Z,70,24.4,17.88,BKN,California
RIV,2018-01-02T01:58:00Z,61.7,29.1,28.97,FEW,California
RIV,2018-01-02T02:58:00Z,53.4,28.4,37.95,CLR,California
RIV,2018-01-02T03:58:00Z,51.6,34.2,51.27,CLR,California
RIV,2018-01-02T04:58:00Z,48.7,32.9,54.21,CLR,California
RIV,2018-01-02T05:58:00Z,49.3,37.9,64.64,CLR,California
RIV,2018-01-02T06:58:00Z,43.7,33.4,66.82,CLR,California
RIV,2018-01-02T07:58:00Z,44.1,35.6,71.84,CLR,California
RIV,2018-01-02T08:58:00Z,43.9,34,67.92,BKN,California
RIV,2018-01-02T09:58:00Z,46,38.3,74.34,CLR,California
RIV,2018-01-02T10:58:00Z,45.3,33.8,63.88,CLR,California
RIV,2018-01-02T11:58:00Z,43.9,30.6,59.23,CLR,California
RIV,2018-01-02T12:58:00Z,46.4,34.9,64.02,FEW,California
RIV,2018-01-02T13:58:00Z,43.7,32.4,64.19,SCT,California
RIV,2018-01-02T14:58:00Z,47.8,36.3,64.2,SCT,California
RIV,2018-01-02T15:58:00Z,48,34.9,60.28,CLR,California
RIV,2018-01-02T16:58:00Z,54.9,35.1,47.08,CLR,California
RIV,2018-01-02T17:58:00Z,62.2,32,32.01,FEW,California
RIV,2018-01-02T18:58:00Z,73.2,17.6,12.02,CLR,California
RIV,2018-01-02T19:58:00Z,78.6,12.4,8,CLR,California
RIV,2018-01-02T20:58:00Z,79.7,10.2,7,CLR,California
RIV,2018-01-02T21:58:00Z,81.7,11.7,7.01,CLR,California
RIV,2018-01-02T22:58:00Z,81,11.1,6.98,CLR,California
RIV,2018-01-02T23:58:00Z,78.1,12,7.99,CLR,California
RIV,2018-01-03T00:58:00Z,70.5,13.5,11.02,CLR,California
RIV,2018-01-03T01:58:00Z,72.5,14.9,10.95,CLR,California
RIV,2018-01-03T02:58:00Z,60.1,15.1,16.98,CLR,California
RIV,2018-01-03T03:58:00Z,61.5,16.3,17.02,CLR,California
RIV,2018-01-03T04:58:00Z,58.6,18.9,21.11,CLR,California
RIV,2018-01-03T05:58:00Z,55.4,17.2,22.02,CLR,California
RIV,2018-01-03T06:58:00Z,55.4,18.1,22.89,CLR,California
RIV,2018-01-03T07:58:00Z,50.9,18.9,27.95,CLR,California
RIV,2018-01-03T08:58:00Z,64,18.3,16.99,CLR,California
RIV,2018-01-03T09:58:00Z,59.7,18.5,19.95,CLR,California
RIV,2018-01-03T10:58:00Z,46.6,17.6,31.04,CLR,California
RIV,2018-01-03T11:58:00Z,45.5,18.1,33.06,CLR,California
RIV,2018-01-03T12:58:00Z,48,18,29.96,BKN,California
RIV,2018-01-03T13:58:00Z,52.3,19.4,27.11,BKN,California
RIV,2018-01-03T14:58:00Z,53.4,20.3,27.06,FEW,California
RIV,2018-01-03T15:58:00Z,51.1,21.6,31.12,CLR,California
RIV,2018-01-03T16:58:00Z,60.6,21.6,22.05,FEW,California
RIV,2018-01-03T17:58:00Z,68.5,17.4,13.98,SCT,California
RIV,2018-01-03T18:58:00Z,69.3,19.6,14.95,SCT,California
