station,valid,tmpf,dwpf,relh,skyc1,state
SBD,2018-01-01T00:50:00Z,68,24.8,19.47,SCT,California
SBD,2018-01-01T01:50:00Z,64.4,26.6,23.77,FEW,California
SBD,2018-01-01T02:50:00Z,55.4,24.8,30.4,FEW,California
SBD,2018-01-01T03:50:00Z,55.4,26.6,32.76,FEW,California
SBD,2018-01-01T04:50:00Z,51.8,28.4,40.25,FEW,California
SBD,2018-01-01T05:40:00Z,52,24.1,33.44,CLR,California
SBD,2018-01-01T06:00:00Z,50.9,24.8,35.86,CLR,California
SBD,2018-01-01T06:20:00Z,50.2,25.7,38.21,CLR,California
SBD,2018-01-01T06:40:00Z,49.8,25.9,39.1,CLR,California
SBD,2018-01-01T07:00:00Z,50.5,25.7,37.78,CLR,California
SBD,2018-01-01T07:20:00Z,48.4,26.1,41.54,CLR,California
SBD,2018-01-01T07:40:00Z,48.7,25.3,39.74,CLR,California
SBD,2018-01-01T08:00:00Z,45.5,22.5,39.87,CLR,California
SBD,2018-01-01T08:20:00Z,46.8,24.1,40.6,CLR,California
SBD,2018-01-01T08:40:00Z,47.1,27.5,46.22,CLR,California
SBD,2018-01-01T09:00:00Z,44.6,24.6,45.06,CLR,California
SBD,2018-01-01T09:20:00Z,46.8,23.7,39.92,CLR,California
SBD,2018-01-01T09:40:00Z,46.8,28,47.72,CLR,California
SBD,2018-01-01T10:00:00Z,44.4,25.3,46.75,CLR,California
SBD,2018-01-01T10:20:00Z,45.5,25.9,45.96,CLR,California
SBD,2018-01-01T10:40:00Z,45.1,25,44.95,CLR,California
SBD,2018-01-01T11:00:00Z,45.5,22.8,40.38,CLR,California
SBD,2018-01-01T11:20:00Z,45.9,24.6,42.89,CLR,California
SBD,2018-01-01T11:40:00Z,43.3,22.6,43.55,CLR,California
SBD,2018-01-01T12:00:00Z,40.6,21.6,46.32,CLR,California
SBD,2018-01-01T12:20:00Z,45.5,26.6,47.31,CLR,California
SBD,2018-01-01T12:40:00Z,41.9,23.2,47.13,CLR,California
SBD,2018-01-01T13:00:00Z,40.5,21.7,46.7,CLR,California
SBD,2018-01-01T13:20:00Z,40.1,21.7,47.43,CLR,California
SBD,2018-01-01T13:40:00Z,41.9,21.9,44.62,CLR,California
SBD,2018-01-01T15:00:00Z,41,23,48.39,SCT,California
SBD,2018-01-01T16:46:00Z,53.6,23,30.11,SCT,California
SBD,2018-01-01T17:47:00Z,60.8,21.2,21.53,SCT,California
SBD,2018-01-01T18:48:00Z,68,21.2,16.74,SCT,California
SBD,2018-01-01T19:50:00Z,73.4,19.4,12.9,FEW,California
SBD,2018-01-01T20:50:00Z,73.4,21.2,13.93,FEW,California
SBD,2018-01-01T21:51:00Z,75.2,21.2,13.11,FEW,California
SBD,2018-01-01T22:48:00Z,77,21.2,12.35,FEW,California
SBD,2018-01-01T23:45:00Z,77,21.2,12.35,SCT,California
SBD,2018-01-02T00:50:00Z,71.6,26.6,18.55,OVC,California
SBD,2018-01-02T01:50:00Z,68,26.6,20.98,BKN,California
SBD,2018-01-02T02:50:00Z,64.4,28.4,25.6,BKN,California
SBD,2018-01-02T03:50:00Z,60.8,35.6,38.85,OVC,California
SBD,2018-01-02T04:50:00Z,59,33.8,38.56,OVC,California
SBD,2018-01-02T05:40:00Z,55.6,35.1,45.9,CLR,California
SBD,2018-01-02T06:00:00Z,54.3,32.7,43.72,CLR,California
SBD,2018-01-02T06:20:00Z,52.7,32.5,45.99,CLR,California
SBD,2018-01-02T06:40:00Z,54.3,32.4,43.2,CLR,California
SBD,2018-01-02T07:00:00Z,54.9,32.5,42.43,CLR,California
SBD,2018-01-02T07:20:00Z,55.2,32.7,42.31,CLR,California
SBD,2018-01-02T07:40:00Z,50.4,31.6,48.29,CLR,California
SBD,2018-01-02T08:00:00Z,51.4,30.7,44.86,CLR,California
SBD,2018-01-02T08:20:00Z,51.8,30.4,43.67,CLR,California
SBD,2018-01-02T08:40:00Z,52.2,30.6,43.38,CLR,California
SBD,2018-01-02T09:00:00Z,50.5,30.4,45.82,CLR,California
SBD,2018-01-02T09:20:00Z,50.5,29.1,43.46,CLR,California
