station,valid,tmpf,dwpf,relh,skyc1,state
SDB,2018-01-01T00:53:00Z,59,14,16.83,CLR,California
SDB,2018-01-01T01:53:00Z,57.9,17.1,20.03,CLR,California
SDB,2018-01-01T02:53:00Z,57,9,14.48,CLR,California
SDB,2018-01-01T03:53:00Z,57,9,14.48,CLR,California
SDB,2018-01-01T04:53:00Z,57.9,10.9,15.27,CLR,California
SDB,2018-01-01T05:53:00Z,57.9,12,16.03,CLR,California
SDB,2018-01-01T06:53:00Z,57.9,10.9,15.27,CLR,California
SDB,2018-01-01T07:53:00Z,60.1,10.9,14.11,CLR,California
SDB,2018-01-01T08:53:00Z,55.9,9,15.07,CLR,California
SDB,2018-01-01T09:53:00Z,54,12,18.46,CLR,California
SDB,2018-01-01T10:53:00Z,54,12,18.46,CLR,California
SDB,2018-01-01T11:53:00Z,54,10.9,17.58,CLR,California
SDB,2018-01-01T12:53:00Z,53.1,10.9,18.17,CLR,California
SDB,2018-01-01T14:53:00Z,52,9,17.38,CLR,California
SDB,2018-01-01T15:53:00Z,55,9,15.57,CLR,California
SDB,2018-01-01T17:53:00Z,61,10.9,13.67,CLR,California
SDB,2018-01-01T18:53:00Z,63,10.9,12.73,CLR,California
SDB,2018-01-01T19:53:00Z,64,8.1,10.85,CLR,California
SDB,2018-01-01T20:53:00Z,64.9,8.1,10.51,CLR,California
SDB,2018-01-01T21:53:00Z,66,7,9.62,CLR,California
SDB,2018-01-01T22:53:00Z,64,8.1,10.85,CLR,California
SDB,2018-01-01T23:53:00Z,60.1,6.1,11.37,CLR,California
SDB,2018-01-02T00:53:00Z,60.1,7,11.84,CLR,California
SDB,2018-01-02T01:53:00Z,59,6.1,11.82,CLR,California
SDB,2018-01-02T02:53:00Z,57.9,6.1,12.3,CLR,California
SDB,2018-01-02T03:53:00Z,57.9,6.1,12.3,CLR,California
SDB,2018-01-02T04:53:00Z,57.9,5,11.7,CLR,California
SDB,2018-01-02T05:53:00Z,57.9,6.1,12.3,CLR,California
SDB,2018-01-02T06:53:00Z,57.9,6.1,12.3,CLR,California
SDB,2018-01-02T07:53:00Z,57,6.1,12.7,CLR,California
SDB,2018-01-02T08:53:00Z,57.9,6.1,12.3,CLR,California
SDB,2018-01-02T09:53:00Z,57.9,6.1,12.3,CLR,California
SDB,2018-01-02T10:53:00Z,59,5,11.24,CLR,California
SDB,2018-01-02T11:53:00Z,57.9,5,11.7,CLR,California
SDB,2018-01-02T12:53:00Z,57.9,5,11.7,CLR,California
