station,valid,tmpf,dwpf,relh,skyc1,state
SLI,2018-01-01T00:58:00Z,57.7,53.6,86.17,CLR,California
SLI,2018-01-01T01:58:00Z,53.6,52.2,94.99,CLR,California
SLI,2018-01-01T02:58:00Z,55.8,52.3,87.99,CLR,California
SLI,2018-01-01T03:58:00Z,54,52.3,93.95,CLR,California
SLI,2018-01-01T04:43:00Z,51.8,50,93.55,CLR,California
SLI,2018-01-01T04:48:00Z,51.8,51.8,100,CLR,California
SLI,2018-01-01T04:53:00Z,51.8,51.8,100,CLR,California
SLI,2018-01-01T04:58:00Z,51.8,51.3,98.17,CLR,California
SLI,2018-01-01T05:03:00Z,51.8,51.8,100,CLR,California
SLI,2018-01-01T05:08:00Z,51.8,51.8,100,CLR,California
SLI,2018-01-01T05:13:00Z,51.8,51.8,100,CLR,California
SLI,2018-01-01T05:23:00Z,51.8,50,93.55,CLR,California
SLI,2018-01-01T05:28:00Z,50,50,100,CLR,California
SLI,2018-01-01T05:43:00Z,50,50,100,CLR,California
SLI,2018-01-01T05:58:00Z,49.5,49.5,100,CLR,California
SLI,2018-01-01T06:03:00Z,50,50,100,CLR,California
SLI,2018-01-01T06:18:00Z,48.2,48.2,100,CLR,California
SLI,2018-01-01T06:28:00Z,50,50,100,CLR,California
SLI,2018-01-01T06:33:00Z,48.2,48.2,100,CLR,California
SLI,2018-01-01T06:48:00Z,50,50,100,CLR,California
SLI,2018-01-01T06:53:00Z,48.2,48.2,100,CLR,California
SLI,2018-01-01T06:58:00Z,48.2,48.2,100,CLR,California
SLI,2018-01-01T07:13:00Z,48.2,48.2,100,CLR,California
SLI,2018-01-01T07:18:00Z,50,50,100,CLR,California
SLI,2018-01-01T07:23:00Z,50,50,100,CLR,California
SLI,2018-01-01T07:33:00Z,48.2,48.2,100,CLR,California
SLI,2018-01-01T07:38:00Z,48.2,48.2,100,CLR,California
SLI,2018-01-01T07:48:00Z,48.2,48.2,100,CLR,California
SLI,2018-01-01T07:53:00Z,48.2,48.2,100,CLR,California
SLI,2018-01-01T07:58:00Z,46.9,46.9,100,CLR,California
SLI,2018-01-01T08:03:00Z,44.6,44.6,100,CLR,California
SLI,2018-01-01T08:08:00Z,46.4,46.4,100,CLR,California
SLI,2018-01-01T08:23:00Z,46.4,46.4,100,CLR,California
SLI,2018-01-01T08:38:00Z,44.6,44.6,100,CLR,California
SLI,2018-01-01T08:53:00Z,46.4,46.4,100,CLR,California
SLI,2018-01-01T08:58:00Z,46.2,46.2,100,CLR,California
SLI,2018-01-01T09:13:00Z,42.8,42.8,100,CLR,California
SLI,2018-01-01T09:38:00Z,42.8,42.8,100,CLR,California
SLI,2018-01-01T09:58:00Z,42.8,42.8,100,CLR,California
SLI,2018-01-01T10:04:00Z,44.6,44.6,100,CLR,California
SLI,2018-01-01T10:16:00Z,42.8,42.8,100,CLR,California
SLI,2018-01-01T10:26:00Z,44.6,44.6,100,CLR,California
SLI,2018-01-01T10:41:00Z,46.4,46.4,100,CLR,California
SLI,2018-01-01T10:46:00Z,46.4,46.4,100,CLR,California
SLI,2018-01-01T10:51:00Z,44.6,44.6,100,CLR,California
SLI,2018-01-01T10:58:00Z,43.5,43.5,100,CLR,California
SLI,2018-01-01T11:03:00Z,44.6,44.6,100,CLR,California
SLI,2018-01-01T11:08:00Z,44.6,44.6,100,CLR,California
SLI,2018-01-01T11:23:00Z,42.8,42.8,100,CLR,California
SLI,2018-01-01T11:28:00Z,42.8,42.8,100,CLR,California
SLI,2018-01-01T11:38:00Z,42.8,42.8,100,CLR,California
SLI,2018-01-01T11:43:00Z,42.8,42.8,100,CLR,California
SLI,2018-01-01T11:58:00Z,42.4,42.4,100,CLR,California
