station,valid,tmpf,dwpf,relh,skyc1,state
SUU,2018-01-01T00:58:00Z,54.5,40.8,59.75,OVC,California
SUU,2018-01-01T01:58:00Z,50,41,71.07,OVC,California
SUU,2018-01-01T02:58:00Z,49.6,44.4,82.2,OVC,California
SUU,2018-01-01T03:58:00Z,48.9,47.8,95.96,BKN,California
SUU,2018-01-01T04:58:00Z,45,43.9,95.89,BKN,California
SUU,2018-01-01T05:23:00Z,46.4,42.8,87.19,BKN,California
SUU,2018-01-01T05:32:00Z,44.6,44.6,100,SCT,California
SUU,2018-01-01T05:58:00Z,42.6,41.5,95.85,CLR,California
SUU,2018-01-01T06:58:00Z,39.4,38.7,97.3,FEW,California
SUU,2018-01-01T07:58:00Z,46.2,45.1,95.91,BKN,California
SUU,2018-01-01T08:58:00Z,46.4,45.3,95.92,OVC,California
SUU,2018-01-01T09:58:00Z,47.1,46,95.93,SCT,California
SUU,2018-01-01T10:58:00Z,39.4,38.3,95.79,CLR,California
SUU,2018-01-01T11:58:00Z,38.3,37.6,97.29,BKN,California
SUU,2018-01-01T12:58:00Z,41,39.9,95.82,OVC,California
SUU,2018-01-01T13:58:00Z,41.7,41,97.33,OVC,California
SUU,2018-01-01T14:58:00Z,39.2,38.5,97.3,SCT,California
SUU,2018-01-01T15:58:00Z,36.5,35.8,97.27,CLR,California
SUU,2018-01-01T16:58:00Z,48.6,47.7,96.68,CLR,California
SUU,2018-01-01T17:58:00Z,53.6,43,67.21,CLR,California
SUU,2018-01-01T18:58:00Z,57.9,43.2,57.95,CLR,California
SUU,2018-01-01T19:58:00Z,60.8,42.1,50.08,CLR,California
SUU,2018-01-01T20:58:00Z,61.7,41.7,47.77,CLR,California
SUU,2018-01-01T21:58:00Z,63.9,41.5,43.87,CLR,California
SUU,2018-01-01T22:58:00Z,65.1,40.8,40.95,CLR,California
SUU,2018-01-01T23:58:00Z,62.1,41,45.84,CLR,California
SUU,2018-01-02T00:58:00Z,55,40.5,57.99,CLR,California
SUU,2018-01-02T01:58:00Z,44.8,37.9,76.59,CLR,California
SUU,2018-01-02T02:58:00Z,43.3,38.8,84.02,CLR,California
SUU,2018-01-02T03:58:00Z,41.7,38.1,86.93,CLR,California
SUU,2018-01-02T04:58:00Z,42.8,39.2,86.99,CLR,California
SUU,2018-01-02T05:58:00Z,43.7,39.7,85.7,CLR,California
SUU,2018-01-02T06:58:00Z,41.5,39.7,93.26,CLR,California
SUU,2018-01-02T07:58:00Z,40.6,39,93.96,CLR,California
SUU,2018-01-02T08:58:00Z,40.5,39.4,95.81,CLR,California
SUU,2018-01-02T09:58:00Z,39.7,37.9,93.21,CLR,California
SUU,2018-01-02T10:58:00Z,39.2,38.1,95.79,CLR,California
SUU,2018-01-02T11:58:00Z,39,37.9,95.78,OVC,California
SUU,2018-01-02T12:58:00Z,40.3,39.2,95.81,BKN,California
SUU,2018-01-02T13:58:00Z,40.5,39.4,95.81,CLR,California
SUU,2018-01-02T14:58:00Z,41.4,40.3,95.83,CLR,California
SUU,2018-01-02T15:58:00Z,37.9,36.9,96.14,CLR,California
SUU,2018-01-02T16:58:00Z,43.7,41.7,92.6,CLR,California
SUU,2018-01-02T17:58:00Z,51.3,40.6,66.68,CLR,California
SUU,2018-01-02T18:58:00Z,55,42.6,62.89,FEW,California
SUU,2018-01-02T19:58:00Z,57.6,42.4,56.8,FEW,California
SUU,2018-01-02T20:58:00Z,59.9,42.3,52.11,CLR,California
SUU,2018-01-02T21:58:00Z,59.9,43.2,53.95,CLR,California
SUU,2018-01-02T22:58:00Z,59.2,44.4,57.91,CLR,California
SUU,2018-01-02T23:58:00Z,57.4,45.3,63.92,CLR,California
SUU,2018-01-03T00:58:00Z,54.7,45.5,71.03,CLR,California
SUU,2018-01-03T01:58:00Z,49.6,44.4,82.2,SCT,California
SUU,2018-01-03T02:58:00Z,48.9,44.2,83.74,OVC,California
SUU,2018-01-03T03:58:00Z,47.1,45,92.36,CLR,California
SUU,2018-01-03T04:58:00Z,44.4,43.3,95.88,BKN,California
