station,valid,tmpf,dwpf,relh,skyc1,state
TCY,2018-11-05T19:35:00Z,73.4,35.6,25.13,CLR,California
TCY,2018-11-05T19:55:00Z,75.2,35.6,23.66,CLR,California
TCY,2018-11-05T20:15:00Z,75.2,33.8,22.02,CLR,California
TCY,2018-11-05T20:35:00Z,77,32,19.3,CLR,California
TCY,2018-11-05T20:55:00Z,77,30.2,17.94,CLR,California
TCY,2018-11-05T21:15:00Z,77,30.2,17.94,CLR,California
TCY,2018-11-05T21:35:00Z,77,28.4,16.67,CLR,California
TCY,2018-11-05T21:55:00Z,77,26.6,15.48,CLR,California
TCY,2018-11-05T22:15:00Z,77,23,13.32,CLR,California
TCY,2018-11-05T22:35:00Z,78.8,19.4,10.78,CLR,California
TCY,2018-11-05T22:55:00Z,77,19.4,11.44,CLR,California
TCY,2018-11-05T23:15:00Z,77,19.4,11.44,CLR,California
TCY,2018-11-05T23:35:00Z,77,21.2,12.35,CLR,California
TCY,2018-11-05T23:55:00Z,77,23,13.32,CLR,California
TCY,2018-11-06T00:15:00Z,75.2,23,14.15,CLR,California
TCY,2018-11-06T00:35:00Z,75.2,24.8,15.25,CLR,California
TCY,2018-11-06T00:55:00Z,73.4,26.6,17.46,CLR,California
TCY,2018-11-06T01:15:00Z,69.8,28.4,21.24,CLR,California
TCY,2018-11-06T01:35:00Z,66.2,28.4,24.04,CLR,California
TCY,2018-11-06T01:55:00Z,64.4,28.4,25.6,CLR,California
TCY,2018-11-06T02:15:00Z,64.4,26.6,23.77,CLR,California
TCY,2018-11-06T02:35:00Z,62.6,26.6,25.32,CLR,California
TCY,2018-11-06T02:55:00Z,64.4,24.8,22.06,CLR,California
TCY,2018-11-06T03:15:00Z,62.6,24.8,23.5,CLR,California
TCY,2018-11-06T03:35:00Z,60.8,23,23.23,CLR,California
TCY,2018-11-06T03:55:00Z,60.8,23,23.23,CLR,California
TCY,2018-11-06T04:15:00Z,60.8,23,23.23,SCT,California
TCY,2018-11-06T04:35:00Z,60.8,24.8,25.04,FEW,California
TCY,2018-11-06T04:55:00Z,62.6,26.6,25.32,CLR,California
TCY,2018-11-06T05:15:00Z,62.6,28.4,27.27,CLR,California
TCY,2018-11-06T05:35:00Z,62.6,30.2,29.35,CLR,California
TCY,2018-11-06T05:55:00Z,64.4,28.4,25.6,BKN,California
TCY,2018-11-06T06:15:00Z,62.6,28.4,27.27,OVC,California
TCY,2018-11-06T06:35:00Z,64.4,24.8,22.06,OVC,California
TCY,2018-11-06T06:55:00Z,62.6,26.6,25.32,BKN,California
TCY,2018-11-06T07:15:00Z,66.2,26.6,22.33,FEW,California
TCY,2018-11-06T07:35:00Z,64.4,26.6,23.77,CLR,California
TCY,2018-11-06T07:55:00Z,64.4,28.4,25.6,CLR,California
TCY,2018-11-06T08:15:00Z,64.4,28.4,25.6,CLR,California
TCY,2018-11-06T08:35:00Z,64.4,28.4,25.6,CLR,California
TCY,2018-11-06T08:55:00Z,64.4,28.4,25.6,CLR,California
TCY,2018-11-06T09:15:00Z,64.4,28.4,25.6,CLR,California
TCY,2018-11-06T09:35:00Z,64.4,28.4,25.6,CLR,California
TCY,2018-11-06T09:55:00Z,62.6,28.4,27.27,CLR,California
TCY,2018-11-06T10:15:00Z,62.6,28.4,27.27,CLR,California
TCY,2018-11-06T10:35:00Z,62.6,28.4,27.27,CLR,California
TCY,2018-11-06T10:55:00Z,62.6,28.4,27.27,CLR,California
TCY,2018-11-06T11:15:00Z,62.6,28.4,27.27,CLR,California
TCY,2018-11-06T11:35:00Z,60.8,28.4,29.06,CLR,California
TCY,2018-11-06T11:55:00Z,60.8,28.4,29.06,CLR,California
TCY,2018-11-06T12:15:00Z,60.8,28.4,29.06,CLR,California
TCY,2018-11-06T12:35:00Z,59,28.4,30.98,CLR,California
TCY,2018-11-06T12:55:00Z,57.2,28.4,33.05,CLR,California
TCY,2018-11-06T13:15:00Z,57.2,28.4,33.05,CLR,California
TCY,2018-11-06T13:35:00Z,59,26.6,28.77,CLR,California
TCY,2018-11-06T13:55:00Z,59,26.6,28.77,CLR,California
TCY,2018-11-06T14:15:00Z,59,26.6,28.77,CLR,California
TCY,2018-11-06T14:35:00Z,57.2,26.6,30.69,CLR,California
TCY,2018-11-06T14:55:00Z,57.2,26.6,30.69,CLR,California
TCY,2018-11-06T15:15:00Z,59,24.8,26.7,CLR,California
TCY,2018-11-06T15:35:00Z,60.8,24.8,25.04,CLR,California
TCY,2018-11-06T15:55:00Z,60.8,26.6,26.98,CLR,California
TCY,2018-11-06T16:15:00Z,62.6,26.6,25.32,CLR,California
