station,valid,tmpf,dwpf,relh,skyc1,state
TRK,2018-01-01T00:45:00Z,44.6,24.8,45.44,OVC,California
TRK,2018-01-01T01:15:00Z,42.8,24.8,48.67,OVC,California
TRK,2018-01-01T01:35:00Z,39.2,26.6,60.29,OVC,California
TRK,2018-01-01T01:55:00Z,41,26.6,56.22,OVC,California
TRK,2018-01-01T02:15:00Z,37.4,24.8,60.04,OVC,California
TRK,2018-01-01T02:35:00Z,37.4,26.6,64.7,OVC,California
TRK,2018-01-01T02:55:00Z,37.4,26.6,64.7,BKN,California
TRK,2018-01-01T03:15:00Z,35.6,26.6,69.46,SCT,California
TRK,2018-01-01T03:35:00Z,35.6,26.6,69.46,OVC,California
TRK,2018-01-01T03:55:00Z,37.4,24.8,60.04,OVC,California
TRK,2018-01-01T04:15:00Z,33.8,26.6,74.63,OVC,California
TRK,2018-01-01T04:35:00Z,35.6,24.8,64.46,SCT,California
TRK,2018-01-01T04:55:00Z,33.8,26.6,74.63,SCT,California
TRK,2018-01-01T05:15:00Z,35.6,24.8,64.46,OVC,California
TRK,2018-01-01T05:35:00Z,35.6,24.8,64.46,BKN,California
TRK,2018-01-01T05:55:00Z,33.8,26.6,74.63,SCT,California
TRK,2018-01-01T06:15:00Z,32,26.6,80.22,SCT,California
TRK,2018-01-01T06:35:00Z,32,24.8,74.44,CLR,California
TRK,2018-01-01T06:55:00Z,32,24.8,74.44,SCT,California
TRK,2018-01-01T07:15:00Z,32,24.8,74.44,BKN,California
TRK,2018-01-01T07:35:00Z,32,24.8,74.44,OVC,California
TRK,2018-01-01T07:55:00Z,32,24.8,74.44,OVC,California
TRK,2018-01-01T08:15:00Z,32,26.6,80.22,SCT,California
TRK,2018-01-01T08:35:00Z,30.2,26.6,86.28,SCT,California
TRK,2018-01-01T08:55:00Z,30.2,24.8,80.07,CLR,California
TRK,2018-01-01T09:15:00Z,30.2,24.8,80.07,CLR,California
TRK,2018-01-01T09:35:00Z,30.2,23,74.26,CLR,California
TRK,2018-01-01T09:55:00Z,28.4,23,79.92,CLR,California
TRK,2018-01-01T10:15:00Z,30.2,23,74.26,CLR,California
TRK,2018-01-01T10:35:00Z,28.4,23,79.92,SCT,California
TRK,2018-01-01T10:55:00Z,30.2,23,74.26,OVC,California
TRK,2018-01-01T11:15:00Z,30.2,24.8,80.07,OVC,California
TRK,2018-01-01T11:35:00Z,30.2,24.8,80.07,BKN,California
TRK,2018-01-01T11:55:00Z,30.2,26.6,86.28,SCT,California
TRK,2018-01-01T12:15:00Z,28.4,24.8,86.18,BKN,California
TRK,2018-01-01T12:35:00Z,30.2,24.8,80.07,BKN,California
TRK,2018-01-01T12:55:00Z,28.4,24.8,86.18,SCT,California
TRK,2018-01-01T13:15:00Z,28.4,24.8,86.18,SCT,California
TRK,2018-01-01T13:35:00Z,30.2,23,74.26,SCT,California
TRK,2018-01-01T14:45:00Z,26.6,23,86.07,SCT,California
TRK,2018-01-01T16:50:00Z,30.2,24.8,80.07,SCT,California
TRK,2018-01-01T17:45:00Z,35.6,24.8,64.46,OVC,California
TRK,2018-01-01T18:55:00Z,42.8,24.8,48.67,OVC,California
TRK,2018-01-01T19:55:00Z,50,21.2,31.87,SCT,California
TRK,2018-01-01T20:45:00Z,51.8,23,32.17,FEW,California
TRK,2018-01-01T21:45:00Z,55.4,24.8,30.4,FEW,California
TRK,2018-01-01T22:45:00Z,57.2,24.8,28.48,CLR,California
TRK,2018-01-01T23:45:00Z,55.4,26.6,32.76,CLR,California
TRK,2018-01-02T01:15:00Z,35.6,28.4,74.8,CLR,California
TRK,2018-01-02T01:35:00Z,33.8,28.4,80.36,CLR,California
TRK,2018-01-02T01:55:00Z,35.6,30.2,80.51,CLR,California
TRK,2018-01-02T02:15:00Z,32,28.4,86.39,CLR,California
TRK,2018-01-02T02:35:00Z,32,28.4,86.39,CLR,California
TRK,2018-01-02T02:55:00Z,32,28.4,86.39,CLR,California
TRK,2018-01-02T03:10:00Z,32,28.4,86.39,CLR,California
