station,valid,tmpf,dwpf,relh,skyc1,state
VBG,2018-01-01T00:48:00Z,55.4,50,81.99,BKN,California
VBG,2018-01-01T00:53:00Z,55.4,50,81.99,SCT,California
VBG,2018-01-01T00:58:00Z,55.4,48.9,78.7,SCT,California
VBG,2018-01-01T01:58:00Z,49.8,45.5,85.08,CLR,California
VBG,2018-01-01T02:58:00Z,46.6,43.3,88.2,CLR,California
VBG,2018-01-01T03:58:00Z,45.1,42.4,90.19,CLR,California
VBG,2018-01-01T04:58:00Z,44.6,42.3,91.57,CLR,California
VBG,2018-01-01T05:58:00Z,42.8,41.5,95.12,CLR,California
VBG,2018-01-01T06:58:00Z,42.6,41.2,94.75,CLR,California
VBG,2018-01-01T07:58:00Z,42.1,41.2,96.59,CLR,California
VBG,2018-01-01T08:58:00Z,41.7,40.8,96.58,CLR,California
VBG,2018-01-01T09:58:00Z,41.9,41.4,98.09,CLR,California
VBG,2018-01-01T10:58:00Z,40.5,39.9,97.7,CLR,California
VBG,2018-01-01T11:48:00Z,41,41,100,CLR,California
VBG,2018-01-01T11:53:00Z,41,41,100,CLR,California
VBG,2018-01-01T11:58:00Z,41,41,100,CLR,California
VBG,2018-01-01T12:03:00Z,41,41,100,CLR,California
VBG,2018-01-01T12:58:00Z,40.6,40.3,98.84,CLR,California
VBG,2018-01-01T13:58:00Z,41.5,41.2,98.85,CLR,California
VBG,2018-01-01T14:58:00Z,40.5,39.9,97.7,CLR,California
VBG,2018-01-01T15:58:00Z,43.9,43.3,97.73,CLR,California
VBG,2018-01-01T16:58:00Z,48.4,47.5,96.68,CLR,California
VBG,2018-01-01T17:58:00Z,54.1,49.1,83.14,CLR,California
VBG,2018-01-01T18:58:00Z,59.5,50.4,71.8,CLR,California
VBG,2018-01-01T19:58:00Z,61.5,48.2,61.6,CLR,California
VBG,2018-01-01T20:58:00Z,62.2,48.6,61,CLR,California
VBG,2018-01-01T21:58:00Z,61,47.7,61.54,BKN,California
VBG,2018-01-01T22:58:00Z,60.3,49.1,66.48,OVC,California
VBG,2018-01-01T23:58:00Z,57.6,50,75.72,BKN,California
VBG,2018-01-02T00:58:00Z,55.4,49.8,81.39,FEW,California
VBG,2018-01-02T01:58:00Z,50.2,46.6,87.38,SCT,California
VBG,2018-01-02T02:58:00Z,51.3,49.3,92.84,OVC,California
VBG,2018-01-02T03:58:00Z,51.1,49.1,92.83,OVC,California
VBG,2018-01-02T04:58:00Z,51.1,48,89.09,BKN,California
VBG,2018-01-02T05:58:00Z,51.4,48.2,88.77,BKN,California
VBG,2018-01-02T06:58:00Z,51.6,46.8,83.6,SCT,California
VBG,2018-01-02T07:58:00Z,49.3,45.7,87.34,BKN,California
VBG,2018-01-02T08:58:00Z,46.4,43.7,90.24,CLR,California
VBG,2018-01-02T09:58:00Z,46.2,43.5,90.24,BKN,California
VBG,2018-01-02T10:58:00Z,46.8,43.9,89.57,OVC,California
VBG,2018-01-02T11:58:00Z,46.9,43.9,89.24,OVC,California
VBG,2018-01-02T12:58:00Z,46.8,43.2,87.21,SCT,California
VBG,2018-01-02T13:58:00Z,47.7,43.3,84.62,BKN,California
VBG,2018-01-02T14:58:00Z,47.8,42.6,82.07,BKN,California
VBG,2018-01-02T15:58:00Z,50,41.9,73.58,SCT,California
VBG,2018-01-02T16:58:00Z,55.2,39.9,56.25,OVC,California
VBG,2018-01-02T17:58:00Z,60.3,38.7,44.68,FEW,California
VBG,2018-01-02T18:58:00Z,62.8,41.9,46.31,CLR,California
VBG,2018-01-02T19:58:00Z,59.4,50.5,72.32,SCT,California
VBG,2018-01-02T20:58:00Z,60.4,52,73.77,BKN,California
