station,valid,tmpf,dwpf,relh,skyc1,state
WHP,2018-01-01T03:56:00Z,55.4,46.4,71.64,CLR,California
WHP,2018-01-01T15:56:00Z,50,28.4,43.03,CLR,California
WHP,2018-01-01T16:56:00Z,55.4,26.6,32.76,CLR,California
WHP,2018-01-01T17:56:00Z,60.8,28.4,29.06,CLR,California
WHP,2018-01-02T01:55:00Z,60.8,28.4,29.06,CLR,California
WHP,2018-01-02T02:55:00Z,60.8,28.4,29.06,CLR,California
WHP,2018-01-02T03:55:00Z,59,44.6,58.77,CLR,California
WHP,2018-01-02T16:00:00Z,53.6,32,43.61,CLR,California
WHP,2018-01-02T16:55:00Z,57.2,37.4,47.44,CLR,California
WHP,2018-01-02T17:55:00Z,64.4,32,29.63,CLR,California
WHP,2018-01-02T18:55:00Z,64.4,32,29.63,CLR,California
WHP,2018-01-02T19:55:00Z,73.4,28.4,18.8,CLR,California
WHP,2018-01-02T20:55:00Z,75.2,28.4,17.7,CLR,California
WHP,2018-01-02T21:55:00Z,75.2,28.4,17.7,CLR,California
WHP,2018-01-02T23:55:00Z,77,15.8,9.79,CLR,California
WHP,2018-01-03T00:56:00Z,73.4,17.6,11.94,CLR,California
WHP,2018-01-03T01:56:00Z,71.6,17.6,12.69,CLR,California
WHP,2018-01-03T03:56:00Z,68,19.4,15.5,CLR,California
WHP,2018-01-03T15:56:00Z,59,23,24.76,CLR,California
WHP,2018-01-03T16:56:00Z,64.4,23,20.46,CLR,California
WHP,2018-01-03T17:56:00Z,68,23,18.06,CLR,California
WHP,2018-01-03T18:55:00Z,69.8,21.2,15.73,CLR,California
WHP,2018-01-03T19:55:00Z,69.8,21.2,15.73,OVC,California
WHP,2018-01-03T20:55:00Z,71.6,21.2,14.8,OVC,California
WHP,2018-01-03T21:55:00Z,71.6,21.2,14.8,OVC,California
WHP,2018-01-04T00:55:00Z,71.6,19.4,13.71,OVC,California
WHP,2018-01-04T02:55:00Z,66.2,24.8,20.72,OVC,California
WHP,2018-01-04T15:55:00Z,59,24.8,26.7,FEW,California
WHP,2018-01-04T17:55:00Z,64.4,28.4,25.6,SCT,California
WHP,2018-01-04T18:55:00Z,66.2,26.6,22.33,BKN,California
WHP,2018-01-04T19:55:00Z,71.6,28.4,19.98,SCT,California
WHP,2018-01-04T20:55:00Z,73.4,26.6,17.46,SCT,California
WHP,2018-01-04T22:53:00Z,73.4,46.4,38.18,CLR,California
WHP,2018-01-04T23:53:00Z,73.4,46.4,38.18,CLR,California
WHP,2018-01-05T03:55:00Z,64.4,46.4,51.98,CLR,California
WHP,2018-01-05T15:55:00Z,57.2,48.2,71.83,CLR,California
WHP,2018-01-05T18:55:00Z,68,53.6,59.97,CLR,California
