station,valid,tmpf,dwpf,relh,skyc1,state
54J,2018-01-01T00:15:00Z,39.6,38.5,95.8,BKN,Florida
54J,2018-01-01T00:35:00Z,39.6,38.7,96.55,OVC,Florida
54J,2018-01-01T00:55:00Z,39.4,38.7,97.3,OVC,Florida
54J,2018-01-01T01:15:00Z,39.2,38.7,98.07,OVC,Florida
54J,2018-01-01T01:35:00Z,39.4,38.5,96.55,OVC,Florida
54J,2018-01-01T01:55:00Z,39.2,38.3,96.54,OVC,Florida
54J,2018-01-01T02:15:00Z,39.2,37.8,94.67,OVC,Florida
54J,2018-01-01T02:35:00Z,38.7,37.6,95.78,OVC,Florida
54J,2018-01-01T02:55:00Z,38.3,36.9,94.65,OVC,Florida
54J,2018-01-01T03:15:00Z,37.8,36.5,95.01,OVC,Florida
54J,2018-01-01T03:35:00Z,37.6,35.8,93.14,BKN,Florida
54J,2018-01-01T03:55:00Z,37.4,35.6,93.14,BKN,Florida
54J,2018-01-01T04:15:00Z,37,35.6,94.62,BKN,Florida
54J,2018-01-01T04:35:00Z,36.3,34.9,94.6,OVC,Florida
54J,2018-01-01T04:55:00Z,35.8,34,93.09,OVC,Florida
54J,2018-01-01T05:15:00Z,35.1,32.4,89.76,BKN,Florida
54J,2018-01-01T05:35:00Z,34.7,31.6,88.31,OVC,Florida
54J,2018-01-01T05:55:00Z,34.2,29.8,83.75,OVC,Florida
54J,2018-01-01T06:15:00Z,33.8,29.3,83.38,SCT,Florida
54J,2018-01-01T06:35:00Z,33.8,28.2,79.71,OVC,Florida
54J,2018-01-01T06:55:00Z,32.5,24.4,71.75,OVC,Florida
54J,2018-01-01T07:15:00Z,32.4,24.8,73.25,OVC,Florida
54J,2018-01-01T07:35:00Z,32.2,25.2,75.09,OVC,Florida
54J,2018-01-01T07:55:00Z,32,24.3,72.91,OVC,Florida
54J,2018-01-01T08:15:00Z,31.1,22.8,71,OVC,Florida
54J,2018-01-01T08:35:00Z,30.4,21.2,68.27,SCT,Florida
54J,2018-01-01T08:55:00Z,30.2,21,68.25,SCT,Florida
54J,2018-01-01T09:15:00Z,29.5,20.3,68.16,SCT,Florida
54J,2018-01-01T09:35:00Z,29.3,19.8,67.27,SCT,Florida
54J,2018-01-01T09:55:00Z,29.3,17.6,61.22,BKN,Florida
54J,2018-01-01T10:15:00Z,28.4,17.1,62.16,SCT,Florida
54J,2018-01-01T10:35:00Z,28,16.3,61.04,CLR,Florida
54J,2018-01-01T10:55:00Z,27.5,16.2,62.03,CLR,Florida
54J,2018-01-01T11:15:00Z,27.1,15.4,60.91,CLR,Florida
54J,2018-01-01T11:35:00Z,26.6,14,58.49,CLR,Florida
54J,2018-01-01T11:55:00Z,26.4,13.8,58.46,CLR,Florida
54J,2018-01-01T12:15:00Z,25.7,13.1,58.36,CLR,Florida
54J,2018-01-01T12:35:00Z,25.3,12.2,57.02,CLR,Florida
54J,2018-01-01T12:55:00Z,24.8,11.5,56.45,CLR,Florida
54J,2018-01-01T13:15:00Z,25.2,12,56.76,CLR,Florida
54J,2018-01-01T13:35:00Z,25.5,10.4,52.21,CLR,Florida
54J,2018-01-01T13:55:00Z,26.2,10.9,51.86,CLR,Florida
