station,valid,tmpf,dwpf,relh,skyc1,state
BCT,2018-01-01T00:59:00Z,60.8,59,93.79,CLR,Florida
BCT,2018-01-01T01:47:00Z,60.8,59,93.79,FEW,Florida
BCT,2018-01-01T02:50:00Z,64.4,60.8,88.09,FEW,Florida
BCT,2018-01-01T03:47:00Z,64.4,59,82.62,FEW,Florida
BCT,2018-01-01T11:55:00Z,57.2,57.2,100,CLR,Florida
BCT,2018-01-01T12:47:00Z,59,59,100,CLR,Florida
BCT,2018-01-01T13:55:00Z,68,62.6,82.86,CLR,Florida
BCT,2018-01-01T14:47:00Z,71.6,62.6,73.27,CLR,Florida
BCT,2018-01-01T15:55:00Z,75.2,60.8,60.9,CLR,Florida
BCT,2018-01-01T16:55:00Z,75.2,60.8,60.9,CLR,Florida
BCT,2018-01-01T17:55:00Z,77,60.8,57.36,CLR,Florida
BCT,2018-01-01T18:47:00Z,77,55.4,47.25,CLR,Florida
BCT,2018-01-01T19:47:00Z,77,53.6,44.25,CLR,Florida
BCT,2018-01-01T20:47:00Z,75.2,51.8,43.97,BKN,Florida
BCT,2018-01-01T21:37:00Z,75.2,55.4,50.17,BKN,Florida
BCT,2018-01-01T21:47:00Z,75.2,55.4,50.17,BKN,Florida
BCT,2018-01-01T22:47:00Z,73.4,57.2,56.88,BKN,Florida
BCT,2018-01-01T23:47:00Z,71.6,62.6,73.27,BKN,Florida
BCT,2018-01-02T00:49:00Z,68,60.8,77.75,SCT,Florida
BCT,2018-01-02T01:47:00Z,66.2,59,77.6,FEW,Florida
BCT,2018-01-02T02:52:00Z,64.4,59,82.62,BKN,Florida
BCT,2018-01-02T03:47:00Z,62.6,59,88,BKN,Florida
BCT,2018-01-02T11:44:00Z,66.2,64.4,93.92,FEW,Florida
BCT,2018-01-02T12:47:00Z,64.4,60.8,88.09,BKN,Florida
BCT,2018-01-02T13:47:00Z,NA,NA,NA,NA,Florida
BCT,2018-01-02T14:47:00Z,66.2,62.6,88.18,SCT,Florida
BCT,2018-01-02T15:47:00Z,NA,NA,NA,NA,Florida
BCT,2018-01-02T16:47:00Z,66.2,64.4,93.92,FEW,Florida
BCT,2018-01-02T17:47:00Z,66.2,62.6,88.18,SCT,Florida
BCT,2018-01-02T18:17:00Z,68,62.6,82.86,FEW,Florida
BCT,2018-01-02T18:47:00Z,NA,62.6,NA,FEW,Florida
BCT,2018-01-02T19:47:00Z,66.2,62.6,88.18,BKN,Florida
BCT,2018-01-02T20:20:00Z,66.2,62.6,NA,BKN,Florida
BCT,2018-01-02T20:52:00Z,66.2,62.6,NA,BKN,Florida
BCT,2018-01-02T21:57:00Z,64.4,62.6,93.88,BKN,Florida
BCT,2018-01-02T22:58:00Z,64.4,62.6,93.88,BKN,Florida
BCT,2018-01-02T23:57:00Z,64.4,62.6,93.88,BKN,Florida
BCT,2018-01-03T00:53:00Z,66.2,62.6,88.18,BKN,Florida
BCT,2018-01-03T01:47:00Z,66.2,62.6,88.18,BKN,Florida
BCT,2018-01-03T02:50:00Z,66.2,62.6,88.18,BKN,Florida
BCT,2018-01-03T03:47:00Z,66.2,62.6,88.18,FEW,Florida
BCT,2018-01-03T11:50:00Z,68,64.4,88.26,BKN,Florida
BCT,2018-01-03T12:47:00Z,69.8,64.4,82.98,BKN,Florida
BCT,2018-01-03T13:53:00Z,68,66.2,93.97,FEW,Florida
BCT,2018-01-03T14:47:00Z,68,66.2,93.97,BKN,Florida
