station,valid,tmpf,dwpf,relh,skyc1,state
CTY,2018-01-01T00:15:00Z,57.4,56.3,96.11,SCT,Florida
CTY,2018-01-01T00:35:00Z,56.7,56.7,100,SCT,Florida
CTY,2018-01-01T00:55:00Z,57.2,NA,NA,SCT,Florida
CTY,2018-01-01T01:15:00Z,55.4,NA,NA,BKN,Florida
CTY,2018-01-01T01:35:00Z,53.6,NA,NA,SCT,Florida
CTY,2018-01-01T01:55:00Z,53.6,NA,NA,BKN,Florida
CTY,2018-01-01T02:15:00Z,51.8,51.6,99.26,BKN,Florida
CTY,2018-01-01T02:35:00Z,51.4,51.4,100,BKN,Florida
CTY,2018-01-01T02:55:00Z,51.8,51.8,100,SCT,Florida
CTY,2018-01-01T03:15:00Z,50.2,50,99.26,BKN,Florida
CTY,2018-01-01T03:35:00Z,49.1,49.1,100,OVC,Florida
CTY,2018-01-01T03:55:00Z,48.2,48.2,100,OVC,Florida
CTY,2018-01-01T04:15:00Z,48.2,NA,NA,OVC,Florida
CTY,2018-01-01T04:35:00Z,48.2,NA,NA,OVC,Florida
CTY,2018-01-01T04:55:00Z,48.2,NA,NA,OVC,Florida
CTY,2018-01-01T05:15:00Z,46.4,NA,NA,OVC,Florida
CTY,2018-01-01T05:35:00Z,46.4,NA,NA,OVC,Florida
CTY,2018-01-01T05:55:00Z,46.4,NA,NA,OVC,Florida
CTY,2018-01-01T06:15:00Z,46.4,NA,NA,OVC,Florida
CTY,2018-01-01T06:35:00Z,46.4,NA,NA,OVC,Florida
CTY,2018-01-01T06:55:00Z,46.4,NA,NA,OVC,Florida
CTY,2018-01-01T07:15:00Z,46.4,NA,NA,OVC,Florida
CTY,2018-01-01T07:35:00Z,46.4,NA,NA,BKN,Florida
CTY,2018-01-01T07:55:00Z,46.4,NA,NA,OVC,Florida
CTY,2018-01-01T08:15:00Z,46.4,NA,NA,OVC,Florida
CTY,2018-01-01T08:35:00Z,46.4,NA,NA,OVC,Florida
CTY,2018-01-01T08:55:00Z,46.4,NA,NA,OVC,Florida
CTY,2018-01-01T09:15:00Z,44.6,NA,NA,BKN,Florida
CTY,2018-01-01T09:35:00Z,44.4,44.2,99.24,OVC,Florida
CTY,2018-01-01T09:55:00Z,44.1,43.9,99.24,OVC,Florida
CTY,2018-01-01T10:15:00Z,43.5,43.5,100,OVC,Florida
CTY,2018-01-01T10:35:00Z,42.4,42.4,100,BKN,Florida
CTY,2018-01-01T10:55:00Z,42.1,41.9,99.23,OVC,Florida
CTY,2018-01-01T11:15:00Z,41.5,41.5,100,OVC,Florida
