station,valid,tmpf,dwpf,relh,skyc1,state
EGI,2018-01-01T00:10:00Z,41,39.2,93.24,BKN,Florida
EGI,2018-01-01T00:16:00Z,41,39.2,93.24,BKN,Florida
EGI,2018-01-01T00:26:00Z,41,39.2,93.24,OVC,Florida
EGI,2018-01-01T00:56:00Z,40.6,38.8,93.23,OVC,Florida
EGI,2018-01-01T01:36:00Z,41,39.2,93.24,BKN,Florida
EGI,2018-01-01T01:44:00Z,41,37.4,86.89,OVC,Florida
EGI,2018-01-01T01:56:00Z,40.3,38.1,91.77,OVC,Florida
EGI,2018-01-01T02:34:00Z,39.2,37.4,93.19,OVC,Florida
EGI,2018-01-01T02:56:00Z,39.2,37,91.73,OVC,Florida
EGI,2018-01-01T03:26:00Z,39.2,35.6,86.79,OVC,Florida
EGI,2018-01-01T03:54:00Z,37.4,33.8,86.69,OVC,Florida
EGI,2018-01-01T03:56:00Z,37.6,34.3,87.75,OVC,Florida
EGI,2018-01-01T04:46:00Z,35.6,32,86.59,OVC,Florida
EGI,2018-01-01T04:56:00Z,36.1,31.5,83.2,BKN,Florida
EGI,2018-01-01T05:18:00Z,35.6,30.2,80.51,SCT,Florida
EGI,2018-01-01T05:20:00Z,35.6,30.2,80.51,BKN,Florida
EGI,2018-01-01T05:30:00Z,35.6,30.2,80.51,SCT,Florida
EGI,2018-01-01T05:32:00Z,35.6,28.4,74.8,BKN,Florida
EGI,2018-01-01T05:38:00Z,35.6,28.4,74.8,SCT,Florida
EGI,2018-01-01T05:40:00Z,35.6,28.4,74.8,SCT,Florida
EGI,2018-01-01T05:56:00Z,34.5,27.5,75.31,FEW,Florida
EGI,2018-01-01T06:38:00Z,33.8,24.8,69.25,OVC,Florida
EGI,2018-01-01T06:56:00Z,32.9,23.9,69.15,OVC,Florida
EGI,2018-01-01T07:56:00Z,30.6,20.5,65.74,CLR,Florida
EGI,2018-01-01T08:56:00Z,29.7,20.3,67.61,CLR,Florida
EGI,2018-01-01T09:56:00Z,28.4,17.8,64.06,CLR,Florida
EGI,2018-01-01T10:56:00Z,27.5,14.2,56.85,CLR,Florida
EGI,2018-01-01T11:56:00Z,26.2,13.1,57.16,CLR,Florida
EGI,2018-01-01T12:56:00Z,25.2,11.3,55.02,CLR,Florida
EGI,2018-01-01T13:56:00Z,25.7,9.7,50.18,CLR,Florida
EGI,2018-01-01T14:56:00Z,26.6,9.1,47.06,CLR,Florida
EGI,2018-01-01T15:56:00Z,30.6,9.7,41.04,CLR,Florida
EGI,2018-01-01T16:56:00Z,32.2,9.3,37.79,FEW,Florida
EGI,2018-01-01T17:09:00Z,32,10.4,40.01,CLR,Florida
EGI,2018-01-01T17:22:00Z,33.8,10.4,37.22,CLR,Florida
EGI,2018-01-01T17:56:00Z,34.7,10.4,35.91,CLR,Florida
EGI,2018-01-01T18:56:00Z,36,10.9,34.87,CLR,Florida
EGI,2018-01-01T19:56:00Z,37.6,11.7,33.92,CLR,Florida
EGI,2018-01-01T20:56:00Z,37.4,12.2,34.96,CLR,Florida
EGI,2018-01-01T21:56:00Z,34.2,12.9,40.93,CLR,Florida
EGI,2018-01-01T22:56:00Z,32,12,42.96,CLR,Florida
EGI,2018-01-01T23:30:00Z,30.2,10.4,43.04,BKN,Florida
EGI,2018-01-01T23:55:00Z,29.8,11.5,45.94,BKN,Florida
EGI,2018-01-02T00:56:00Z,29.1,10.9,46.03,CLR,Florida
EGI,2018-01-02T01:56:00Z,28.2,10,45.87,CLR,Florida
EGI,2018-01-02T02:56:00Z,27.5,10.8,48.93,CLR,Florida
EGI,2018-01-02T03:56:00Z,26.6,10.4,49.88,CLR,Florida
EGI,2018-01-02T04:56:00Z,26.2,10.6,51.17,CLR,Florida
EGI,2018-01-02T05:56:00Z,25.3,10.6,53.11,CLR,Florida
EGI,2018-01-02T06:56:00Z,24.4,10.2,54.17,CLR,Florida
EGI,2018-01-02T07:56:00Z,23.5,10,55.75,CLR,Florida
EGI,2018-01-02T08:56:00Z,22.5,10.6,59.72,CLR,Florida
EGI,2018-01-02T09:56:00Z,22.1,11.1,62.1,CLR,Florida
EGI,2018-01-02T10:56:00Z,21.6,10.6,62.03,CLR,Florida
EGI,2018-01-02T11:56:00Z,20.1,10.6,66.11,CLR,Florida
EGI,2018-01-02T12:56:00Z,20.5,10.9,65.87,CLR,Florida
EGI,2018-01-02T13:56:00Z,23,11.5,60.86,CLR,Florida
EGI,2018-01-02T14:58:00Z,27,10.4,49.06,BKN,Florida
EGI,2018-01-02T15:55:00Z,30.4,7.7,37.82,BKN,Florida
EGI,2018-01-02T16:55:00Z,34.2,7.3,31.87,FEW,Florida
EGI,2018-01-02T17:55:00Z,37.4,8.1,29.11,SCT,Florida
EGI,2018-01-02T18:55:00Z,39.6,8.2,26.83,FEW,Florida
EGI,2018-01-02T19:55:00Z,40.6,8.4,26.04,FEW,Florida
EGI,2018-01-02T20:55:00Z,41.2,7.2,24.1,FEW,Florida
EGI,2018-01-02T21:55:00Z,40.6,8.4,26.04,FEW,Florida
EGI,2018-01-02T22:55:00Z,37,10.6,33.08,FEW,Florida
EGI,2018-01-02T23:55:00Z,28.9,16,58.06,FEW,Florida
EGI,2018-01-03T00:55:00Z,30.4,12.6,47.07,FEW,Florida
EGI,2018-01-03T01:55:00Z,31.6,12.2,44.05,FEW,Florida
EGI,2018-01-03T02:55:00Z,31.1,12.7,45.95,SCT,Florida
EGI,2018-01-03T03:55:00Z,28.9,15.3,56.32,SCT,Florida
EGI,2018-01-03T04:55:00Z,28.8,17.1,61.15,BKN,Florida
EGI,2018-01-03T05:55:00Z,30.4,16.5,55.82,BKN,Florida
EGI,2018-01-03T06:56:00Z,30.2,18.3,60.82,OVC,Florida
EGI,2018-01-03T07:56:00Z,30.7,17.8,58.33,OVC,Florida
EGI,2018-01-03T08:56:00Z,30.9,16.2,53.99,OVC,Florida
EGI,2018-01-03T09:56:00Z,30.9,17.8,57.86,FEW,Florida
EGI,2018-01-03T10:56:00Z,29.5,16.9,58.91,CLR,Florida
EGI,2018-01-03T11:56:00Z,29.5,17.2,59.68,SCT,Florida
EGI,2018-01-03T12:56:00Z,28.6,18.3,64.92,FEW,Florida
EGI,2018-01-03T13:56:00Z,31.3,16.5,53.82,BKN,Florida
EGI,2018-01-03T14:55:00Z,33.6,12.4,41.01,BKN,Florida
EGI,2018-01-03T15:55:00Z,36.7,8.8,30.88,BKN,Florida
EGI,2018-01-03T16:55:00Z,38.5,8.2,28,FEW,Florida
EGI,2018-01-03T17:55:00Z,40.6,8.4,26.04,BKN,Florida
EGI,2018-01-03T18:55:00Z,41,8.8,26.1,BKN,Florida
EGI,2018-01-03T19:55:00Z,42.4,9.9,25.98,BKN,Florida
EGI,2018-01-03T20:55:00Z,43.2,10.6,25.99,FEW,Florida
EGI,2018-01-03T21:55:00Z,43.2,11.5,27.06,FEW,Florida
EGI,2018-01-03T22:55:00Z,38.8,12.9,34.13,CLR,Florida
EGI,2018-01-03T23:55:00Z,35.6,14.2,40.99,CLR,Florida
EGI,2018-01-04T00:55:00Z,33.8,14.2,44.03,CLR,Florida
EGI,2018-01-04T01:55:00Z,32.2,14.7,47.99,CLR,Florida
EGI,2018-01-04T02:55:00Z,31.1,14.2,49.08,CLR,Florida
EGI,2018-01-04T03:55:00Z,28.2,14.2,55.24,CLR,Florida
EGI,2018-01-04T04:55:00Z,29.1,12.4,49.19,CLR,Florida
EGI,2018-01-04T05:55:00Z,29.5,12.2,47.97,CLR,Florida
EGI,2018-01-04T06:56:00Z,29.3,10,43.86,CLR,Florida
EGI,2018-01-04T07:56:00Z,28.9,8.8,42.24,CLR,Florida
EGI,2018-01-04T08:56:00Z,27.3,9.7,46.97,CLR,Florida
EGI,2018-01-04T09:56:00Z,25.9,10.2,50.89,CLR,Florida
EGI,2018-01-04T10:56:00Z,25.2,10.4,52.86,CLR,Florida
EGI,2018-01-04T11:56:00Z,25.2,10.8,53.81,CLR,Florida
EGI,2018-01-04T12:56:00Z,25.2,11.7,56.01,CLR,Florida
EGI,2018-01-04T13:56:00Z,27.5,12.6,52.99,CLR,Florida
EGI,2018-01-04T14:55:00Z,32.2,12.2,43,FEW,Florida
EGI,2018-01-04T15:55:00Z,35.2,10.9,36,FEW,Florida
EGI,2018-01-04T16:55:00Z,37.8,9.9,31.07,FEW,Florida
EGI,2018-01-04T17:55:00Z,40.1,9.5,27.89,FEW,Florida
EGI,2018-01-04T18:55:00Z,42.6,10,25.9,FEW,Florida
EGI,2018-01-04T19:55:00Z,45,10.4,24.05,FEW,Florida
EGI,2018-01-04T20:55:00Z,45.3,10.6,23.99,FEW,Florida
EGI,2018-01-04T21:40:00Z,44.6,10.4,24.42,FEW,Florida
EGI,2018-01-04T21:55:00Z,44.4,10.8,25.05,FEW,Florida
EGI,2018-01-04T22:55:00Z,41,11.8,29.84,FEW,Florida
EGI,2018-01-04T23:55:00Z,36.3,13.1,37.99,CLR,Florida
EGI,2018-01-05T00:55:00Z,33.6,14.5,44.97,CLR,Florida
EGI,2018-01-05T01:55:00Z,32.7,13.3,44.23,CLR,Florida
