station,valid,tmpf,dwpf,relh,skyc1,state
FHB,2018-01-11T21:53:00Z,66.2,62.6,88.18,SCT,Florida
FHB,2018-01-11T22:34:00Z,60.8,59,93.79,SCT,Florida
FHB,2018-01-11T22:52:00Z,62.6,60.8,93.83,CLR,Florida
FHB,2018-01-11T23:32:00Z,64.4,62.6,93.88,CLR,Florida
FHB,2018-01-11T23:53:00Z,68,62.6,82.86,CLR,Florida
FHB,2018-01-12T01:13:00Z,60.8,57.2,87.92,SCT,Florida
FHB,2018-01-12T01:32:00Z,62.6,57.2,82.5,SCT,Florida
FHB,2018-01-12T01:54:00Z,59,57.2,93.74,CLR,Florida
FHB,2018-01-12T02:15:00Z,59,55.4,87.83,SCT,Florida
FHB,2018-01-12T02:33:00Z,60.8,57.2,87.92,BKN,Florida
FHB,2018-01-12T02:54:00Z,60.8,59,93.79,BKN,Florida
FHB,2018-01-12T03:13:00Z,64.4,60.8,88.09,SCT,Florida
FHB,2018-01-12T03:54:00Z,64.4,64.4,100,CLR,Florida
FHB,2018-01-12T04:13:00Z,66.2,64.4,93.92,SCT,Florida
FHB,2018-01-12T04:52:00Z,62.6,60.8,93.83,CLR,Florida
FHB,2018-01-12T05:14:00Z,60.8,59,93.79,BKN,Florida
FHB,2018-01-12T05:54:00Z,62.6,62.6,100,SCT,Florida
FHB,2018-01-12T06:35:00Z,59,57.2,93.74,BKN,Florida
FHB,2018-01-12T08:34:00Z,59,57.2,93.74,OVC,Florida
FHB,2018-01-12T08:54:00Z,59,57.2,93.74,OVC,Florida
FHB,2018-01-12T09:34:00Z,57.2,57.2,100,OVC,Florida
FHB,2018-01-12T09:53:00Z,60.8,59,93.79,OVC,Florida
FHB,2018-01-12T10:13:00Z,59,59,100,OVC,Florida
FHB,2018-01-12T11:14:00Z,57.2,55.4,93.69,OVC,Florida
FHB,2018-01-12T11:32:00Z,60.8,59,93.79,OVC,Florida
FHB,2018-01-12T11:52:00Z,62.6,60.8,93.83,OVC,Florida
FHB,2018-01-12T12:32:00Z,64.4,62.6,93.88,OVC,Florida
FHB,2018-01-12T12:53:00Z,64.4,64.4,100,OVC,Florida
FHB,2018-01-12T13:53:00Z,66.2,64.4,93.92,OVC,Florida
FHB,2018-01-12T14:12:00Z,66.2,66.2,100,OVC,Florida
FHB,2018-01-12T14:35:00Z,68,66.2,93.97,BKN,Florida
FHB,2018-01-12T15:13:00Z,66.2,64.4,93.92,BKN,Florida
FHB,2018-01-12T15:53:00Z,71.6,64.4,78.04,SCT,Florida
FHB,2018-01-12T16:13:00Z,73.4,64.4,73.44,SCT,Florida
FHB,2018-01-12T16:33:00Z,75.2,64.4,69.14,SCT,Florida
FHB,2018-01-12T16:53:00Z,73.4,64.4,73.44,SCT,Florida
FHB,2018-01-12T17:14:00Z,75.2,64.4,69.14,SCT,Florida
FHB,2018-01-12T17:34:00Z,73.4,64.4,73.44,SCT,Florida
FHB,2018-01-12T17:54:00Z,73.4,64.4,73.44,SCT,Florida
