station,valid,tmpf,dwpf,relh,skyc1,state
FIN,2018-01-01T01:15:00Z,54.5,50,84.73,BKN,Florida
FIN,2018-01-01T01:35:00Z,54.3,49.1,82.53,SCT,Florida
FIN,2018-01-01T01:55:00Z,53.6,50,87.56,BKN,Florida
FIN,2018-01-01T02:15:00Z,53.1,50.4,90.51,OVC,Florida
FIN,2018-01-01T02:35:00Z,55,50.2,83.82,OVC,Florida
FIN,2018-01-01T02:55:00Z,55.4,49.8,81.39,BKN,Florida
FIN,2018-01-01T03:15:00Z,55.6,50,81.4,SCT,Florida
FIN,2018-01-01T03:35:00Z,55.4,50,81.99,SCT,Florida
FIN,2018-01-01T03:55:00Z,55.4,50,81.99,BKN,Florida
FIN,2018-01-01T04:35:00Z,54.9,50,83.5,OVC,Florida
FIN,2018-01-01T04:55:00Z,54.9,50,83.5,BKN,Florida
FIN,2018-01-01T05:15:00Z,55,50.2,83.82,BKN,Florida
FIN,2018-01-01T05:35:00Z,54.9,50.2,84.12,OVC,Florida
FIN,2018-01-01T05:55:00Z,54.5,50.2,85.36,SCT,Florida
FIN,2018-01-01T06:15:00Z,54.7,50.5,85.69,BKN,Florida
FIN,2018-01-01T06:35:00Z,54.7,50.4,85.37,OVC,Florida
FIN,2018-01-01T06:55:00Z,54.5,50.4,85.99,SCT,Florida
FIN,2018-01-01T07:15:00Z,54.5,50.4,85.99,BKN,Florida
FIN,2018-01-01T07:35:00Z,53.6,50,87.56,BKN,Florida
FIN,2018-01-01T07:55:00Z,53.4,50,88.2,OVC,Florida
FIN,2018-01-01T08:15:00Z,53.6,50.2,88.21,OVC,Florida
FIN,2018-01-01T08:35:00Z,53.6,50.5,89.2,OVC,Florida
FIN,2018-01-01T08:55:00Z,53.6,51.1,91.21,BKN,Florida
FIN,2018-01-01T09:15:00Z,53.6,51.3,91.88,SCT,Florida
FIN,2018-01-01T09:35:00Z,53.8,51.8,92.91,SCT,Florida
FIN,2018-01-01T09:55:00Z,54.1,52,92.58,SCT,Florida
FIN,2018-01-01T10:15:00Z,54.7,52.7,92.94,BKN,Florida
FIN,2018-01-01T10:35:00Z,55.4,53.1,91.94,OVC,Florida
FIN,2018-01-01T10:50:00Z,55.4,53.6,93.65,OVC,Florida
FIN,2018-01-01T11:50:00Z,53.6,51.8,93.6,OVC,Florida
FIN,2018-01-01T12:50:00Z,53.6,51.8,93.6,OVC,Florida
FIN,2018-01-01T13:50:00Z,51.8,50,93.55,OVC,Florida
FIN,2018-01-01T14:50:00Z,50,48.2,93.5,OVC,Florida
FIN,2018-01-01T15:50:00Z,48.2,48.2,100,OVC,Florida
FIN,2018-01-01T16:50:00Z,48.2,46.4,93.45,OVC,Florida
FIN,2018-01-01T17:50:00Z,46.4,46.4,100,OVC,Florida
FIN,2018-01-01T18:50:00Z,46.4,44.6,93.4,OVC,Florida
FIN,2018-01-01T19:50:00Z,46.4,44.6,93.4,OVC,Florida
FIN,2018-01-01T20:50:00Z,44.6,42.8,93.35,OVC,Florida
FIN,2018-01-01T21:50:00Z,44.6,41,87.09,OVC,Florida
FIN,2018-01-01T22:50:00Z,44.6,39.2,81.2,OVC,Florida
FIN,2018-01-01T23:50:00Z,42.8,39.2,86.99,OVC,Florida
FIN,2018-01-02T01:15:00Z,43.7,37.9,79.87,OVC,Florida
FIN,2018-01-02T01:55:00Z,43.9,37.4,77.72,OVC,Florida
FIN,2018-01-02T02:15:00Z,43.7,36.9,76.79,OVC,Florida
FIN,2018-01-02T02:55:00Z,43.7,36.7,76.19,OVC,Florida
FIN,2018-01-02T03:15:00Z,43.7,36.5,75.59,OVC,Florida
FIN,2018-01-02T03:35:00Z,43.7,36.5,75.59,OVC,Florida
FIN,2018-01-02T03:55:00Z,43.7,36.1,74.4,OVC,Florida
FIN,2018-01-02T04:15:00Z,43.7,36.5,75.59,OVC,Florida
FIN,2018-01-02T04:55:00Z,43.3,36,75.25,OVC,Florida
FIN,2018-01-02T05:15:00Z,43.2,35.8,74.95,OVC,Florida
FIN,2018-01-02T05:35:00Z,43.2,35.6,74.35,OVC,Florida
FIN,2018-01-02T05:55:00Z,43.2,35.8,74.95,OVC,Florida
FIN,2018-01-02T06:15:00Z,43.3,36.1,75.55,OVC,Florida
FIN,2018-01-02T06:35:00Z,43.2,36.1,75.84,OVC,Florida
FIN,2018-01-02T06:55:00Z,43.2,35.8,74.95,OVC,Florida
FIN,2018-01-02T07:15:00Z,43.2,36.1,75.84,OVC,Florida
FIN,2018-01-02T07:35:00Z,43.3,36.5,76.76,OVC,Florida
FIN,2018-01-02T07:55:00Z,43.3,36.5,76.76,OVC,Florida
FIN,2018-01-02T08:15:00Z,43.3,36.5,76.76,OVC,Florida
