station,valid,tmpf,dwpf,relh,skyc1,state
HST,2018-01-01T00:56:00Z,62.8,62.8,100,CLR,Florida
HST,2018-01-01T01:56:00Z,60.8,60.8,100,CLR,Florida
HST,2018-01-01T02:56:00Z,61.3,61.3,100,CLR,Florida
HST,2018-01-01T03:46:00Z,60.8,60.8,100,CLR,Florida
HST,2018-01-01T03:56:00Z,60.6,60.6,100,CLR,Florida
HST,2018-01-01T04:01:00Z,60.8,60.8,100,CLR,Florida
HST,2018-01-01T04:16:00Z,60.8,60.8,100,CLR,Florida
HST,2018-01-01T04:31:00Z,59,59,100,CLR,Florida
HST,2018-01-01T04:36:00Z,60.8,60.8,100,CLR,Florida
HST,2018-01-01T04:51:00Z,59,59,100,BKN,Florida
HST,2018-01-01T04:56:00Z,60.1,60.1,100,BKN,Florida
HST,2018-01-01T05:31:00Z,60.8,60.8,100,SCT,Florida
HST,2018-01-01T05:56:00Z,62.2,62.2,100,CLR,Florida
HST,2018-01-01T06:56:00Z,61.2,61.2,100,CLR,Florida
HST,2018-01-01T07:56:00Z,59,NA,NA,CLR,Florida
HST,2018-01-01T08:56:00Z,61.2,61.2,100,CLR,Florida
HST,2018-01-01T09:56:00Z,60.8,NA,NA,CLR,Florida
HST,2018-01-01T10:11:00Z,59,NA,NA,CLR,Florida
HST,2018-01-01T10:16:00Z,57.2,NA,NA,CLR,Florida
HST,2018-01-01T10:56:00Z,56.8,56.8,100,CLR,Florida
HST,2018-01-01T11:47:00Z,57.2,57.2,100,CLR,Florida
HST,2018-01-01T11:56:00Z,57.2,57.2,100,CLR,Florida
HST,2018-01-01T12:50:00Z,57.2,NA,NA,CLR,Florida
HST,2018-01-01T12:56:00Z,59,NA,NA,CLR,Florida
HST,2018-01-01T13:56:00Z,66.4,66.4,100,CLR,Florida
HST,2018-01-01T14:56:00Z,71.8,71.8,100,CLR,Florida
HST,2018-01-01T15:56:00Z,76.1,69.1,78.95,CLR,Florida
HST,2018-01-01T16:56:00Z,77.5,65.7,67.02,CLR,Florida
HST,2018-01-01T17:56:00Z,78.4,63,59.2,CLR,Florida
HST,2018-01-01T18:56:00Z,79.2,62.1,55.86,CLR,Florida
HST,2018-01-01T19:56:00Z,79,61.3,54.66,CLR,Florida
HST,2018-01-01T20:56:00Z,77.5,61,56.82,SCT,Florida
HST,2018-01-01T21:56:00Z,75.6,62.1,62.93,BKN,Florida
HST,2018-01-01T22:56:00Z,73.6,66.6,78.75,SCT,Florida
HST,2018-01-01T23:56:00Z,72.1,71.2,96.99,SCT,Florida
HST,2018-01-02T00:56:00Z,69.8,69.8,100,BKN,Florida
HST,2018-01-02T01:21:00Z,68,68,100,SCT,Florida
HST,2018-01-02T01:36:00Z,68,68,100,FEW,Florida
HST,2018-01-02T01:46:00Z,68,68,100,BKN,Florida
HST,2018-01-02T01:56:00Z,67.6,67.6,100,BKN,Florida
HST,2018-01-02T02:56:00Z,65.7,65.7,100,OVC,Florida
HST,2018-01-02T03:56:00Z,64,64,100,OVC,Florida
HST,2018-01-02T04:21:00Z,62.6,62.6,100,OVC,Florida
HST,2018-01-02T04:31:00Z,60.8,60.8,100,BKN,Florida
HST,2018-01-02T04:56:00Z,60.6,60.6,100,OVC,Florida
HST,2018-01-02T05:11:00Z,60.8,60.8,100,OVC,Florida
HST,2018-01-02T05:56:00Z,59.5,59.5,100,OVC,Florida
HST,2018-01-02T06:36:00Z,59,59,100,OVC,Florida
HST,2018-01-02T06:56:00Z,58.5,58.5,100,OVC,Florida
HST,2018-01-02T07:56:00Z,57.9,57.9,100,OVC,Florida
HST,2018-01-02T08:26:00Z,57.2,57.2,100,OVC,Florida
HST,2018-01-02T08:56:00Z,55.9,55.9,100,OVC,Florida
HST,2018-01-02T09:11:00Z,55.4,55.4,100,OVC,Florida
HST,2018-01-02T09:21:00Z,55.4,55.4,100,OVC,Florida
HST,2018-01-02T09:56:00Z,55,55,100,OVC,Florida
HST,2018-01-02T10:56:00Z,54.9,54.9,100,OVC,Florida
