station,valid,tmpf,dwpf,relh,skyc1,state
VPS,2018-01-01T00:55:00Z,41.5,39.4,92.17,BKN,Florida
VPS,2018-01-01T01:55:00Z,41.4,38.3,88.64,BKN,Florida
VPS,2018-01-01T02:56:00Z,40.6,37.9,90,OVC,Florida
VPS,2018-01-01T03:56:00Z,39.2,36.5,89.94,BKN,Florida
VPS,2018-01-01T04:55:00Z,37.6,33.8,86.02,OVC,Florida
VPS,2018-01-01T05:33:00Z,37.4,32,80.65,BKN,Florida
VPS,2018-01-01T05:55:00Z,36,29.8,77.96,BKN,Florida
VPS,2018-01-01T06:28:00Z,35.6,28.4,74.8,FEW,Florida
VPS,2018-01-01T06:55:00Z,34.2,25.3,69.59,OVC,Florida
VPS,2018-01-01T07:56:00Z,32.7,22.6,66,BKN,Florida
VPS,2018-01-01T08:55:00Z,30.7,19.9,63.82,FEW,Florida
VPS,2018-01-01T09:55:00Z,29.7,18.7,63.14,FEW,Florida
VPS,2018-01-01T10:55:00Z,28.8,16.7,60.1,FEW,Florida
VPS,2018-01-01T11:57:00Z,27.5,14.2,56.85,FEW,Florida
VPS,2018-01-01T12:56:00Z,26.4,11.7,53.29,FEW,Florida
VPS,2018-01-01T13:43:00Z,26.6,10.4,49.88,FEW,Florida
VPS,2018-01-01T13:55:00Z,27.1,10,48,FEW,Florida
VPS,2018-01-01T14:55:00Z,27,9.3,46.71,SCT,Florida
VPS,2018-01-01T15:55:00Z,30.7,9.3,40.15,BKN,Florida
VPS,2018-01-01T16:55:00Z,33.6,10.8,38.2,BKN,Florida
VPS,2018-01-01T17:55:00Z,36.1,11.1,35.05,SCT,Florida
VPS,2018-01-01T18:55:00Z,37.9,13.3,35.98,SCT,Florida
VPS,2018-01-01T19:55:00Z,38.5,13.1,34.84,SCT,Florida
VPS,2018-01-01T20:55:00Z,39.4,13.3,33.93,SCT,Florida
VPS,2018-01-01T21:55:00Z,37.6,13.6,36.89,BKN,Florida
VPS,2018-01-01T22:55:00Z,33.6,12.9,41.92,BKN,Florida
VPS,2018-01-01T23:55:00Z,31.5,11.5,42.88,BKN,Florida
