station,valid,tmpf,dwpf,relh,skyc1,state
XMR,2018-01-01T00:58:00Z,52.9,47.8,82.74,CLR,Florida
XMR,2018-01-01T01:58:00Z,51.6,47.3,85.19,CLR,Florida
XMR,2018-01-01T02:58:00Z,50.7,46.9,86.75,CLR,Florida
XMR,2018-01-01T03:58:00Z,51.1,48,89.09,CLR,Florida
XMR,2018-01-01T04:58:00Z,55.2,50.7,84.77,BKN,Florida
XMR,2018-01-01T05:58:00Z,57.6,53.2,85.23,OVC,Florida
XMR,2018-01-01T06:58:00Z,59.2,55.6,87.84,BKN,Florida
XMR,2018-01-01T07:58:00Z,60.1,55.9,85.99,OVC,Florida
XMR,2018-01-01T08:58:00Z,60.1,56.3,87.25,OVC,Florida
XMR,2018-01-01T09:58:00Z,60.6,55.6,83.56,OVC,Florida
XMR,2018-01-01T10:58:00Z,60.4,55,82.34,OVC,Florida
XMR,2018-01-01T11:58:00Z,59.2,55,85.94,SCT,Florida
XMR,2018-01-01T12:58:00Z,60.3,55.8,85.08,BKN,Florida
XMR,2018-01-01T13:58:00Z,62.8,57,81.33,FEW,Florida
XMR,2018-01-01T14:58:00Z,66.4,56.1,69.42,FEW,Florida
XMR,2018-01-01T15:58:00Z,66.9,58.1,73.33,FEW,Florida
XMR,2018-01-01T16:13:00Z,64.4,59,82.62,SCT,Florida
XMR,2018-01-01T16:37:00Z,62.6,59,88,SCT,Florida
XMR,2018-01-01T16:47:00Z,60.8,59,93.79,BKN,Florida
XMR,2018-01-01T16:52:00Z,60.8,59,93.79,BKN,Florida
XMR,2018-01-01T16:58:00Z,61.2,58.5,90.83,BKN,Florida
XMR,2018-01-01T16:59:00Z,60.8,59,93.79,BKN,Florida
XMR,2018-01-01T17:14:00Z,60.8,59,93.79,BKN,Florida
XMR,2018-01-01T17:34:00Z,60.8,59,93.79,SCT,Florida
XMR,2018-01-01T17:44:00Z,60.8,59,93.79,BKN,Florida
XMR,2018-01-01T17:49:00Z,60.8,59,93.79,SCT,Florida
XMR,2018-01-01T17:54:00Z,60.8,59,93.79,BKN,Florida
XMR,2018-01-01T17:58:00Z,60.8,59,93.79,BKN,Florida
XMR,2018-01-01T18:33:00Z,60.8,59,93.79,OVC,Florida
XMR,2018-01-01T18:48:00Z,60.8,57.2,87.92,OVC,Florida
XMR,2018-01-01T18:53:00Z,60.8,57.2,87.92,OVC,Florida
XMR,2018-01-01T18:58:00Z,60.8,57.2,87.92,OVC,Florida
XMR,2018-01-01T19:05:00Z,60.8,59,93.79,BKN,Florida
XMR,2018-01-01T19:08:00Z,60.8,59,93.79,BKN,Florida
XMR,2018-01-01T19:17:00Z,60.8,59,93.79,OVC,Florida
XMR,2018-01-01T19:19:00Z,60.8,59,93.79,OVC,Florida
XMR,2018-01-01T19:34:00Z,60.8,59,93.79,BKN,Florida
XMR,2018-01-01T19:49:00Z,60.8,57.2,87.92,OVC,Florida
XMR,2018-01-01T19:58:00Z,60.8,57.2,87.92,OVC,Florida
XMR,2018-01-01T20:04:00Z,60.8,57.2,87.92,OVC,Florida
XMR,2018-01-01T20:15:00Z,60.8,57.2,87.92,OVC,Florida
XMR,2018-01-01T20:27:00Z,60.8,57.2,87.92,OVC,Florida
XMR,2018-01-01T20:32:00Z,60.8,57.2,87.92,OVC,Florida
XMR,2018-01-01T20:37:00Z,59,57.2,93.74,OVC,Florida
XMR,2018-01-01T20:42:00Z,59,57.2,93.74,OVC,Florida
XMR,2018-01-01T20:52:00Z,59,57.2,93.74,OVC,Florida
XMR,2018-01-01T20:58:00Z,59.4,57.4,93.08,OVC,Florida
XMR,2018-01-01T21:11:00Z,59,57.2,93.74,OVC,Florida
XMR,2018-01-01T21:22:00Z,59,57.2,93.74,OVC,Florida
XMR,2018-01-01T21:29:00Z,59,57.2,93.74,OVC,Florida
XMR,2018-01-01T21:34:00Z,59,57.2,93.74,OVC,Florida
XMR,2018-01-01T21:39:00Z,59,57.2,93.74,OVC,Florida
XMR,2018-01-01T21:49:00Z,57.2,55.4,93.69,OVC,Florida
XMR,2018-01-01T21:58:00Z,57.6,55.6,93.03,OVC,Florida
XMR,2018-01-01T22:12:00Z,57.2,55.4,93.69,OVC,Florida
XMR,2018-01-01T22:17:00Z,57.2,55.4,93.69,BKN,Florida
XMR,2018-01-01T22:22:00Z,57.2,55.4,93.69,BKN,Florida
XMR,2018-01-01T22:58:00Z,57.2,55.4,93.69,OVC,Florida
XMR,2018-01-01T23:03:00Z,57.2,55.4,93.69,OVC,Florida
XMR,2018-01-01T23:06:00Z,57.2,55.4,93.69,OVC,Florida
XMR,2018-01-01T23:16:00Z,57.2,55.4,93.69,OVC,Florida
XMR,2018-01-01T23:19:00Z,57.2,55.4,93.69,OVC,Florida
XMR,2018-01-01T23:49:00Z,57.2,53.6,87.74,OVC,Florida
XMR,2018-01-01T23:58:00Z,56.5,54.5,92.99,OVC,Florida
XMR,2018-01-02T00:13:00Z,57.2,53.6,87.74,OVC,Florida
XMR,2018-01-02T00:15:00Z,57.2,55.4,93.69,OVC,Florida
XMR,2018-01-02T00:25:00Z,57.2,55.4,93.69,OVC,Florida
XMR,2018-01-02T00:35:00Z,57.2,55.4,93.69,OVC,Florida
XMR,2018-01-02T00:45:00Z,57.2,53.6,87.74,OVC,Florida
