station,valid,tmpf,dwpf,relh,skyc1,state
06C,2018-08-10T16:55:00Z,79.5,66.2,63.84,CLR,Illinois
06C,2018-08-10T17:15:00Z,80.6,65.3,59.69,SCT,Illinois
06C,2018-08-10T17:35:00Z,80.8,64.9,58.48,SCT,Illinois
06C,2018-08-10T17:55:00Z,80.2,64.6,59.02,SCT,Illinois
06C,2018-08-10T18:15:00Z,81,64.4,57.09,SCT,Illinois
06C,2018-08-10T18:35:00Z,79.7,64.8,60.41,SCT,Illinois
06C,2018-08-10T18:55:00Z,80.8,63.5,55.68,SCT,Illinois
06C,2018-08-10T19:15:00Z,80.1,63.1,56.18,CLR,Illinois
06C,2018-08-10T19:35:00Z,80.8,64.2,57.07,CLR,Illinois
06C,2018-08-10T19:55:00Z,80.2,63.1,55.99,CLR,Illinois
06C,2018-08-10T20:15:00Z,80.2,63.1,55.99,CLR,Illinois
06C,2018-08-10T20:35:00Z,80.2,63,55.8,CLR,Illinois
06C,2018-08-10T20:55:00Z,79.7,64,58.74,CLR,Illinois
06C,2018-08-10T21:15:00Z,79.9,64.2,58.77,SCT,Illinois
06C,2018-08-10T21:35:00Z,79.2,63.1,57.86,SCT,Illinois
06C,2018-08-10T21:55:00Z,79.3,64.4,60.36,CLR,Illinois
06C,2018-08-10T22:15:00Z,79,62.8,57.63,CLR,Illinois
06C,2018-08-10T22:30:00Z,79,63,58.04,CLR,Illinois
06C,2018-08-10T22:55:00Z,78.4,62.8,58.78,CLR,Illinois
06C,2018-08-10T23:15:00Z,77.9,61.2,56.48,CLR,Illinois
06C,2018-08-10T23:35:00Z,77.7,60.1,54.67,CLR,Illinois
06C,2018-08-10T23:55:00Z,77,57.4,50.8,CLR,Illinois
06C,2018-08-11T00:15:00Z,76.3,56.8,50.88,CLR,Illinois
06C,2018-08-11T00:35:00Z,75.4,58.1,54.94,CLR,Illinois
06C,2018-08-11T00:55:00Z,75,59,57.5,CLR,Illinois
06C,2018-08-11T01:15:00Z,72.5,60.4,65.75,CLR,Illinois
