station,valid,tmpf,dwpf,relh,skyc1,state
3LF,2018-01-01T00:15:00Z,4.1,-2.2,74.51,CLR,Illinois
3LF,2018-01-01T00:35:00Z,4.1,-2.6,73.11,CLR,Illinois
3LF,2018-01-01T00:55:00Z,3.7,-3.1,72.72,CLR,Illinois
3LF,2018-01-01T01:15:00Z,3.4,-3.1,73.73,CLR,Illinois
3LF,2018-01-01T01:35:00Z,2.8,-3.1,75.8,CLR,Illinois
3LF,2018-01-01T01:55:00Z,2.3,-3.5,76.11,CLR,Illinois
3LF,2018-01-01T02:15:00Z,2.1,-3.6,76.46,CLR,Illinois
3LF,2018-01-01T02:35:00Z,1.4,-4,77.49,CLR,Illinois
3LF,2018-01-01T02:55:00Z,1,-4.2,78.2,CLR,Illinois
3LF,2018-01-01T03:15:00Z,0.5,-4.9,77.4,CLR,Illinois
3LF,2018-01-01T03:35:00Z,0.3,-4.9,78.13,CLR,Illinois
3LF,2018-01-01T03:55:00Z,0.1,-5.1,78.11,CLR,Illinois
3LF,2018-01-01T04:15:00Z,-0.4,-5.4,78.82,CLR,Illinois
3LF,2018-01-01T04:35:00Z,-0.6,-5.8,78.05,CLR,Illinois
3LF,2018-01-01T04:55:00Z,-0.8,-6.5,76.16,CLR,Illinois
3LF,2018-01-01T05:15:00Z,-1.3,-6.7,77.23,CLR,Illinois
3LF,2018-01-01T05:35:00Z,-1.3,-7.4,74.64,CLR,Illinois
3LF,2018-01-01T05:55:00Z,-1.7,-7.8,74.6,CLR,Illinois
3LF,2018-01-01T06:15:00Z,-2.2,-8,75.65,CLR,Illinois
3LF,2018-01-01T06:35:00Z,-2.7,-8.5,75.59,CLR,Illinois
3LF,2018-01-01T06:55:00Z,-3.3,-9.4,74.43,CLR,Illinois
3LF,2018-01-01T07:15:00Z,-4,-9.9,75.09,CLR,Illinois
3LF,2018-01-01T07:35:00Z,-4.4,-10.5,74.31,CLR,Illinois
3LF,2018-01-01T07:55:00Z,-4.9,-11,74.25,CLR,Illinois
3LF,2018-01-01T08:15:00Z,-5.1,-11.4,73.49,CLR,Illinois
3LF,2018-01-01T08:35:00Z,-5.6,-12.1,72.71,CLR,Illinois
3LF,2018-01-01T08:55:00Z,-5.8,-12.3,72.69,CLR,Illinois
3LF,2018-01-01T09:15:00Z,-6.3,-13,71.9,CLR,Illinois
3LF,2018-01-01T09:35:00Z,-6.9,-13.2,73.29,CLR,Illinois
3LF,2018-01-01T09:55:00Z,-7.2,-13.5,73.25,CLR,Illinois
3LF,2018-01-01T10:15:00Z,-7.6,-13.9,73.21,CLR,Illinois
3LF,2018-01-01T10:35:00Z,-8.1,-14.8,71.69,CLR,Illinois
3LF,2018-01-01T10:55:00Z,-8.5,-14.8,73.1,CLR,Illinois
3LF,2018-01-01T11:15:00Z,-8.7,-15,73.08,CLR,Illinois
3LF,2018-01-01T11:35:00Z,-9,-15.9,70.86,CLR,Illinois
3LF,2018-01-01T11:55:00Z,-9.4,-15.9,72.26,CLR,Illinois
3LF,2018-01-01T12:15:00Z,-9.6,-16.6,70.42,CLR,Illinois
3LF,2018-01-01T12:35:00Z,-9.8,-16.6,71.12,CLR,Illinois
3LF,2018-01-01T12:55:00Z,-9.9,-16.8,70.74,CLR,Illinois
3LF,2018-01-01T13:15:00Z,-9.9,-17,70.02,CLR,Illinois
3LF,2018-01-01T13:35:00Z,-9.8,-17,69.68,CLR,Illinois
3LF,2018-01-01T13:55:00Z,-9.6,-17.1,68.65,CLR,Illinois
3LF,2018-01-01T14:15:00Z,-9,-17.1,66.65,CLR,Illinois
3LF,2018-01-01T14:35:00Z,-8.5,-16.8,66.04,CLR,Illinois
3LF,2018-01-01T14:55:00Z,-7.6,-16.1,65.5,CLR,Illinois
3LF,2018-01-01T15:15:00Z,-6.5,-15.5,64.01,CLR,Illinois
3LF,2018-01-01T15:35:00Z,-5.3,-14.8,62.58,CLR,Illinois
3LF,2018-01-01T15:55:00Z,-4.2,-13.7,62.75,CLR,Illinois
3LF,2018-01-01T16:15:00Z,-3.8,-13.7,61.56,CLR,Illinois
3LF,2018-01-01T16:35:00Z,-2.2,-12.6,60.27,CLR,Illinois
3LF,2018-01-01T16:55:00Z,-1.1,-12.1,58.66,CLR,Illinois
3LF,2018-01-01T17:15:00Z,0.1,-11.6,56.84,CLR,Illinois
3LF,2018-01-01T17:35:00Z,1.2,-11,55.62,CLR,Illinois
3LF,2018-01-01T17:55:00Z,2.3,-9.9,55.8,CLR,Illinois
3LF,2018-01-01T18:15:00Z,3,-9.2,55.92,CLR,Illinois
3LF,2018-01-01T18:35:00Z,4.1,-8.1,56.09,CLR,Illinois
3LF,2018-01-01T18:55:00Z,4.6,-8.3,54.29,CLR,Illinois
3LF,2018-01-01T19:15:00Z,5.4,-7.8,53.63,CLR,Illinois
3LF,2018-01-01T19:35:00Z,5.9,-6.9,54.76,CLR,Illinois
3LF,2018-01-01T19:55:00Z,6.3,-6.9,53.78,CLR,Illinois
3LF,2018-01-01T20:15:00Z,6.6,-6.2,54.88,CLR,Illinois
3LF,2018-01-01T20:35:00Z,6.8,-6.5,53.6,CLR,Illinois
