station,valid,tmpf,dwpf,relh,skyc1,state
AAA,2018-01-01T00:15:00Z,2.3,-4.2,73.61,CLR,Illinois
AAA,2018-01-01T00:35:00Z,2.3,-4.4,72.91,CLR,Illinois
AAA,2018-01-01T00:55:00Z,1.4,-4.9,74.22,CLR,Illinois
AAA,2018-01-01T01:15:00Z,1.2,-5.1,74.2,CLR,Illinois
AAA,2018-01-01T01:35:00Z,0.7,-5.4,74.86,CLR,Illinois
AAA,2018-01-01T01:55:00Z,0.5,-5.4,75.56,CLR,Illinois
AAA,2018-01-01T02:15:00Z,0.3,-5.8,74.82,CLR,Illinois
AAA,2018-01-01T02:35:00Z,-0.4,-6.3,75.47,CLR,Illinois
AAA,2018-01-01T02:55:00Z,-0.6,-6.7,74.72,CLR,Illinois
AAA,2018-01-01T03:15:00Z,-1.3,-7.6,73.92,CLR,Illinois
AAA,2018-01-01T03:35:00Z,-1.5,-7.6,74.62,CLR,Illinois
AAA,2018-01-01T03:55:00Z,-1.8,-8,74.23,CLR,Illinois
AAA,2018-01-01T04:15:00Z,-3.1,-8.5,77.05,CLR,Illinois
AAA,2018-01-01T04:35:00Z,-3.3,-9.2,75.16,CLR,Illinois
AAA,2018-01-01T04:55:00Z,-4,-9.6,76.2,CLR,Illinois
AAA,2018-01-01T05:15:00Z,-4.5,-10.3,75.4,CLR,Illinois
AAA,2018-01-01T05:35:00Z,-5.3,-11.2,74.95,CLR,Illinois
AAA,2018-01-01T05:55:00Z,-5.8,-11.7,74.89,CLR,Illinois
AAA,2018-01-01T06:15:00Z,-6,-12.1,74.13,CLR,Illinois
AAA,2018-01-01T06:35:00Z,-6.7,-12.6,74.79,CLR,Illinois
AAA,2018-01-01T06:55:00Z,-7.2,-13.2,74.36,CLR,Illinois
AAA,2018-01-01T07:15:00Z,-7.6,-13.7,73.95,CLR,Illinois
AAA,2018-01-01T07:35:00Z,-8.1,-14.1,74.26,CLR,Illinois
AAA,2018-01-01T07:55:00Z,-8.7,-14.8,73.82,CLR,Illinois
AAA,2018-01-01T08:15:00Z,-9,-15.2,73.42,CLR,Illinois
AAA,2018-01-01T08:35:00Z,-9.4,-15.3,74.49,CLR,Illinois
AAA,2018-01-01T08:55:00Z,-9.8,-15.9,73.7,CLR,Illinois
AAA,2018-01-01T09:15:00Z,-10.3,-16.1,74.77,CLR,Illinois
AAA,2018-01-01T09:35:00Z,-10.5,-16.2,75.13,CLR,Illinois
AAA,2018-01-01T09:55:00Z,-10.7,-16.6,74.35,CLR,Illinois
AAA,2018-01-01T10:15:00Z,-11.2,-17.1,74.29,CLR,Illinois
AAA,2018-01-01T10:35:00Z,-11.4,-17.3,74.27,CLR,Illinois
AAA,2018-01-01T10:55:00Z,-12.1,-17.9,74.57,CLR,Illinois
AAA,2018-01-01T11:15:00Z,-12.1,-17.9,74.57,CLR,Illinois
AAA,2018-01-01T11:35:00Z,-12.3,-18.4,73.41,CLR,Illinois
AAA,2018-01-01T11:55:00Z,-12.8,-18.8,73.73,CLR,Illinois
AAA,2018-01-01T12:15:00Z,-13,-18.8,74.47,CLR,Illinois
AAA,2018-01-01T12:35:00Z,-13,-19.3,72.57,CLR,Illinois
AAA,2018-01-01T12:55:00Z,-13,-19.3,72.57,CLR,Illinois
AAA,2018-01-01T13:15:00Z,-13,-19.3,72.57,CLR,Illinois
AAA,2018-01-01T13:35:00Z,-13.2,-19.3,73.3,CLR,Illinois
AAA,2018-01-01T13:55:00Z,-13,-19.3,72.57,CLR,Illinois
AAA,2018-01-01T14:15:00Z,-12.3,-19.3,70.08,CLR,Illinois
AAA,2018-01-01T14:35:00Z,-12.1,-19.3,69.38,CLR,Illinois
AAA,2018-01-01T14:55:00Z,-11.4,-19.1,67.7,CLR,Illinois
AAA,2018-01-01T15:15:00Z,-10.7,-18.8,66.42,CLR,Illinois
AAA,2018-01-01T15:35:00Z,-10.1,-18.4,65.82,CLR,Illinois
AAA,2018-01-01T15:55:00Z,-9.4,-17.7,65.92,CLR,Illinois
AAA,2018-01-01T16:15:00Z,-8.9,-17.5,64.98,CLR,Illinois
AAA,2018-01-01T16:35:00Z,-7.8,-16.2,65.8,CLR,Illinois
AAA,2018-01-01T16:55:00Z,-7.1,-15.7,65.24,CLR,Illinois
AAA,2018-01-01T17:15:00Z,-6.5,-15.3,64.66,CLR,Illinois
AAA,2018-01-01T17:35:00Z,-5.3,-14.1,64.83,CLR,Illinois
AAA,2018-01-01T17:55:00Z,-5.3,-14.3,64.18,CLR,Illinois
AAA,2018-01-01T18:15:00Z,-4.2,-13.5,63.38,CLR,Illinois
AAA,2018-01-01T18:35:00Z,-3.3,-12.8,62.88,CLR,Illinois
AAA,2018-01-01T18:55:00Z,-2.7,-12.3,62.65,CLR,Illinois
AAA,2018-01-01T19:15:00Z,-2.2,-12.1,61.8,CLR,Illinois
AAA,2018-01-01T19:35:00Z,-1.5,-11.2,62.52,CLR,Illinois
