station,valid,tmpf,dwpf,relh,skyc1,state
AJG,2018-01-01T00:15:00Z,7.3,-1.3,67.19,CLR,Illinois
AJG,2018-01-01T00:35:00Z,6.8,-1.3,68.73,CLR,Illinois
AJG,2018-01-01T00:55:00Z,6.4,-1.7,68.68,CLR,Illinois
AJG,2018-01-01T01:15:00Z,5.7,-2.2,69.25,CLR,Illinois
AJG,2018-01-01T01:35:00Z,5,-2.4,70.82,CLR,Illinois
AJG,2018-01-01T01:55:00Z,4.5,-2.6,71.78,CLR,Illinois
AJG,2018-01-01T02:15:00Z,4.1,-2.9,72.07,CLR,Illinois
AJG,2018-01-01T02:35:00Z,3.9,-3.1,72.05,CLR,Illinois
AJG,2018-01-01T02:55:00Z,3.6,-3.5,71.67,CLR,Illinois
AJG,2018-01-01T03:15:00Z,3.4,-3.5,72.34,CLR,Illinois
AJG,2018-01-01T03:35:00Z,3.2,-3.5,73.01,CLR,Illinois
AJG,2018-01-01T03:55:00Z,3.2,-3.3,73.71,CLR,Illinois
AJG,2018-01-01T04:15:00Z,3.2,-3.1,74.42,CLR,Illinois
AJG,2018-01-01T04:35:00Z,3.2,-3.3,73.71,CLR,Illinois
AJG,2018-01-01T04:55:00Z,3.2,-3.1,74.42,CLR,Illinois
AJG,2018-01-01T05:15:00Z,3,-3.1,75.11,CLR,Illinois
AJG,2018-01-01T05:35:00Z,3,-3.1,75.11,CLR,Illinois
AJG,2018-01-01T05:55:00Z,2.8,-3.3,75.08,CLR,Illinois
AJG,2018-01-01T06:15:00Z,3,-3.3,74.39,CLR,Illinois
AJG,2018-01-01T06:35:00Z,3.2,-3.3,73.71,CLR,Illinois
AJG,2018-01-01T06:55:00Z,3.6,-3.5,71.67,CLR,Illinois
AJG,2018-01-01T07:15:00Z,3.4,-3.6,71.99,CLR,Illinois
AJG,2018-01-01T07:35:00Z,3.2,-4,71.29,CLR,Illinois
AJG,2018-01-01T07:55:00Z,3,-4,71.95,CLR,Illinois
AJG,2018-01-01T08:15:00Z,2.8,-4,72.62,CLR,Illinois
AJG,2018-01-01T08:35:00Z,2.3,-4.5,72.56,CLR,Illinois
AJG,2018-01-01T08:55:00Z,2.3,-4.9,71.18,CLR,Illinois
AJG,2018-01-01T09:15:00Z,1.9,-5.4,70.79,CLR,Illinois
AJG,2018-01-01T09:35:00Z,1.4,-5.6,71.76,CLR,Illinois
AJG,2018-01-01T09:55:00Z,1.2,-6,71.05,CLR,Illinois
AJG,2018-01-01T10:15:00Z,0.9,-6.2,71.35,CLR,Illinois
AJG,2018-01-01T10:35:00Z,0.5,-6.9,70.28,CLR,Illinois
