station,valid,tmpf,dwpf,relh,skyc1,state
BLV,2018-01-01T00:56:00Z,8.2,-2.2,61.82,FEW,Illinois
BLV,2018-01-01T01:56:00Z,7,-3.1,62.54,CLR,Illinois
BLV,2018-01-01T02:56:00Z,5.9,-4,62.98,CLR,Illinois
BLV,2018-01-01T03:56:00Z,4.6,-4.5,65.25,CLR,Illinois
BLV,2018-01-01T04:56:00Z,3.9,-5.1,65.47,CLR,Illinois
BLV,2018-01-01T05:56:00Z,2.7,-5.6,67.55,CLR,Illinois
BLV,2018-01-01T06:56:00Z,1.8,-7.8,63.31,CLR,Illinois
BLV,2018-01-01T07:56:00Z,0.9,-8,65.38,CLR,Illinois
BLV,2018-01-01T08:56:00Z,-0.6,-9.6,64.85,CLR,Illinois
BLV,2018-01-01T09:56:00Z,-2.4,-10.7,66.88,CLR,Illinois
BLV,2018-01-01T10:56:00Z,-3.3,-12.5,63.83,CLR,Illinois
BLV,2018-01-01T11:56:00Z,-4,-13.2,63.73,CLR,Illinois
BLV,2018-01-01T12:56:00Z,-5.4,-15.5,60.7,CLR,Illinois
BLV,2018-01-01T13:56:00Z,-4.7,-14.8,60.8,CLR,Illinois
BLV,2018-01-01T14:56:00Z,-2,-13.7,56.5,CLR,Illinois
BLV,2018-01-01T15:56:00Z,1,-13.7,49.07,CLR,Illinois
BLV,2018-01-01T16:56:00Z,4.3,-13,43.62,CLR,Illinois
BLV,2018-01-01T17:56:00Z,6.3,-13,39.81,CLR,Illinois
BLV,2018-01-01T18:56:00Z,8.1,-11.4,39.74,CLR,Illinois
BLV,2018-01-01T19:56:00Z,9,-11,38.93,CLR,Illinois
BLV,2018-01-01T20:56:00Z,9.7,-10.8,38.1,CLR,Illinois
BLV,2018-01-01T21:56:00Z,9.3,-10.3,39.76,CLR,Illinois
BLV,2018-01-01T22:56:00Z,6.3,-9.8,46.66,CLR,Illinois
BLV,2018-01-01T23:56:00Z,3.2,-9,55.95,CLR,Illinois
BLV,2018-01-02T00:56:00Z,4.1,-8.5,55.01,CLR,Illinois
BLV,2018-01-02T01:56:00Z,4.6,-8.5,53.76,CLR,Illinois
BLV,2018-01-02T02:56:00Z,2.7,-8.5,58.68,CLR,Illinois
BLV,2018-01-02T03:56:00Z,2.5,-8.3,59.8,CLR,Illinois
BLV,2018-01-02T04:56:00Z,1.9,-9.2,58.84,CLR,Illinois
BLV,2018-01-02T05:56:00Z,1.2,-9.6,59.61,CLR,Illinois
BLV,2018-01-02T06:56:00Z,0.5,-9.9,60.68,CLR,Illinois
BLV,2018-01-02T07:56:00Z,0.3,-9.8,61.56,CLR,Illinois
BLV,2018-01-02T08:56:00Z,-0.8,-9.8,64.82,CLR,Illinois
BLV,2018-01-02T09:56:00Z,-1.1,-10.8,62.58,CLR,Illinois
BLV,2018-01-02T10:56:00Z,-1.3,-10.7,63.48,CLR,Illinois
