station,valid,tmpf,dwpf,relh,skyc1,state
C09,2018-01-01T00:15:00Z,-2.7,-8.7,74.86,CLR,Illinois
C09,2018-01-01T00:35:00Z,-1.8,-8.5,72.44,CLR,Illinois
C09,2018-01-01T00:55:00Z,-4,-10.3,73.62,CLR,Illinois
C09,2018-01-01T01:15:00Z,-4.9,-10.8,74.99,CLR,Illinois
C09,2018-01-01T01:35:00Z,-1.8,-8.1,73.87,CLR,Illinois
C09,2018-01-01T01:55:00Z,-5.1,-10.8,75.71,CLR,Illinois
C09,2018-01-01T02:15:00Z,-4.4,-11,72.49,CLR,Illinois
C09,2018-01-01T02:35:00Z,-4.4,-11.2,71.77,CLR,Illinois
C09,2018-01-01T02:55:00Z,-4.4,-11.6,70.36,CLR,Illinois
C09,2018-01-01T03:15:00Z,-3.8,-11.4,69.05,CLR,Illinois
C09,2018-01-01T03:35:00Z,-3.6,-11.2,69.08,CLR,Illinois
C09,2018-01-01T03:55:00Z,-5.8,-13,70.19,CLR,Illinois
C09,2018-01-01T04:15:00Z,-6.7,-13.9,70.07,CLR,Illinois
C09,2018-01-01T04:35:00Z,-8.1,-14.6,72.42,CLR,Illinois
C09,2018-01-01T04:55:00Z,-9.6,-16.1,72.24,CLR,Illinois
C09,2018-01-01T05:15:00Z,-9.9,-16.6,71.47,CLR,Illinois
C09,2018-01-01T05:35:00Z,-10.5,-17,72.13,CLR,Illinois
C09,2018-01-01T05:55:00Z,-9.9,-17,70.02,CLR,Illinois
C09,2018-01-01T06:15:00Z,-10.7,-17.3,71.74,CLR,Illinois
C09,2018-01-01T06:35:00Z,-8,-15,70.62,CLR,Illinois
C09,2018-01-01T06:55:00Z,-8.3,-15.9,68.47,CLR,Illinois
C09,2018-01-01T07:15:00Z,-8,-15.9,67.47,CLR,Illinois
C09,2018-01-01T07:35:00Z,-9.4,-17.3,67.28,CLR,Illinois
C09,2018-01-01T07:55:00Z,-9.6,-17.3,67.95,CLR,Illinois
C09,2018-01-01T08:15:00Z,-10.1,-17.9,67.53,CLR,Illinois
C09,2018-01-01T08:35:00Z,-9.8,-17.3,68.62,CLR,Illinois
C09,2018-01-01T08:55:00Z,-9.2,-17.3,66.62,CLR,Illinois
C09,2018-01-01T09:15:00Z,-9.4,-17.5,66.6,CLR,Illinois
C09,2018-01-01T09:35:00Z,-9.8,-17.7,67.23,CLR,Illinois
C09,2018-01-01T09:55:00Z,-10.3,-18.4,66.47,CLR,Illinois
C09,2018-01-01T10:15:00Z,-10.3,-18.4,66.47,CLR,Illinois
C09,2018-01-01T10:35:00Z,-10.7,-18.6,67.1,CLR,Illinois
C09,2018-01-01T10:55:00Z,-11.2,-18.9,67.73,CLR,Illinois
C09,2018-01-01T11:15:00Z,-12.1,-19.3,69.38,CLR,Illinois
C09,2018-01-01T11:35:00Z,-12.5,-19.3,70.78,CLR,Illinois
C09,2018-01-01T11:55:00Z,-13,-20,69.99,CLR,Illinois
C09,2018-01-01T12:15:00Z,-13.4,-20.2,70.67,CLR,Illinois
C09,2018-01-01T12:35:00Z,-13.4,-20.2,70.67,CLR,Illinois
C09,2018-01-01T12:55:00Z,-13.9,-20.6,70.97,CLR,Illinois
C09,2018-01-01T13:15:00Z,-14.1,-20.7,71.32,CLR,Illinois
C09,2018-01-01T13:35:00Z,-14.1,-20.9,70.58,CLR,Illinois
C09,2018-01-01T13:55:00Z,-13.9,-20.7,70.61,CLR,Illinois
C09,2018-01-01T14:15:00Z,-13.9,-20.7,70.61,CLR,Illinois
C09,2018-01-01T14:35:00Z,-13.4,-20.6,69.21,CLR,Illinois
C09,2018-01-01T14:55:00Z,-12.8,-20.2,68.58,CLR,Illinois
C09,2018-01-01T15:15:00Z,-12.1,-19.5,68.67,CLR,Illinois
C09,2018-01-01T15:35:00Z,-11.2,-18.9,67.73,CLR,Illinois
C09,2018-01-01T15:55:00Z,-9.9,-18.4,65.17,CLR,Illinois
C09,2018-01-01T16:15:00Z,-9.4,-17.9,65.24,CLR,Illinois
C09,2018-01-01T16:35:00Z,-8.7,-17.3,65.01,CLR,Illinois
C09,2018-01-01T16:55:00Z,-8,-16.2,66.45,CLR,Illinois
C09,2018-01-01T17:15:00Z,-7.8,-16.1,66.14,CLR,Illinois
C09,2018-01-01T17:35:00Z,-7.4,-15.9,65.53,CLR,Illinois
C09,2018-01-01T17:55:00Z,-6.9,-15.2,66.26,CLR,Illinois
C09,2018-01-01T18:15:00Z,-6.7,-14.8,66.97,CLR,Illinois
C09,2018-01-01T18:35:00Z,-5.8,-14.3,65.75,CLR,Illinois
C09,2018-01-01T18:55:00Z,-5.6,-14.1,65.78,CLR,Illinois
C09,2018-01-01T19:15:00Z,-5.8,-13.9,67.09,CLR,Illinois
C09,2018-01-01T19:35:00Z,-5.8,-13.9,67.09,CLR,Illinois
C09,2018-01-01T19:55:00Z,-5.8,-13.9,67.09,CLR,Illinois
C09,2018-01-01T20:15:00Z,-5.4,-13.7,66.47,CLR,Illinois
C09,2018-01-01T20:35:00Z,-5.4,-13.5,67.14,CLR,Illinois
C09,2018-01-01T20:55:00Z,-5.8,-14.3,65.75,CLR,Illinois
C09,2018-01-01T21:15:00Z,-5.8,-13.9,67.09,CLR,Illinois
C09,2018-01-01T21:35:00Z,-5.8,-13.9,67.09,CLR,Illinois
C09,2018-01-01T21:55:00Z,-6,-13.9,67.74,CLR,Illinois
C09,2018-01-01T22:15:00Z,-6.7,-14.4,68.33,CLR,Illinois
C09,2018-01-01T22:35:00Z,-7.1,-15,67.59,CLR,Illinois
C09,2018-01-01T22:55:00Z,-7.8,-15,69.94,CLR,Illinois
C09,2018-01-01T23:15:00Z,-8.3,-15.5,69.87,CLR,Illinois
C09,2018-01-01T23:35:00Z,-9.4,-16.1,71.53,CLR,Illinois
C09,2018-01-01T23:55:00Z,-9.4,-16.1,71.53,CLR,Illinois
C09,2018-01-02T00:15:00Z,-10.3,-17.3,70.33,CLR,Illinois
C09,2018-01-02T00:35:00Z,-10.8,-18,69.55,CLR,Illinois
C09,2018-01-02T00:55:00Z,-9.8,-16.6,71.12,CLR,Illinois
C09,2018-01-02T01:15:00Z,-11.4,-18.2,70.92,CLR,Illinois
C09,2018-01-02T01:35:00Z,-11.4,-18.2,70.92,CLR,Illinois
C09,2018-01-02T01:55:00Z,-11.6,-18.4,70.89,CLR,Illinois
C09,2018-01-02T02:15:00Z,-11.2,-17.5,72.79,CLR,Illinois
C09,2018-01-02T02:35:00Z,-11.2,-17.7,72.05,CLR,Illinois
C09,2018-01-02T02:55:00Z,-13,-19.7,71.09,CLR,Illinois
C09,2018-01-02T03:15:00Z,-13,-19.3,72.57,CLR,Illinois
C09,2018-01-02T03:35:00Z,-12.3,-18.4,73.41,CLR,Illinois
C09,2018-01-02T03:55:00Z,-13.2,-19.3,73.3,CLR,Illinois
C09,2018-01-02T04:15:00Z,-13.2,-19.5,72.55,CLR,Illinois
