station,valid,tmpf,dwpf,relh,skyc1,state
CUL,2018-01-01T00:15:00Z,9.5,0.5,66.23,CLR,Illinois
CUL,2018-01-01T00:35:00Z,9.1,0.3,66.8,CLR,Illinois
CUL,2018-01-01T00:55:00Z,8.6,0.1,67.68,CLR,Illinois
CUL,2018-01-01T01:15:00Z,8.1,-0.4,67.61,CLR,Illinois
CUL,2018-01-01T01:35:00Z,7.5,-0.8,68.17,CLR,Illinois
CUL,2018-01-01T01:55:00Z,6.8,-0.6,71.04,CLR,Illinois
CUL,2018-01-01T02:15:00Z,6.4,-0.6,72.34,CLR,Illinois
CUL,2018-01-01T02:35:00Z,5.9,-0.6,74.01,CLR,Illinois
CUL,2018-01-01T02:55:00Z,5.5,-1.3,72.92,CLR,Illinois
CUL,2018-01-01T03:15:00Z,5,-1.7,73.21,CLR,Illinois
CUL,2018-01-01T03:35:00Z,4.6,-1.5,75.27,CLR,Illinois
CUL,2018-01-01T03:55:00Z,4.5,-1.3,76.34,CLR,Illinois
CUL,2018-01-01T04:15:00Z,4.1,-1.8,75.94,CLR,Illinois
CUL,2018-01-01T04:35:00Z,4.1,-1.5,77.02,CLR,Illinois
CUL,2018-01-01T04:55:00Z,3.9,-1.7,77,CLR,Illinois
CUL,2018-01-01T05:15:00Z,3.6,-1.7,78.07,CLR,Illinois
CUL,2018-01-01T05:35:00Z,3.6,-1.7,78.07,CLR,Illinois
CUL,2018-01-01T05:55:00Z,3.6,-1.8,77.71,CLR,Illinois
CUL,2018-01-01T06:15:00Z,3.6,-2.2,76.25,CLR,Illinois
CUL,2018-01-01T06:35:00Z,3.6,-1.8,77.71,CLR,Illinois
CUL,2018-01-01T06:55:00Z,3.2,-1.8,79.15,CLR,Illinois
CUL,2018-01-01T07:15:00Z,3.2,-2.2,77.67,CLR,Illinois
CUL,2018-01-01T07:35:00Z,3,-1.8,79.89,CLR,Illinois
CUL,2018-01-01T07:55:00Z,3,-1.8,79.89,CLR,Illinois
CUL,2018-01-01T08:15:00Z,2.7,-1.8,81.01,CLR,Illinois
CUL,2018-01-01T08:35:00Z,2.7,-2.2,79.48,CLR,Illinois
CUL,2018-01-01T08:55:00Z,2.1,-2.2,81.73,CLR,Illinois
CUL,2018-01-01T09:15:00Z,2.3,-2.6,79.45,CLR,Illinois
CUL,2018-01-01T09:35:00Z,2.3,-3.1,77.58,CLR,Illinois
CUL,2018-01-01T09:55:00Z,2.1,-3.3,77.56,CLR,Illinois
CUL,2018-01-01T10:15:00Z,1.9,-3.5,77.54,CLR,Illinois
CUL,2018-01-01T10:35:00Z,1.4,-4,77.49,CLR,Illinois
CUL,2018-01-01T10:55:00Z,1.2,-4.4,76.73,CLR,Illinois
CUL,2018-01-01T11:15:00Z,1,-4.9,75.62,CLR,Illinois
CUL,2018-01-01T11:35:00Z,0.5,-5.6,74.84,CLR,Illinois
CUL,2018-01-01T11:55:00Z,0.5,-6,73.41,CLR,Illinois
CUL,2018-01-01T12:15:00Z,0.1,-6.7,72.3,CLR,Illinois
CUL,2018-01-01T12:35:00Z,-0.4,-6.7,74.02,CLR,Illinois
CUL,2018-01-01T12:55:00Z,-0.4,-6.3,75.47,CLR,Illinois
CUL,2018-01-01T13:15:00Z,-0.8,-6.7,75.43,CLR,Illinois
CUL,2018-01-01T13:35:00Z,-0.6,-6.7,74.72,CLR,Illinois
CUL,2018-01-01T13:55:00Z,0,-7.2,70.9,CLR,Illinois
CUL,2018-01-01T14:15:00Z,0.1,-6.7,72.3,CLR,Illinois
CUL,2018-01-01T14:35:00Z,0.7,-6.2,72.02,CLR,Illinois
CUL,2018-01-01T14:55:00Z,1.6,-5.6,71.09,CLR,Illinois
CUL,2018-01-01T15:15:00Z,2.5,-5.1,69.85,CLR,Illinois
CUL,2018-01-01T15:35:00Z,3,-5.6,66.62,CLR,Illinois
CUL,2018-01-01T15:55:00Z,3.9,-4.7,66.74,CLR,Illinois
CUL,2018-01-01T16:15:00Z,4.8,-4.7,64.04,CLR,Illinois
CUL,2018-01-01T16:35:00Z,5.4,-5.3,60.53,CLR,Illinois
CUL,2018-01-01T16:55:00Z,6.3,-5.1,58.66,CLR,Illinois
CUL,2018-01-01T17:15:00Z,6.6,-5.6,56.49,CLR,Illinois
CUL,2018-01-01T17:35:00Z,8.4,-5.4,52.58,CLR,Illinois
CUL,2018-01-01T17:55:00Z,8.6,-5.8,51.11,CLR,Illinois
CUL,2018-01-01T18:15:00Z,9.5,-5.6,49.56,CLR,Illinois
CUL,2018-01-01T18:35:00Z,10.2,-6.2,46.66,CLR,Illinois
CUL,2018-01-01T18:55:00Z,10.4,-6.5,45.58,CLR,Illinois
CUL,2018-01-01T19:15:00Z,11.5,-6.5,43.41,CLR,Illinois
CUL,2018-01-01T19:35:00Z,11.7,-7.2,41.59,CLR,Illinois
CUL,2018-01-01T19:55:00Z,11.8,-6.7,42.42,CLR,Illinois
CUL,2018-01-01T20:15:00Z,12.6,-6.7,40.94,CLR,Illinois
CUL,2018-01-01T20:35:00Z,12.7,-6.5,41.16,CLR,Illinois
CUL,2018-01-01T20:55:00Z,12.6,-6.7,40.94,CLR,Illinois
CUL,2018-01-01T21:15:00Z,12.4,-6.7,41.31,CLR,Illinois
CUL,2018-01-01T21:35:00Z,12.4,-6.7,41.31,CLR,Illinois
CUL,2018-01-01T21:55:00Z,12.2,-6.7,41.67,CLR,Illinois
CUL,2018-01-01T22:15:00Z,11.3,-7.2,42.33,CLR,Illinois
CUL,2018-01-01T22:35:00Z,10.4,-6.7,45.14,CLR,Illinois
CUL,2018-01-01T22:55:00Z,8.8,-6.2,49.68,CLR,Illinois
CUL,2018-01-01T23:15:00Z,7.7,-6.3,51.96,CLR,Illinois
CUL,2018-01-01T23:35:00Z,7.2,-6,53.92,CLR,Illinois
CUL,2018-01-01T23:55:00Z,6.6,-6.2,54.88,CLR,Illinois
CUL,2018-01-02T00:15:00Z,5.9,-5.6,58.32,CLR,Illinois
CUL,2018-01-02T00:35:00Z,5.5,-5.4,59.97,CLR,Illinois
CUL,2018-01-02T00:55:00Z,6.1,-5.4,58.35,CLR,Illinois
CUL,2018-01-02T01:15:00Z,6.1,-5.3,58.63,CLR,Illinois
CUL,2018-01-02T01:35:00Z,5.9,-5.1,59.74,CLR,Illinois
CUL,2018-01-02T01:55:00Z,5.9,-4.7,60.9,CLR,Illinois
CUL,2018-01-02T02:15:00Z,5.4,-4.4,63.21,CLR,Illinois
CUL,2018-01-02T02:35:00Z,5.7,-4,63.56,CLR,Illinois
CUL,2018-01-02T02:55:00Z,5,-4.4,64.38,CLR,Illinois
CUL,2018-01-02T03:15:00Z,4.1,-4.5,66.77,CLR,Illinois
CUL,2018-01-02T03:35:00Z,3.6,-4.5,68.32,CLR,Illinois
CUL,2018-01-02T03:55:00Z,3.4,-4.5,68.96,CLR,Illinois
CUL,2018-01-02T04:15:00Z,2.5,-5.1,69.85,CLR,Illinois
CUL,2018-01-02T04:35:00Z,3,-5.1,68.25,CLR,Illinois
CUL,2018-01-02T04:55:00Z,1.8,-5.3,71.46,CLR,Illinois
CUL,2018-01-02T05:15:00Z,2.3,-5.1,70.5,CLR,Illinois
CUL,2018-01-02T05:35:00Z,1.6,-5.3,72.13,CLR,Illinois
CUL,2018-01-02T05:55:00Z,1.4,-4.9,74.22,CLR,Illinois
CUL,2018-01-02T06:15:00Z,0.9,-5.4,74.16,CLR,Illinois
CUL,2018-01-02T06:35:00Z,1,-5.8,72.41,CLR,Illinois
CUL,2018-01-02T06:55:00Z,0.9,-6,72.05,CLR,Illinois
CUL,2018-01-02T07:15:00Z,1.2,-5.6,72.43,CLR,Illinois
