station,valid,tmpf,dwpf,relh,skyc1,state
DNV,2018-01-01T00:15:00Z,-2.7,-7.6,78.99,CLR,Illinois
DNV,2018-01-01T00:35:00Z,-2.7,-7.8,78.22,CLR,Illinois
DNV,2018-01-01T00:55:00Z,-2.6,-8,77.1,CLR,Illinois
DNV,2018-01-01T01:15:00Z,-3.6,-8.5,78.91,CLR,Illinois
DNV,2018-01-01T01:35:00Z,-4,-9,78.48,CLR,Illinois
DNV,2018-01-01T01:55:00Z,-4.5,-9.4,78.82,CLR,Illinois
DNV,2018-01-01T02:15:00Z,-5.4,-10.3,78.74,CLR,Illinois
DNV,2018-01-01T02:35:00Z,-6,-10.5,80.25,CLR,Illinois
DNV,2018-01-01T02:55:00Z,-6.5,-10.7,81.41,CLR,Illinois
DNV,2018-01-01T03:15:00Z,-6,-10.3,81.05,CLR,Illinois
DNV,2018-01-01T03:35:00Z,-4.9,-9.4,80.35,CLR,Illinois
DNV,2018-01-01T03:55:00Z,-4,-9.4,76.96,CLR,Illinois
DNV,2018-01-01T04:15:00Z,-3.6,-9.6,74.76,CLR,Illinois
DNV,2018-01-01T04:35:00Z,-3.6,-9.6,74.76,CLR,Illinois
DNV,2018-01-01T04:55:00Z,-3.6,-9.4,75.5,CLR,Illinois
DNV,2018-01-01T05:15:00Z,-3.6,-9.4,75.5,CLR,Illinois
DNV,2018-01-01T05:35:00Z,-4.2,-9.8,76.18,CLR,Illinois
DNV,2018-01-01T05:55:00Z,-4.2,-10.3,74.33,CLR,Illinois
DNV,2018-01-01T06:15:00Z,-4.9,-10.8,74.99,CLR,Illinois
DNV,2018-01-01T06:35:00Z,-4.9,-11.2,73.52,CLR,Illinois
DNV,2018-01-01T06:55:00Z,-5.3,-11.9,72.38,CLR,Illinois
DNV,2018-01-01T07:15:00Z,-6,-12.6,72.3,CLR,Illinois
DNV,2018-01-01T07:35:00Z,-6.5,-13.2,71.88,CLR,Illinois
DNV,2018-01-01T07:55:00Z,-6.9,-13.7,71.47,CLR,Illinois
DNV,2018-01-01T08:15:00Z,-8,-14.8,71.34,CLR,Illinois
DNV,2018-01-01T08:35:00Z,-8.7,-15.3,71.98,CLR,Illinois
DNV,2018-01-01T08:55:00Z,-8.7,-15.3,71.98,CLR,Illinois
DNV,2018-01-01T09:15:00Z,-9.6,-16.1,72.24,CLR,Illinois
DNV,2018-01-01T09:35:00Z,-10.1,-16.8,71.44,CLR,Illinois
DNV,2018-01-01T09:55:00Z,-10.3,-17.1,71.06,CLR,Illinois
DNV,2018-01-01T10:15:00Z,-10.8,-17.7,70.63,CLR,Illinois
DNV,2018-01-01T10:35:00Z,-12.1,-18.4,72.68,CLR,Illinois
DNV,2018-01-01T10:55:00Z,-13,-19.3,72.57,CLR,Illinois
DNV,2018-01-01T11:15:00Z,-13.7,-19.5,74.39,CLR,Illinois
DNV,2018-01-01T11:35:00Z,-14.1,-19.7,75.12,CLR,Illinois
DNV,2018-01-01T11:55:00Z,-14.1,-20,73.96,CLR,Illinois
DNV,2018-01-01T12:15:00Z,-14.3,-20,74.71,CLR,Illinois
DNV,2018-01-01T12:35:00Z,-14.3,-20.2,73.94,CLR,Illinois
DNV,2018-01-01T12:55:00Z,-14.8,-20.7,73.88,CLR,Illinois
DNV,2018-01-01T13:15:00Z,-14.8,-20.6,74.27,CLR,Illinois
DNV,2018-01-01T13:35:00Z,-14.6,-20.6,73.52,CLR,Illinois
DNV,2018-01-01T13:55:00Z,-14.4,-20.7,72.41,CLR,Illinois
DNV,2018-01-01T14:15:00Z,-13.9,-20.4,71.72,CLR,Illinois
DNV,2018-01-01T14:35:00Z,-13,-19.8,70.72,CLR,Illinois
DNV,2018-01-01T14:55:00Z,-12.3,-19.5,69.36,CLR,Illinois
DNV,2018-01-01T15:15:00Z,-11.4,-19.3,67.01,CLR,Illinois
DNV,2018-01-01T15:35:00Z,-10.7,-19.3,64.72,CLR,Illinois
DNV,2018-01-01T15:55:00Z,-10.1,-18.8,64.48,CLR,Illinois
DNV,2018-01-01T16:15:00Z,-9,-18.4,62.35,CLR,Illinois
DNV,2018-01-01T16:35:00Z,-7.6,-16.8,63.2,CLR,Illinois
DNV,2018-01-01T16:55:00Z,-7.2,-17.1,61.04,CLR,Illinois
DNV,2018-01-01T17:15:00Z,-6.7,-16.8,60.5,CLR,Illinois
DNV,2018-01-01T17:35:00Z,-5.8,-16.1,60.02,CLR,Illinois
DNV,2018-01-01T17:55:00Z,-5.4,-16.2,58.58,CLR,Illinois
DNV,2018-01-01T18:15:00Z,-4.9,-15.5,59.25,CLR,Illinois
DNV,2018-01-01T18:35:00Z,-4.2,-15,58.77,CLR,Illinois
DNV,2018-01-01T18:55:00Z,-4.2,-14.4,60.57,CLR,Illinois
DNV,2018-01-01T19:15:00Z,-4.4,-14.8,59.94,CLR,Illinois
DNV,2018-01-01T19:35:00Z,-4,-14.4,60,CLR,Illinois
DNV,2018-01-01T19:55:00Z,-4,-14.3,60.3,CLR,Illinois
DNV,2018-01-01T20:15:00Z,-3.6,-13.9,60.36,CLR,Illinois
DNV,2018-01-01T20:35:00Z,-4,-13.9,61.53,CLR,Illinois
