station,valid,tmpf,dwpf,relh,skyc1,state
ENL,2018-01-01T00:15:00Z,9.5,2.3,72.02,OVC,Illinois
ENL,2018-01-01T00:35:00Z,9.3,1.8,71,OVC,Illinois
ENL,2018-01-01T00:55:00Z,8.8,1,69.96,OVC,Illinois
ENL,2018-01-01T01:15:00Z,8.6,1.2,71.25,OVC,Illinois
ENL,2018-01-01T01:35:00Z,8.1,1.2,72.87,BKN,Illinois
ENL,2018-01-01T01:55:00Z,7.7,0.9,73.17,SCT,Illinois
ENL,2018-01-01T02:15:00Z,6.8,0.5,74.8,CLR,Illinois
ENL,2018-01-01T02:35:00Z,6.8,-0.4,71.71,CLR,Illinois
ENL,2018-01-01T02:55:00Z,6.4,-0.8,71.66,CLR,Illinois
ENL,2018-01-01T03:15:00Z,6.3,-1.3,70.31,CLR,Illinois
ENL,2018-01-01T03:35:00Z,5.9,-1.3,71.6,CLR,Illinois
ENL,2018-01-01T03:55:00Z,5.7,-1.3,72.26,CLR,Illinois
ENL,2018-01-01T04:15:00Z,5.5,-1.3,72.92,CLR,Illinois
ENL,2018-01-01T04:35:00Z,5.2,-1.1,74.63,CLR,Illinois
ENL,2018-01-01T04:55:00Z,5,-1.3,74.61,CLR,Illinois
ENL,2018-01-01T05:15:00Z,4.6,-1.3,75.99,CLR,Illinois
ENL,2018-01-01T05:35:00Z,4.5,-1.8,74.56,CLR,Illinois
ENL,2018-01-01T05:55:00Z,4.1,-2.2,74.51,CLR,Illinois
ENL,2018-01-01T06:15:00Z,3.9,-2.2,75.2,CLR,Illinois
ENL,2018-01-01T06:35:00Z,3.6,-1.8,77.71,CLR,Illinois
ENL,2018-01-01T06:55:00Z,3.2,-2.2,77.67,CLR,Illinois
ENL,2018-01-01T07:15:00Z,3,-3.1,75.11,CLR,Illinois
ENL,2018-01-01T07:35:00Z,2.5,-3.3,76.14,CLR,Illinois
ENL,2018-01-01T07:55:00Z,2.3,-4,74.32,CLR,Illinois
ENL,2018-01-01T08:15:00Z,1.9,-4.2,74.99,CLR,Illinois
ENL,2018-01-01T08:35:00Z,1.4,-4.5,75.66,CLR,Illinois
ENL,2018-01-01T08:55:00Z,1,-4.9,75.62,CLR,Illinois
ENL,2018-01-01T09:15:00Z,0.5,-5.6,74.84,CLR,Illinois
