station,valid,tmpf,dwpf,relh,skyc1,state
FOA,2018-01-01T00:15:00Z,7.3,-1.3,67.19,CLR,Illinois
FOA,2018-01-01T00:35:00Z,6.8,-1.3,68.73,CLR,Illinois
FOA,2018-01-01T00:55:00Z,6.6,-1.3,69.36,CLR,Illinois
FOA,2018-01-01T01:15:00Z,6.3,-1.3,70.31,CLR,Illinois
FOA,2018-01-01T01:35:00Z,5.9,-1.3,71.6,CLR,Illinois
FOA,2018-01-01T01:55:00Z,5.7,-1.8,70.57,CLR,Illinois
FOA,2018-01-01T02:15:00Z,5.7,-1.7,70.91,CLR,Illinois
FOA,2018-01-01T02:35:00Z,5.5,-1.7,71.56,CLR,Illinois
FOA,2018-01-01T02:55:00Z,5.4,-1.8,71.55,CLR,Illinois
FOA,2018-01-01T03:15:00Z,5.4,-1.7,71.88,CLR,Illinois
FOA,2018-01-01T03:35:00Z,5,-1.7,73.21,CLR,Illinois
FOA,2018-01-01T03:55:00Z,5,-1.5,73.91,CLR,Illinois
FOA,2018-01-01T04:15:00Z,5.4,-1.7,71.88,CLR,Illinois
FOA,2018-01-01T04:35:00Z,5.5,-1.5,72.24,CLR,Illinois
FOA,2018-01-01T04:55:00Z,5.4,-1.3,73.26,CLR,Illinois
FOA,2018-01-01T05:15:00Z,5.2,-2,71.52,CLR,Illinois
FOA,2018-01-01T05:35:00Z,5,-2.2,71.5,CLR,Illinois
FOA,2018-01-01T05:55:00Z,4.8,-2.2,72.16,CLR,Illinois
FOA,2018-01-01T06:15:00Z,4.6,-2.2,72.82,CLR,Illinois
FOA,2018-01-01T06:35:00Z,4.1,-2.6,73.11,CLR,Illinois
FOA,2018-01-01T06:55:00Z,4.1,-3.1,71.39,CLR,Illinois
FOA,2018-01-01T07:15:00Z,3.7,-3.3,72.03,CLR,Illinois
FOA,2018-01-01T07:35:00Z,3.2,-3.5,73.01,CLR,Illinois
FOA,2018-01-01T07:55:00Z,3.2,-4,71.29,CLR,Illinois
FOA,2018-01-01T08:15:00Z,2.8,-4.9,69.55,CLR,Illinois
FOA,2018-01-01T08:35:00Z,2.5,-5.1,69.85,CLR,Illinois
FOA,2018-01-01T08:55:00Z,2.1,-5.4,70.13,CLR,Illinois
FOA,2018-01-01T09:15:00Z,1.8,-6.2,68.42,CLR,Illinois
FOA,2018-01-01T09:35:00Z,1.2,-6.9,68.02,CLR,Illinois
FOA,2018-01-01T09:55:00Z,1,-7.1,67.99,CLR,Illinois
FOA,2018-01-01T10:15:00Z,0.5,-8,66.61,CLR,Illinois
FOA,2018-01-01T10:35:00Z,0.1,-7.8,68.54,CLR,Illinois
FOA,2018-01-01T10:55:00Z,-0.4,-8.3,68.47,CLR,Illinois
FOA,2018-01-01T11:15:00Z,-0.4,-8.3,68.47,CLR,Illinois
FOA,2018-01-01T11:35:00Z,-0.9,-9.4,66.42,CLR,Illinois
FOA,2018-01-01T11:55:00Z,-1.3,-9.4,67.69,CLR,Illinois
FOA,2018-01-01T12:15:00Z,-1.3,-9.4,67.69,CLR,Illinois
FOA,2018-01-01T12:35:00Z,-1.8,-9.4,69.31,CLR,Illinois
FOA,2018-01-01T12:55:00Z,-2,-8.9,71.71,CLR,Illinois
FOA,2018-01-01T13:15:00Z,-2.4,-8.7,73.8,CLR,Illinois
FOA,2018-01-01T13:35:00Z,-2.6,-9.4,71.99,CLR,Illinois
FOA,2018-01-01T13:55:00Z,-2.2,-9.4,70.63,CLR,Illinois
FOA,2018-01-01T14:15:00Z,-2.2,-10.3,67.57,CLR,Illinois
FOA,2018-01-01T14:35:00Z,-1.5,-9.4,68.33,CLR,Illinois
