station,valid,tmpf,dwpf,relh,skyc1,state
FWC,2018-01-01T00:15:00Z,7.7,-0.8,67.56,CLR,Illinois
FWC,2018-01-01T00:35:00Z,7.5,-0.9,67.85,CLR,Illinois
FWC,2018-01-01T00:55:00Z,6.8,-1.5,68.09,CLR,Illinois
FWC,2018-01-01T01:15:00Z,6.3,-1.5,69.65,CLR,Illinois
FWC,2018-01-01T01:35:00Z,5.7,-2.2,69.25,CLR,Illinois
FWC,2018-01-01T01:55:00Z,5.4,-2,70.87,CLR,Illinois
FWC,2018-01-01T02:15:00Z,5,-2.2,71.5,CLR,Illinois
FWC,2018-01-01T02:35:00Z,5,-2.2,71.5,CLR,Illinois
FWC,2018-01-01T02:55:00Z,4.6,-2.2,72.82,CLR,Illinois
FWC,2018-01-01T03:15:00Z,4.6,-2.2,72.82,CLR,Illinois
FWC,2018-01-01T03:35:00Z,4.1,-2.2,74.51,CLR,Illinois
FWC,2018-01-01T03:55:00Z,4.1,-2.2,74.51,CLR,Illinois
FWC,2018-01-01T04:15:00Z,4.1,-2.2,74.51,CLR,Illinois
FWC,2018-01-01T04:35:00Z,4.1,-2.2,74.51,CLR,Illinois
FWC,2018-01-01T04:55:00Z,4.1,-2.2,74.51,CLR,Illinois
FWC,2018-01-01T05:15:00Z,4.1,-2.2,74.51,CLR,Illinois
FWC,2018-01-01T05:35:00Z,3.9,-2.2,75.2,CLR,Illinois
FWC,2018-01-01T05:55:00Z,3.7,-2,76.62,CLR,Illinois
FWC,2018-01-01T06:15:00Z,3.7,-2.2,75.9,CLR,Illinois
FWC,2018-01-01T06:35:00Z,3.6,-2.2,76.25,CLR,Illinois
FWC,2018-01-01T06:55:00Z,3.4,-2.4,76.23,CLR,Illinois
FWC,2018-01-01T07:15:00Z,3.2,-2.7,75.85,CLR,Illinois
FWC,2018-01-01T07:35:00Z,3,-2.7,76.55,CLR,Illinois
FWC,2018-01-01T07:55:00Z,3,-3.1,75.11,CLR,Illinois
FWC,2018-01-01T08:15:00Z,2.7,-4,72.95,CLR,Illinois
FWC,2018-01-01T08:35:00Z,2.3,-4.5,72.56,CLR,Illinois
FWC,2018-01-01T08:55:00Z,2.3,-4.9,71.18,CLR,Illinois
FWC,2018-01-01T09:15:00Z,1.8,-4.9,72.85,CLR,Illinois
FWC,2018-01-01T09:35:00Z,1.6,-5.4,71.78,CLR,Illinois
FWC,2018-01-01T09:55:00Z,1.4,-6.2,69.71,CLR,Illinois
FWC,2018-01-01T10:15:00Z,0.9,-5.8,72.75,CLR,Illinois
FWC,2018-01-01T10:35:00Z,0.5,-6.3,72.35,CLR,Illinois
FWC,2018-01-01T10:55:00Z,0.1,-6.7,72.3,CLR,Illinois
FWC,2018-01-01T11:15:00Z,0,-6.5,73.35,CLR,Illinois
FWC,2018-01-01T11:35:00Z,-0.4,-6.9,73.31,CLR,Illinois
FWC,2018-01-01T11:55:00Z,-0.9,-7.6,72.54,CLR,Illinois
FWC,2018-01-01T12:15:00Z,-1.3,-8,72.49,CLR,Illinois
FWC,2018-01-01T12:35:00Z,-1.7,-8.5,72.09,CLR,Illinois
FWC,2018-01-01T12:55:00Z,-2.2,-8.5,73.82,CLR,Illinois
FWC,2018-01-01T13:15:00Z,-2.4,-9,72.72,CLR,Illinois
FWC,2018-01-01T13:35:00Z,-2.4,-9,72.72,CLR,Illinois
FWC,2018-01-01T13:55:00Z,-2.4,-9.4,71.31,CLR,Illinois
FWC,2018-01-01T14:15:00Z,-1.5,-8.7,70.72,CLR,Illinois
FWC,2018-01-01T14:35:00Z,-1.3,-8.9,69.37,CLR,Illinois
FWC,2018-01-01T14:55:00Z,-0.4,-8.3,68.47,CLR,Illinois
FWC,2018-01-01T15:15:00Z,0.1,-8.3,66.88,CLR,Illinois
FWC,2018-01-01T15:35:00Z,0.5,-8.5,65,CLR,Illinois
FWC,2018-01-01T15:55:00Z,1.9,-7.6,63.63,CLR,Illinois
FWC,2018-01-01T16:15:00Z,3.2,-7.1,61.39,CLR,Illinois
FWC,2018-01-01T16:35:00Z,4.5,-7.1,57.82,CLR,Illinois
FWC,2018-01-01T16:55:00Z,5.4,-7.4,54.68,CLR,Illinois
FWC,2018-01-01T17:15:00Z,5.9,-7.6,52.93,CLR,Illinois
FWC,2018-01-01T17:35:00Z,7.5,-6.5,51.92,CLR,Illinois
FWC,2018-01-01T17:55:00Z,8.1,-7.4,48.37,CLR,Illinois
FWC,2018-01-01T18:15:00Z,9,-6.7,48.06,CLR,Illinois
FWC,2018-01-01T18:35:00Z,9,-7.1,47.14,CLR,Illinois
FWC,2018-01-01T18:55:00Z,9.9,-7.1,45.27,CLR,Illinois
FWC,2018-01-01T19:15:00Z,9.5,-7.8,44.55,CLR,Illinois
FWC,2018-01-01T19:35:00Z,10.6,-7.8,42.41,CLR,Illinois
FWC,2018-01-01T19:55:00Z,11.1,-8.3,40.48,CLR,Illinois
FWC,2018-01-01T20:15:00Z,11.5,-8.1,40.16,CLR,Illinois
FWC,2018-01-01T20:35:00Z,11.3,-8.5,39.73,CLR,Illinois
FWC,2018-01-01T20:55:00Z,11.3,-8.5,39.73,CLR,Illinois
FWC,2018-01-01T21:15:00Z,11.7,-9,38.09,CLR,Illinois
FWC,2018-01-01T21:35:00Z,11.7,-8.5,39.03,CLR,Illinois
FWC,2018-01-01T21:55:00Z,11.1,-9.4,38.35,CLR,Illinois
FWC,2018-01-01T22:15:00Z,10.4,-9,40.35,CLR,Illinois
FWC,2018-01-01T22:35:00Z,10,-8.7,41.69,CLR,Illinois
FWC,2018-01-01T22:55:00Z,9.1,-7.8,45.35,CLR,Illinois
FWC,2018-01-01T23:15:00Z,8.6,-7.4,47.3,CLR,Illinois
FWC,2018-01-01T23:35:00Z,8.1,-6.7,50.05,CLR,Illinois
FWC,2018-01-01T23:55:00Z,7.5,-6.5,51.92,CLR,Illinois
FWC,2018-01-02T00:15:00Z,6.8,-6,54.91,CLR,Illinois
FWC,2018-01-02T00:35:00Z,6.6,-5.8,55.95,CLR,Illinois
