station,valid,tmpf,dwpf,relh,skyc1,state
I63,2018-01-01T00:15:00Z,-1.1,-7.8,72.52,CLR,Illinois
I63,2018-01-01T00:35:00Z,-0.9,-8.1,70.79,CLR,Illinois
I63,2018-01-01T00:55:00Z,-1.5,-8.5,71.41,CLR,Illinois
I63,2018-01-01T01:15:00Z,-2.2,-9.4,70.63,CLR,Illinois
I63,2018-01-01T01:35:00Z,-2.7,-9.9,70.57,CLR,Illinois
I63,2018-01-01T01:55:00Z,-3.3,-10.3,71.2,CLR,Illinois
I63,2018-01-01T02:15:00Z,-4,-11,71.11,CLR,Illinois
I63,2018-01-01T02:35:00Z,-4.4,-11.2,71.77,CLR,Illinois
I63,2018-01-01T02:55:00Z,-4.9,-12.1,70.3,CLR,Illinois
I63,2018-01-01T03:15:00Z,-5.8,-13,70.19,CLR,Illinois
I63,2018-01-01T03:35:00Z,-5.8,-13,70.19,CLR,Illinois
I63,2018-01-01T03:55:00Z,-6.7,-13.9,70.07,CLR,Illinois
I63,2018-01-01T04:15:00Z,-7.2,-14.3,70.36,CLR,Illinois
I63,2018-01-01T04:35:00Z,-7.8,-14.8,70.65,CLR,Illinois
I63,2018-01-01T04:55:00Z,-8.5,-15.3,71.28,CLR,Illinois
I63,2018-01-01T05:15:00Z,-8.7,-15.9,69.82,CLR,Illinois
I63,2018-01-01T05:35:00Z,-9.4,-16.6,69.73,CLR,Illinois
I63,2018-01-01T05:55:00Z,-9.6,-17,69,CLR,Illinois
I63,2018-01-01T06:15:00Z,-9.9,-17.5,68.26,CLR,Illinois
I63,2018-01-01T06:35:00Z,-10.3,-18.4,66.47,CLR,Illinois
I63,2018-01-01T06:55:00Z,-10.7,-18.8,66.42,CLR,Illinois
I63,2018-01-01T07:15:00Z,-11.4,-18.8,68.76,CLR,Illinois
I63,2018-01-01T07:35:00Z,-11.6,-18.8,69.45,CLR,Illinois
I63,2018-01-01T07:55:00Z,-12.1,-19.3,69.38,CLR,Illinois
I63,2018-01-01T08:15:00Z,-12.1,-19.3,69.38,CLR,Illinois
I63,2018-01-01T08:35:00Z,-12.3,-19.3,70.08,CLR,Illinois
I63,2018-01-01T08:55:00Z,-12.6,-20.2,67.89,CLR,Illinois
I63,2018-01-01T09:15:00Z,-13,-20.2,69.27,CLR,Illinois
I63,2018-01-01T09:35:00Z,-13.2,-20.2,69.96,CLR,Illinois
I63,2018-01-01T09:55:00Z,-13.4,-20.4,69.94,CLR,Illinois
I63,2018-01-01T10:15:00Z,-13.4,-20.4,69.94,CLR,Illinois
I63,2018-01-01T10:35:00Z,-13.9,-20.4,71.72,CLR,Illinois
I63,2018-01-01T10:55:00Z,-13.9,-20.7,70.61,CLR,Illinois
I63,2018-01-01T11:15:00Z,-14.1,-20.4,72.44,CLR,Illinois
I63,2018-01-01T11:35:00Z,-14.3,-20.4,73.18,CLR,Illinois
I63,2018-01-01T11:55:00Z,-14.8,-20.7,73.88,CLR,Illinois
I63,2018-01-01T12:15:00Z,-14.8,-20.7,73.88,CLR,Illinois
I63,2018-01-01T12:35:00Z,-14.8,-20.7,73.88,CLR,Illinois
I63,2018-01-01T12:50:00Z,-14.8,-20.7,73.88,CLR,Illinois
I63,2018-01-01T13:15:00Z,-14.8,-20.7,73.88,CLR,Illinois
I63,2018-01-01T13:35:00Z,-14.8,-20.7,73.88,CLR,Illinois
I63,2018-01-01T13:55:00Z,-14.6,-21.1,71.63,CLR,Illinois
I63,2018-01-01T14:15:00Z,-13.7,-20.4,71,CLR,Illinois
I63,2018-01-01T14:35:00Z,-12.6,-19.7,69.68,CLR,Illinois
I63,2018-01-01T14:55:00Z,-12.1,-19.5,68.67,CLR,Illinois
