station,valid,tmpf,dwpf,relh,skyc1,state
IJX,2018-01-01T00:15:00Z,1.6,-6,69.73,CLR,Illinois
IJX,2018-01-01T00:35:00Z,1,-6.2,71.02,CLR,Illinois
IJX,2018-01-01T00:55:00Z,0.5,-6.7,70.96,CLR,Illinois
IJX,2018-01-01T01:15:00Z,0.5,-6.7,70.96,CLR,Illinois
IJX,2018-01-01T01:35:00Z,0.1,-6.7,72.3,CLR,Illinois
IJX,2018-01-01T01:55:00Z,-0.4,-7.1,72.6,CLR,Illinois
IJX,2018-01-01T02:15:00Z,-0.9,-7.6,72.54,CLR,Illinois
IJX,2018-01-01T02:35:00Z,-1.3,-8,72.49,CLR,Illinois
IJX,2018-01-01T02:55:00Z,-1.7,-8.5,72.09,CLR,Illinois
IJX,2018-01-01T03:15:00Z,-2.2,-8.9,72.39,CLR,Illinois
IJX,2018-01-01T03:35:00Z,-2.7,-9.6,71.62,CLR,Illinois
IJX,2018-01-01T03:55:00Z,-3.1,-10.3,70.52,CLR,Illinois
IJX,2018-01-01T04:15:00Z,-4,-10.8,71.82,CLR,Illinois
IJX,2018-01-01T04:35:00Z,-4.5,-11.4,71.41,CLR,Illinois
IJX,2018-01-01T04:55:00Z,-4.9,-11.9,71,CLR,Illinois
IJX,2018-01-01T05:15:00Z,-5.3,-12.5,70.25,CLR,Illinois
IJX,2018-01-01T05:35:00Z,-5.8,-13.2,69.49,CLR,Illinois
IJX,2018-01-01T05:55:00Z,-6.2,-13.7,69.09,CLR,Illinois
IJX,2018-01-01T06:15:00Z,-6.9,-14.3,69.35,CLR,Illinois
IJX,2018-01-01T06:35:00Z,-7.6,-14.8,69.96,CLR,Illinois
IJX,2018-01-01T06:55:00Z,-7.8,-15,69.94,CLR,Illinois
IJX,2018-01-01T07:15:00Z,-8.5,-15.7,69.85,CLR,Illinois
IJX,2018-01-01T07:35:00Z,-8.7,-16.2,68.76,CLR,Illinois
IJX,2018-01-01T07:55:00Z,-9.4,-16.8,69.02,CLR,Illinois
IJX,2018-01-01T08:15:00Z,-9.8,-17.5,67.92,CLR,Illinois
IJX,2018-01-01T08:35:00Z,-10.3,-17.9,68.2,CLR,Illinois
