station,valid,tmpf,dwpf,relh,skyc1,state
IKK,2018-01-01T00:15:00Z,0.9,-6.9,68.97,CLR,Illinois
IKK,2018-01-01T00:35:00Z,-0.4,-7.4,71.55,CLR,Illinois
IKK,2018-01-01T00:55:00Z,1.2,-6.2,70.36,CLR,Illinois
IKK,2018-01-01T01:15:00Z,3.6,-5.8,64.18,CLR,Illinois
IKK,2018-01-01T01:35:00Z,0,-7.6,69.53,CLR,Illinois
IKK,2018-01-01T01:55:00Z,0.1,-6.5,73.01,CLR,Illinois
IKK,2018-01-01T02:15:00Z,0.5,-6.2,72.7,CLR,Illinois
IKK,2018-01-01T02:35:00Z,-0.2,-7.4,70.88,CLR,Illinois
IKK,2018-01-01T02:55:00Z,-3.3,-9.4,74.43,CLR,Illinois
IKK,2018-01-01T03:15:00Z,-3.3,-8.7,77.03,CLR,Illinois
IKK,2018-01-01T03:35:00Z,-3.1,-8.7,76.3,CLR,Illinois
IKK,2018-01-01T03:55:00Z,-3.3,-9.4,74.43,CLR,Illinois
IKK,2018-01-01T04:15:00Z,-3.6,-9.8,74.03,CLR,Illinois
IKK,2018-01-01T04:35:00Z,-1.7,-9.4,68.98,CLR,Illinois
IKK,2018-01-01T04:55:00Z,-1.3,-9.8,66.37,CLR,Illinois
IKK,2018-01-01T05:15:00Z,-1.8,-10.1,66.96,CLR,Illinois
IKK,2018-01-01T05:35:00Z,-3.5,-11.2,68.75,CLR,Illinois
IKK,2018-01-01T05:55:00Z,-4.7,-12.3,68.94,CLR,Illinois
IKK,2018-01-01T06:15:00Z,-6.2,-13.4,70.14,CLR,Illinois
IKK,2018-01-01T06:35:00Z,-7.1,-13.9,71.45,CLR,Illinois
IKK,2018-01-01T06:55:00Z,-8.1,-15,70.97,CLR,Illinois
IKK,2018-01-01T07:15:00Z,-9,-15.7,71.58,CLR,Illinois
IKK,2018-01-01T07:35:00Z,-9.2,-15.7,72.28,CLR,Illinois
IKK,2018-01-01T07:55:00Z,-10.3,-16.6,72.89,CLR,Illinois
IKK,2018-01-01T08:15:00Z,-11.6,-17.9,72.74,CLR,Illinois
IKK,2018-01-01T08:35:00Z,-12.1,-18.4,72.68,CLR,Illinois
IKK,2018-01-01T08:55:00Z,-11.2,-17.5,72.79,CLR,Illinois
IKK,2018-01-01T09:15:00Z,-11.9,-18.4,71.96,CLR,Illinois
IKK,2018-01-01T09:35:00Z,-11.6,-18.4,70.89,CLR,Illinois
IKK,2018-01-01T09:55:00Z,-11.6,-18.4,70.89,CLR,Illinois
IKK,2018-01-01T10:15:00Z,-11.7,-18.4,71.25,CLR,Illinois
IKK,2018-01-01T10:35:00Z,-12.1,-18.8,71.2,CLR,Illinois
IKK,2018-01-01T10:55:00Z,-12.5,-19.1,71.52,CLR,Illinois
IKK,2018-01-01T11:15:00Z,-12.5,-19.3,70.78,CLR,Illinois
IKK,2018-01-01T11:35:00Z,-13,-19.7,71.09,CLR,Illinois
IKK,2018-01-01T11:55:00Z,-13,-19.5,71.83,CLR,Illinois
IKK,2018-01-01T12:15:00Z,-13,-19.5,71.83,CLR,Illinois
IKK,2018-01-01T12:35:00Z,-13.5,-20,71.77,CLR,Illinois
IKK,2018-01-01T12:55:00Z,-13.4,-20.2,70.67,CLR,Illinois
IKK,2018-01-01T13:15:00Z,-13.5,-20.2,71.02,NA,Illinois
IKK,2018-01-01T13:35:00Z,-14.3,-21.1,70.56,CLR,Illinois
IKK,2018-01-01T13:55:00Z,-14.3,-21.1,70.56,CLR,Illinois
IKK,2018-01-01T14:15:00Z,-14.3,-21.5,69.1,CLR,Illinois
IKK,2018-01-01T14:35:00Z,-13.9,-21.1,69.15,CLR,Illinois
IKK,2018-01-01T14:55:00Z,-12.3,-19.5,69.36,CLR,Illinois
IKK,2018-01-01T15:15:00Z,-12.1,-19.7,67.96,CLR,Illinois
IKK,2018-01-01T15:35:00Z,-12.3,-20,67.58,CLR,Illinois
IKK,2018-01-01T15:55:00Z,-12.1,-20.2,66.22,CLR,Illinois
IKK,2018-01-01T16:15:00Z,-11.6,-19.7,66.29,CLR,Illinois
IKK,2018-01-01T16:35:00Z,-11.2,-19.3,66.35,CLR,Illinois
IKK,2018-01-01T16:55:00Z,-10.7,-18.8,66.42,CLR,Illinois
IKK,2018-01-01T17:15:00Z,-10.3,-18.4,66.47,CLR,Illinois
IKK,2018-01-01T17:35:00Z,-9.8,-18,66.2,CLR,Illinois
IKK,2018-01-01T17:55:00Z,-9.4,-17.7,65.92,CLR,Illinois
IKK,2018-01-01T18:15:00Z,-8.3,-16.4,66.75,CLR,Illinois
IKK,2018-01-01T18:35:00Z,-7.6,-15.9,66.17,CLR,Illinois
IKK,2018-01-01T18:55:00Z,-7.1,-15.7,65.24,CLR,Illinois
IKK,2018-01-01T19:15:00Z,-6.9,-15.5,65.26,CLR,Illinois
IKK,2018-01-01T19:35:00Z,-6.5,-14.8,66.32,CLR,Illinois
IKK,2018-01-01T19:55:00Z,-6,-14.4,66.05,CLR,Illinois
IKK,2018-01-01T20:15:00Z,-6,-14.3,66.39,CLR,Illinois
IKK,2018-01-01T20:35:00Z,-5.8,-14.1,66.42,CLR,Illinois
IKK,2018-01-01T20:55:00Z,-5.8,-14.6,64.76,CLR,Illinois
IKK,2018-01-01T21:15:00Z,-6,-14.6,65.39,CLR,Illinois
IKK,2018-01-01T21:35:00Z,-6.7,-14.8,66.97,CLR,Illinois
IKK,2018-01-01T21:55:00Z,-7.1,-15.3,66.57,CLR,Illinois
IKK,2018-01-01T22:15:00Z,-7.6,-15.5,67.52,CLR,Illinois
IKK,2018-01-01T22:35:00Z,-7.8,-15.7,67.5,CLR,Illinois
IKK,2018-01-01T22:55:00Z,-8.5,-16.1,68.44,CLR,Illinois
IKK,2018-01-01T23:15:00Z,-9,-16.8,67.68,CLR,Illinois
IKK,2018-01-01T23:35:00Z,-9.4,-16.8,69.02,CLR,Illinois
IKK,2018-01-01T23:55:00Z,-9.6,-16.8,69.71,CLR,Illinois
IKK,2018-01-02T00:15:00Z,-9.9,-17.3,68.96,CLR,Illinois
IKK,2018-01-02T00:35:00Z,-10.3,-17.7,68.91,CLR,Illinois
IKK,2018-01-02T00:55:00Z,-11,-18.4,68.81,CLR,Illinois
IKK,2018-01-02T01:15:00Z,-11.4,-18.6,69.47,CLR,Illinois
IKK,2018-01-02T01:35:00Z,-11.6,-18.8,69.45,CLR,Illinois
IKK,2018-01-02T01:55:00Z,-11.6,-18.8,69.45,CLR,Illinois
IKK,2018-01-02T02:15:00Z,-12.5,-19.5,70.05,CLR,Illinois
IKK,2018-01-02T02:35:00Z,-12.5,-19.3,70.78,CLR,Illinois
IKK,2018-01-02T02:55:00Z,-13,-19.7,71.09,CLR,Illinois
IKK,2018-01-02T03:15:00Z,-13,-19.7,71.09,CLR,Illinois
IKK,2018-01-02T03:35:00Z,-13.4,-20.2,70.67,CLR,Illinois
IKK,2018-01-02T03:55:00Z,-13.4,-20,71.41,CLR,Illinois
IKK,2018-01-02T04:15:00Z,-14.1,-20.4,72.44,CLR,Illinois
IKK,2018-01-02T04:35:00Z,-13.9,-20.2,72.47,CLR,Illinois
IKK,2018-01-02T04:55:00Z,-13.5,-20,71.77,CLR,Illinois
IKK,2018-01-02T05:15:00Z,-14.1,-20.4,72.44,CLR,Illinois
IKK,2018-01-02T05:35:00Z,-13.9,-20.2,72.47,CLR,Illinois
IKK,2018-01-02T05:55:00Z,-13.9,-20.2,72.47,CLR,Illinois
IKK,2018-01-02T06:15:00Z,-13.9,-20.4,71.72,CLR,Illinois
IKK,2018-01-02T06:35:00Z,-14.1,-20.6,71.69,CLR,Illinois
IKK,2018-01-02T06:55:00Z,-14.4,-20.9,71.66,CLR,Illinois
IKK,2018-01-02T07:15:00Z,-14.4,-20.7,72.41,CLR,Illinois
IKK,2018-01-02T07:35:00Z,-14.4,-20.7,72.41,CLR,Illinois
IKK,2018-01-02T07:55:00Z,-15,-21.1,73.09,CLR,Illinois
IKK,2018-01-02T08:15:00Z,-14.8,-21.1,72.36,CLR,Illinois
IKK,2018-01-02T08:35:00Z,-14.8,-21.1,72.36,CLR,Illinois
IKK,2018-01-02T08:55:00Z,-15.7,-21.8,73.01,CLR,Illinois
IKK,2018-01-02T09:15:00Z,-15.7,-21.8,73.01,CLR,Illinois
IKK,2018-01-02T09:35:00Z,-15.7,-22,72.25,CLR,Illinois
IKK,2018-01-02T09:55:00Z,-15,-21.3,72.33,CLR,Illinois
IKK,2018-01-02T10:15:00Z,-14.8,-21.1,72.36,CLR,Illinois
IKK,2018-01-02T10:35:00Z,-15.2,-21.1,73.84,CLR,Illinois
IKK,2018-01-02T10:55:00Z,-14.8,-20.7,73.88,CLR,Illinois
IKK,2018-01-02T11:15:00Z,-15.3,-21.6,72.3,CLR,Illinois
IKK,2018-01-02T11:35:00Z,-16.8,-23.3,71.36,CLR,Illinois
IKK,2018-01-02T11:55:00Z,-17.7,-23.8,72.77,CLR,Illinois
IKK,2018-01-02T12:15:00Z,-16.8,-23.1,72.12,CLR,Illinois
IKK,2018-01-02T12:35:00Z,-17.9,-24.7,70.09,CLR,Illinois
IKK,2018-01-02T12:55:00Z,-17.5,-23.8,72.03,CLR,Illinois
IKK,2018-01-02T13:15:00Z,-16.8,-22.9,72.88,CLR,Illinois
IKK,2018-01-02T13:35:00Z,-16.8,-22.9,72.88,CLR,Illinois
IKK,2018-01-02T13:55:00Z,-16.4,-22.9,71.41,CLR,Illinois
IKK,2018-01-02T14:15:00Z,-16.4,-23.4,69.55,CLR,Illinois
IKK,2018-01-02T14:35:00Z,-15.2,-21.8,71.18,CLR,Illinois
IKK,2018-01-02T14:55:00Z,-13.5,-20.4,70.29,CLR,Illinois
IKK,2018-01-02T15:15:00Z,-11.6,-19.3,67.68,CLR,Illinois
IKK,2018-01-02T15:35:00Z,-11.2,-18.8,68.08,CLR,Illinois
IKK,2018-01-02T15:55:00Z,-10.3,-18.4,66.47,CLR,Illinois
IKK,2018-01-02T16:15:00Z,-8.5,-16.4,67.4,CLR,Illinois
IKK,2018-01-02T16:35:00Z,-7.2,-15.9,64.89,CLR,Illinois
IKK,2018-01-02T16:55:00Z,-5.1,-14.1,64.21,CLR,Illinois
IKK,2018-01-02T17:15:00Z,-3.8,-13.2,63.12,CLR,Illinois
IKK,2018-01-02T17:35:00Z,-1.7,-11.2,63.11,CLR,Illinois
IKK,2018-01-02T17:55:00Z,NA,NA,NA,CLR,Illinois
IKK,2018-01-02T18:15:00Z,-1.7,-10.5,65.34,CLR,Illinois
IKK,2018-01-02T18:35:00Z,-0.4,-9,66.17,CLR,Illinois
IKK,2018-01-02T18:55:00Z,0.3,-8.5,65.62,CLR,Illinois
IKK,2018-01-02T19:15:00Z,0.1,-8.3,66.88,CLR,Illinois
IKK,2018-01-02T19:35:00Z,0.5,-7.8,67.26,CLR,Illinois
IKK,2018-01-02T19:55:00Z,1.2,-7.4,66.38,CLR,Illinois
IKK,2018-01-02T20:15:00Z,1,-7.4,67,CLR,Illinois
IKK,2018-01-02T20:35:00Z,1.4,-7.1,66.73,CLR,Illinois
IKK,2018-01-02T20:55:00Z,2.1,-6.9,65.23,CLR,Illinois
IKK,2018-01-02T21:15:00Z,2.3,-6.7,65.25,CLR,Illinois
IKK,2018-01-02T21:35:00Z,2.3,-6.2,66.85,CLR,Illinois
IKK,2018-01-02T21:55:00Z,2.1,-6.7,65.86,CLR,Illinois
IKK,2018-01-02T22:15:00Z,1.4,-6.7,68.04,CLR,Illinois
IKK,2018-01-02T22:35:00Z,0.5,-7.4,68.59,CLR,Illinois
IKK,2018-01-02T22:55:00Z,-0.8,-7.6,72.2,CLR,Illinois
IKK,2018-01-02T23:15:00Z,-1.3,-8,72.49,CLR,Illinois
IKK,2018-01-02T23:35:00Z,-0.4,-7.8,70.17,CLR,Illinois
IKK,2018-01-02T23:55:00Z,-1.1,-8,71.81,CLR,Illinois
IKK,2018-01-03T00:15:00Z,-1.5,-8,73.18,CLR,Illinois
IKK,2018-01-03T00:35:00Z,-0.6,-7.2,72.93,CLR,Illinois
IKK,2018-01-03T00:55:00Z,-0.4,-7.2,72.25,CLR,Illinois
IKK,2018-01-03T01:15:00Z,-1.7,-8,73.88,CLR,Illinois
IKK,2018-01-03T01:35:00Z,-1.8,-8.5,72.44,CLR,Illinois
IKK,2018-01-03T01:55:00Z,-1.7,-8,73.88,CLR,Illinois
IKK,2018-01-03T02:15:00Z,-0.4,-6.9,73.31,CLR,Illinois
IKK,2018-01-03T02:35:00Z,-0.4,-6.7,74.02,CLR,Illinois
IKK,2018-01-03T02:55:00Z,0.7,-6.2,72.02,CLR,Illinois
IKK,2018-01-03T03:15:00Z,1.9,-5.6,70.11,CLR,Illinois
IKK,2018-01-03T03:35:00Z,1.4,-6,70.39,CLR,Illinois
IKK,2018-01-03T03:55:00Z,2.3,-5.1,70.5,CLR,Illinois
IKK,2018-01-03T04:15:00Z,3.4,-4.7,68.3,CLR,Illinois
IKK,2018-01-03T04:35:00Z,3.9,-4.4,67.71,CLR,Illinois
IKK,2018-01-03T04:55:00Z,5.2,-3.5,66.6,CLR,Illinois
IKK,2018-01-03T05:15:00Z,6.4,-2.4,66.44,CLR,Illinois
IKK,2018-01-03T05:35:00Z,6.4,-2.4,66.44,CLR,Illinois
IKK,2018-01-03T05:55:00Z,6.6,-2.2,66.47,CLR,Illinois
IKK,2018-01-03T06:15:00Z,7.2,-2.2,64.68,CLR,Illinois
IKK,2018-01-03T06:35:00Z,7.9,-1.7,64.17,CLR,Illinois
IKK,2018-01-03T06:55:00Z,8.4,-1.3,63.94,CLR,Illinois
IKK,2018-01-03T07:15:00Z,9.1,-0.9,63.14,CLR,Illinois
IKK,2018-01-03T07:35:00Z,9.5,-0.4,63.49,CLR,Illinois
IKK,2018-01-03T07:55:00Z,10.2,0.1,62.99,CLR,Illinois
IKK,2018-01-03T08:15:00Z,10.4,0.5,63.62,SCT,Illinois
IKK,2018-01-03T08:35:00Z,10.9,1,63.69,SCT,Illinois
IKK,2018-01-03T08:55:00Z,11.1,1.4,64.31,BKN,Illinois
IKK,2018-01-03T09:15:00Z,11.8,2.1,64.41,SCT,Illinois
IKK,2018-01-03T09:35:00Z,12.2,2.3,63.87,BKN,Illinois
IKK,2018-01-03T09:55:00Z,12.7,2.5,63.05,OVC,Illinois
IKK,2018-01-03T10:15:00Z,12.7,3.2,65.13,OVC,Illinois
IKK,2018-01-03T10:35:00Z,13.1,3.7,65.48,OVC,Illinois
IKK,2018-01-03T10:55:00Z,13.1,4.6,68.25,OVC,Illinois
IKK,2018-01-03T11:15:00Z,13.1,5.5,71.12,OVC,Illinois
IKK,2018-01-03T11:35:00Z,13.6,7,74.49,SCT,Illinois
IKK,2018-01-03T11:55:00Z,14,9,80.1,OVC,Illinois
IKK,2018-01-03T12:15:00Z,14,9.5,81.92,OVC,Illinois
IKK,2018-01-03T12:35:00Z,14.5,10.4,83.44,SCT,Illinois
IKK,2018-01-03T12:55:00Z,14.9,10.6,82.72,SCT,Illinois
IKK,2018-01-03T13:15:00Z,15.4,10.2,79.51,SCT,Illinois
IKK,2018-01-03T13:35:00Z,15.8,10.2,78.14,SCT,Illinois
IKK,2018-01-03T13:55:00Z,15.8,10.2,78.14,OVC,Illinois
IKK,2018-01-03T14:15:00Z,16.3,10.4,77.15,OVC,Illinois
IKK,2018-01-03T14:35:00Z,16.5,10.9,78.2,OVC,Illinois
IKK,2018-01-03T14:55:00Z,16.7,11.3,78.92,SCT,Illinois
IKK,2018-01-03T15:15:00Z,16.7,12,81.41,SCT,Illinois
IKK,2018-01-03T15:35:00Z,17.2,12.9,82.9,SCT,Illinois
IKK,2018-01-03T15:55:00Z,17.2,12.7,82.17,SCT,Illinois
IKK,2018-01-03T16:15:00Z,17.2,12.2,80.37,SCT,Illinois
IKK,2018-01-03T16:35:00Z,17.2,12,79.67,BKN,Illinois
IKK,2018-01-03T16:55:00Z,17.4,11.8,78.28,OVC,Illinois
IKK,2018-01-03T17:15:00Z,17.6,11.1,75.24,BKN,Illinois
IKK,2018-01-03T17:35:00Z,15.8,11.3,82.06,SCT,Illinois
IKK,2018-01-03T17:55:00Z,16.2,10.6,78.17,SCT,Illinois
IKK,2018-01-03T18:15:00Z,15.8,9.3,75.05,SCT,Illinois
IKK,2018-01-03T18:35:00Z,16.2,9.5,74.43,OVC,Illinois
IKK,2018-01-03T18:55:00Z,16.2,9.1,73.1,SCT,Illinois
IKK,2018-01-03T19:15:00Z,16.2,8.6,71.48,SCT,Illinois
IKK,2018-01-03T19:35:00Z,15.8,8.4,72.08,SCT,Illinois
IKK,2018-01-03T19:55:00Z,15.6,7.7,70.45,SCT,Illinois
IKK,2018-01-03T20:15:00Z,16.2,7.7,68.64,BKN,Illinois
IKK,2018-01-03T20:35:00Z,16.7,8.1,68.39,BKN,Illinois
IKK,2018-01-03T20:55:00Z,14.9,6.1,67.55,BKN,Illinois
IKK,2018-01-03T21:15:00Z,14.9,5.4,65.42,OVC,Illinois
IKK,2018-01-03T21:35:00Z,14,4.5,65.3,BKN,Illinois
IKK,2018-01-03T21:55:00Z,13.5,4.1,65.54,BKN,Illinois
IKK,2018-01-03T22:15:00Z,12.2,3.2,66.58,SCT,Illinois
IKK,2018-01-03T22:35:00Z,11.1,2.8,68.63,CLR,Illinois
IKK,2018-01-03T22:55:00Z,10.9,2.5,68.29,SCT,Illinois
IKK,2018-01-03T23:15:00Z,10.2,2.3,69.8,SCT,Illinois
IKK,2018-01-03T23:35:00Z,9.5,1.4,69.07,CLR,Illinois
