station,valid,tmpf,dwpf,relh,skyc1,state
JOT,2018-01-01T00:15:00Z,7.7,-3.1,60.59,SCT,Illinois
JOT,2018-01-01T00:35:00Z,6.8,-3.3,62.51,CLR,Illinois
JOT,2018-01-01T00:55:00Z,5.9,-3.6,64.2,CLR,Illinois
JOT,2018-01-01T01:15:00Z,5.2,-4,65.02,CLR,Illinois
JOT,2018-01-01T01:35:00Z,4.1,-4.4,67.09,CLR,Illinois
JOT,2018-01-01T01:55:00Z,3.6,-4.7,67.67,CLR,Illinois
JOT,2018-01-01T02:15:00Z,2.3,-5.4,69.49,CLR,Illinois
JOT,2018-01-01T02:35:00Z,2.1,-6.2,67.48,CLR,Illinois
JOT,2018-01-01T02:55:00Z,1.4,-6.5,68.7,CLR,Illinois
JOT,2018-01-01T03:15:00Z,0.9,-7.2,67.98,CLR,Illinois
JOT,2018-01-01T03:35:00Z,0.5,-7.8,67.26,CLR,Illinois
JOT,2018-01-01T03:55:00Z,-0.2,-8.5,67.17,CLR,Illinois
JOT,2018-01-01T04:15:00Z,-0.8,-9.4,66.11,CLR,Illinois
JOT,2018-01-01T04:35:00Z,-0.8,-9.4,66.11,CLR,Illinois
JOT,2018-01-01T04:55:00Z,-1.3,-9.9,66.04,CLR,Illinois
JOT,2018-01-01T05:15:00Z,-1.3,-10.3,64.75,CLR,Illinois
JOT,2018-01-01T05:35:00Z,-2.2,-11.2,64.62,CLR,Illinois
JOT,2018-01-01T05:55:00Z,-2.7,-11.6,64.88,CLR,Illinois
JOT,2018-01-01T06:15:00Z,-3.3,-12.1,65.12,CLR,Illinois
JOT,2018-01-01T06:35:00Z,-3.1,-12.8,62.28,CLR,Illinois
JOT,2018-01-01T06:55:00Z,-3.1,-13.4,60.44,CLR,Illinois
JOT,2018-01-01T07:15:00Z,-3.6,-13.5,61.59,CLR,Illinois
JOT,2018-01-01T07:35:00Z,-4,-13.9,61.53,CLR,Illinois
JOT,2018-01-01T07:55:00Z,-4.2,-14.3,60.88,CLR,Illinois
JOT,2018-01-01T08:15:00Z,-4.9,-14.4,62.64,CLR,Illinois
JOT,2018-01-01T08:35:00Z,-5.1,-14.6,62.61,CLR,Illinois
JOT,2018-01-01T08:55:00Z,-5.4,-14.4,64.17,CLR,Illinois
JOT,2018-01-01T09:15:00Z,-5.8,-14.8,64.11,CLR,Illinois
JOT,2018-01-01T09:35:00Z,-6.3,-14.8,65.68,CLR,Illinois
JOT,2018-01-01T09:55:00Z,-6.7,-15,66.29,CLR,Illinois
JOT,2018-01-01T10:15:00Z,-7.1,-15.3,66.57,CLR,Illinois
JOT,2018-01-01T10:35:00Z,-7.4,-15.7,66.2,CLR,Illinois
JOT,2018-01-01T10:55:00Z,-7.6,-15.7,66.84,CLR,Illinois
JOT,2018-01-01T11:15:00Z,-8,-15.7,68.16,CLR,Illinois
JOT,2018-01-01T11:35:00Z,-7.8,-15.9,66.82,CLR,Illinois
JOT,2018-01-01T11:55:00Z,-8.9,-16.6,68.04,CLR,Illinois
JOT,2018-01-01T12:15:00Z,-9.4,-16.8,69.02,CLR,Illinois
JOT,2018-01-01T12:35:00Z,-10.3,-17.5,69.62,CLR,Illinois
JOT,2018-01-01T12:55:00Z,-10.3,-17.1,71.06,CLR,Illinois
JOT,2018-01-01T13:15:00Z,-10.5,-17.5,70.31,CLR,Illinois
JOT,2018-01-01T13:35:00Z,-10.3,-17.5,69.62,CLR,Illinois
JOT,2018-01-01T13:55:00Z,-9.8,-17.5,67.92,CLR,Illinois
JOT,2018-01-01T14:15:00Z,-9.4,-17.5,66.6,CLR,Illinois
JOT,2018-01-01T14:35:00Z,-9.4,-17.5,66.6,CLR,Illinois
JOT,2018-01-01T14:55:00Z,-8.7,-17.5,64.35,CLR,Illinois
JOT,2018-01-01T15:15:00Z,-8.5,-17.3,64.38,CLR,Illinois
JOT,2018-01-01T15:35:00Z,-8,-17,63.79,CLR,Illinois
JOT,2018-01-01T15:55:00Z,-7.2,-16.6,62.62,CLR,Illinois
JOT,2018-01-01T16:15:00Z,-6.3,-16.1,61.49,CLR,Illinois
JOT,2018-01-01T16:35:00Z,-5.8,-15.7,61.25,CLR,Illinois
JOT,2018-01-01T16:55:00Z,-5.8,-15.7,61.25,CLR,Illinois
JOT,2018-01-01T17:15:00Z,-5.3,-15,61.95,CLR,Illinois
JOT,2018-01-01T17:35:00Z,-4.9,-14.8,61.39,CLR,Illinois
JOT,2018-01-01T17:55:00Z,-4.5,-14.4,61.45,CLR,Illinois
JOT,2018-01-01T18:15:00Z,-4.4,-14.3,61.47,CLR,Illinois
JOT,2018-01-01T18:35:00Z,-3.8,-13.4,62.49,CLR,Illinois
JOT,2018-01-01T18:55:00Z,-3.1,-13,61.66,CLR,Illinois
JOT,2018-01-01T19:15:00Z,-2.9,-12.8,61.69,CLR,Illinois
JOT,2018-01-01T19:35:00Z,-2.2,-12.3,61.18,CLR,Illinois
JOT,2018-01-01T19:55:00Z,-1.8,-11.7,61.86,CLR,Illinois
JOT,2018-01-01T20:15:00Z,-1.8,-11.4,62.79,CLR,Illinois
JOT,2018-01-01T20:35:00Z,-1.8,-11.6,62.16,CLR,Illinois
JOT,2018-01-01T20:55:00Z,-2.2,-12.3,61.18,CLR,Illinois
JOT,2018-01-01T21:15:00Z,-2.2,-11.6,63.35,CLR,Illinois
JOT,2018-01-01T21:35:00Z,-2.7,-12.1,63.28,CLR,Illinois
JOT,2018-01-01T21:55:00Z,-3.3,-12.3,64.47,CLR,Illinois
JOT,2018-01-01T22:15:00Z,-4,-12.5,66,CLR,Illinois
JOT,2018-01-01T22:35:00Z,-4.4,-12.8,66.27,CLR,Illinois
JOT,2018-01-01T22:55:00Z,-4.9,-13,67.21,CLR,Illinois
JOT,2018-01-01T23:15:00Z,-5.3,-13,68.51,CLR,Illinois
JOT,2018-01-01T23:35:00Z,-5.8,-13.2,69.49,CLR,Illinois
JOT,2018-01-01T23:55:00Z,-5.8,-13,70.19,CLR,Illinois
JOT,2018-01-02T00:15:00Z,-6.3,-13.5,70.12,CLR,Illinois
JOT,2018-01-02T00:35:00Z,-7.2,-14.3,70.36,CLR,Illinois
